,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
6672,11581,BCK,ENSG00000166165,0.007250363007187843,0.0024990796917947764,0.022821605238650115,8,1
8885,16845,UL1,ENSG00000198755,0.007051883555460172,6.108411641069544e-86,1.957949544684158e-82,244,1
6395,10998,CVID9,ENSG00000163932,0.006395639851689339,0.006878365989021829,0.049544844457253864,4,1
278,453,VIM,ENSG00000026025,0.006050379827935645,1.2819788972932183e-60,1.369723230707954e-57,188,1
1983,3133,ISYNA1,ENSG00000105655,0.005963641617979322,4.4144558074839605e-05,0.0007875585722591051,14,1
8765,16617,FCHSD1,ENSG00000197948,0.005787678062915802,0.004316741677355134,0.03517778641478556,6,1
266,437,JBP,ENSG00000023902,0.0054961880668997765,0.0010751208599638251,0.011708224450070377,8,1
143,248,TEL-2,ENSG00000010030,0.00545811653137207,0.0006156816068053131,0.007437681320401873,6,1
6839,11901,D16S444E,ENSG00000167526,0.005451383756198844,7.410354309745601e-76,1.7814491760628425e-72,244,1
1173,1813,RPLP0,ENSG00000089157,0.005353237380136232,8.532753752877536e-68,1.1721565726810056e-64,244,1
5464,9187,CHAPSYN-110,ENSG00000150672,0.0051838308572769165,0.0013704769720602103,0.014155216501966683,6,1
3944,6456,FOAP-10,ENSG00000132205,0.005174838751554489,0.0004870049182479084,0.006137666178075868,10,1
9511,19113,ATF7-NPFF,ENSG00000267281,0.005149409174919128,0.004805348075336504,0.038006283107454845,6,1
4434,7313,ES6,ENSG00000137154,0.005142282801451253,1.0631820965109668e-30,2.7631240648782315e-28,244,1
8623,16321,CAGH3,ENSG00000196782,0.005010506759087245,3.450782673383842e-05,0.0006344689519552395,12,1
3629,5870,SNF2L4,ENSG00000127616,0.00496702641248703,0.0023202526871468777,0.02147406144331509,6,1
5512,9268,P94-FER,ENSG00000151422,0.004942995242097161,0.00022856498545872022,0.003230541213565392,22,1
8477,15987,CTG-B33,ENSG00000188846,0.004852492011106405,1.1703329245450846e-68,1.8756535670709223e-65,244,1
1991,3149,ILDR3,ENSG00000105699,0.00485101838906606,0.0056123097514563566,0.04232782005490535,6,1
5584,9395,SSMED,ENSG00000152422,0.004756496598323186,0.002778278781559276,0.024875166446437613,6,1
1273,1973,LC17,ENSG00000092841,0.004704603010655514,1.4985532107985187e-45,8.005604263910309e-43,224,1
3370,5410,ATP5F1E,ENSG00000124172,0.004588310543637154,2.0546135067163985e-51,1.7961057709622624e-48,236,1
2741,4358,RPS15,ENSG00000115268,0.0045539147266354715,2.5606376027936216e-49,1.75879222774739e-46,244,1
2810,4461,PLDL1,ENSG00000115896,0.004550063982605934,0.0011784341256281233,0.012604919412725287,12,1
8909,16890,MT-ND3,ENSG00000198840,0.004505635024263308,1.0547199931960667e-47,6.761458303048918e-45,234,1
9093,17354,CCDC85C,ENSG00000205476,0.004475722089409828,0.001156304967694832,0.012395795506525645,8,1
2827,4480,PASD2,ENSG00000116016,0.004452825523912907,0.0004302380973063378,0.005530412806858573,8,1
4692,7744,PCAP,ENSG00000139631,0.004391310529576408,0.0001080626938548987,0.0017090968159682663,18,1
8481,15996,MSL-1,ENSG00000188895,0.004361312091350556,0.0025834893687074123,0.023436635631594788,10,1
7362,13051,NEDGFAX,ENSG00000172465,0.004358398728072643,0.002331724983542942,0.021559487924758584,8,1
2849,4518,EL22,ENSG00000116251,0.004335741776352127,1.5110716480671538e-50,1.1177280744472115e-47,240,1
7308,12913,DEC,ENSG00000171862,0.004272635094821453,8.9332010351716e-05,0.0014485946231738635,16,1
842,1317,DLGH1,ENSG00000075711,0.004255052242014144,0.002511244979776679,0.022910940916065034,18,1
8740,16558,GP11,ENSG00000197747,0.004253533799375329,1.5253922194404788e-42,6.984843610542688e-40,214,1
2225,3512,ALS18,ENSG00000108518,0.004224199091352649,5.902454311192988e-46,3.338705920966575e-43,236,1
444,697,PLEKHA5,ENSG00000052126,0.00418262705206871,0.005236222394210477,0.04041052531519097,10,1
9132,17513,NUP62,ENSG00000213024,0.004175689071416855,0.0002839675964518625,0.0038787392151720308,20,1
545,853,DBA18,ENSG00000063177,0.004153934765423908,8.843326415002567e-32,2.5768917214140814e-29,244,1
9031,17160,D6S49E,ENSG00000204482,0.004150065593421459,0.0018931339035859038,0.018425481393605312,24,1
1435,2230,NBK,ENSG00000100290,0.004143269563263113,0.0015894166270123036,0.015953893826044167,22,1
3487,5622,RPL23,ENSG00000125691,0.004131924231038537,2.519297796538879e-31,7.125166944564077e-29,172,1
9423,18563,FTDALS2,ENSG00000250479,0.0041291142503420515,0.004701140677013645,0.03746862650318033,6,1
8766,16620,CACY,ENSG00000197956,0.004110448532433153,2.6365782019447946e-21,3.841414543924416e-19,214,1
2505,3960,PRKM14,ENSG00000112062,0.004102145880460739,0.006003362249910147,0.04475064449235347,10,1
8210,15153,IMMP2L,ENSG00000184903,0.004064291715621948,5.757892340167742e-07,1.5422811349039835e-05,30,1
9328,18237,FAM200B,ENSG00000237765,0.004058434938391049,0.0015869775500900773,0.015953893826044167,12,1
9287,17990,POLR2J2,ENSG00000228049,0.004054682018856208,0.0005884527555570939,0.007171814572163517,12,1
7347,13003,HINFP,ENSG00000172273,0.003995808772742748,0.003242489436763945,0.027888889466835508,8,1
5789,9790,GNAQ,ENSG00000156052,0.0039631731808185576,6.914968930261841e-05,0.0011665673900596116,20,1
7896,14280,PTHSL2,ENSG00000179915,0.0039554546986307415,0.00012247188251322683,0.0019056466379404357,14,1
8365,15555,LYRM7,ENSG00000186687,0.003952626759807269,0.004380248948387529,0.03551473346348607,12,1
3360,5380,DNPEP,ENSG00000123992,0.003941518409798543,0.0001394792067902079,0.00213232440778162,24,1
8509,16077,AP3AASE,ENSG00000189283,0.003870215266942978,0.0051707484543430625,0.04003374970769959,8,1
6276,10763,HEL-S-43,ENSG00000163191,0.003867319056197353,9.333276294144796e-16,8.387736901354799e-14,92,1
5169,8599,L37,ENSG00000145592,0.0038420285754760756,3.4632882141372547e-23,5.741893011576524e-21,244,1
5570,9372,MAYP,ENSG00000152229,0.0038313446566462517,0.0036476147082993393,0.030740984255045088,16,1
8061,14727,S17,ENSG00000182774,0.0038173039716602577,3.0398194335433627e-27,6.643387198398403e-25,198,1
