,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
5735,8839,MRXS35,ENSG00000147403,0.008975372260267084,1.4434898823931774e-169,1.5351514899251443e-165,330,1
10253,18068,D6S218E,ENSG00000231500,0.008727953222928438,4.797182531851814e-156,2.5509018113122023e-152,329,1
6638,10410,RPL8,ENSG00000161016,0.007647841850795397,1.9045836026797632e-147,6.751748871499761e-144,328,1
9783,16845,UL1,ENSG00000198755,0.007305155787616968,2.0923502136614697e-116,4.450428904457946e-113,320,1
10329,18321,L36A,ENSG00000241343,0.006627440823944187,4.6859429047785616e-80,3.7091443263209605e-77,321,1
297,453,VIM,ENSG00000026025,0.006618293825548644,3.8954539859678686e-102,5.1785191425960355e-99,319,1
9650,16620,CACY,ENSG00000197956,0.006395819974711621,6.560565198843602e-79,4.651440725980114e-76,249,1
7444,11901,D16S444E,ENSG00000167526,0.005639214475046505,1.3006843732306784e-98,1.3832778309308265e-95,330,1
3210,4740,RPS25,ENSG00000118181,0.00556041655841207,2.4707827881505927e-99,2.919641661331284e-96,329,1
6307,9842,EL30,ENSG00000156482,0.00549753283460935,3.4914982747566365e-106,6.188680692006138e-103,330,1
8502,13986,ES27,ENSG00000177954,0.0053001679254300665,7.918446116145524e-51,3.238949017123371e-48,330,1
9665,16645,CCG2,ENSG00000198034,0.005267858144008752,1.960952766220481e-86,1.7378943890629014e-83,330,1
9121,15374,DSPA2A,ENSG00000185885,0.0052625314110801335,5.3042553114798115e-51,2.3504481348994917e-48,210,1
9328,15987,CTG-B33,ENSG00000188846,0.005176182055002288,1.109625799480335e-75,6.941688457337272e-73,329,1
4807,7313,ES6,ENSG00000137154,0.00500103335340697,1.0329859185358292e-71,5.782002759804497e-69,329,1
9785,16849,MT-ND2,ENSG00000198763,0.004821404188035804,1.5137916095161882e-40,3.7439938993499216e-38,321,1
9809,16890,MT-ND3,ENSG00000198840,0.00475246301203063,2.8848458883168973e-72,1.7044631123472335e-69,330,1
5744,8851,DOCK5,ENSG00000147459,0.004669249885612064,0.002596697859674087,0.04770318637873518,9,1
145,233,US10,ENSG00000008988,0.00459032049663713,9.76619376464124e-44,2.7332492286042e-41,214,1
9120,15373,VMA3,ENSG00000185883,0.004470573589555534,2.3116467280781964e-35,4.916872590622324e-33,213,1
9619,16564,ADIPSIN,ENSG00000197766,0.004469476640224457,0.001401836883820086,0.029924561697291137,8,1
901,1312,ACTB,ENSG00000075624,0.00444495908238671,1.4528210319746145e-68,7.725375837525013e-66,330,1
9615,16558,GP11,ENSG00000197747,0.0043842429712192335,1.6387061562213407e-52,7.5772347701799825e-50,268,1
9389,16134,CAPL,ENSG00000196154,0.004259691978323049,9.959984005131358e-47,3.310138434205375e-44,290,1
6046,9372,MAYP,ENSG00000152229,0.004210863601077686,0.002597098722453001,0.04770318637873518,11,1
4882,7435,LP1,ENSG00000137818,0.004207896983081644,4.8407177434786086e-63,2.4514777715188096e-60,330,1
5757,8873,HUML7-1,ENSG00000147604,0.0041789796948432925,4.3617827094613557e-38,9.664074815650316e-36,250,1
10429,18676,EEF1G,ENSG00000254772,0.004171623845133632,5.78445653451136e-43,1.537942381113208e-40,287,1
9794,16868,MT-CO1,ENSG00000198804,0.004152119701558894,6.885378665753245e-51,2.9290400844114305e-48,330,1
1804,2635,TIMP,ENSG00000102265,0.0038766262346300586,0.0011138090910458196,0.024885209418639267,29,1
9840,16934,RPL39,ENSG00000198918,0.0038161185203176556,8.010069450037311e-46,2.581426927307479e-43,330,1
6271,9778,FRASRS3,ENSG00000155974,0.0037938935889138114,0.0011174557492924918,0.024914343592716246,9,1
5607,8599,L37,ENSG00000145592,0.003782076682105209,3.645654347198086e-49,1.4359827400908016e-46,330,1
9775,16830,MT-CYB,ENSG00000198727,0.0037263926220519926,3.8747239887580763e-47,1.3292803103368434e-44,329,1
2903,4308,EEF1B1,ENSG00000114942,0.003702841326594353,1.3622022245377635e-52,6.585009389981416e-50,320,1
9175,15509,RPS23,ENSG00000186468,0.0037009724186546533,2.5360336886307544e-44,7.289383318537317e-42,329,1
9788,16857,MT-ND5,ENSG00000198786,0.0036547338751734644,1.2355881417148516e-47,4.693028531120516e-45,311,1
7470,11947,EF2,ENSG00000167658,0.003562386667933957,3.974532164190007e-38,8.993436077906536e-36,290,1
9832,16923,MT-ATP6,ENSG00000198899,0.003512908811822082,1.0935140985605935e-38,2.5281570517808505e-36,330,1
10498,19067,RPL17,ENSG00000265681,0.003499675148762531,1.912927017221814e-18,2.608202413865896e-16,322,1
5600,8584,FTE1,ENSG00000145425,0.0034977647165457407,2.209949791181089e-47,8.104419320417546e-45,330,1
2353,3465,EL28,ENSG00000108107,0.003471566420612913,2.205091204053515e-43,6.013114091053624e-41,330,1
2465,3638,RPL34,ENSG00000109475,0.0034101631153713573,4.405815567567338e-33,8.840726143599744e-31,330,1
7074,11199,RPS14,ENSG00000164587,0.0032877795988830124,7.630233103698745e-38,1.6560720215884927e-35,328,1
9850,16946,MT-CO3,ENSG00000198938,0.0032121919797546594,7.746913262488094e-31,1.471221831188587e-28,329,1
8066,13119,EL38,ENSG00000172809,0.003192921781279959,1.1439283319606919e-32,2.2529032982225847e-30,321,1
10190,17808,RNASEK,ENSG00000219200,0.0031818387344711187,1.2411993148202245e-16,1.5529593780133045e-14,193,1
7520,12039,HFE5,ENSG00000167996,0.0031666544538277845,9.448600368152236e-40,2.233019220339978e-37,325,1
10106,17593,US14,ENSG00000213741,0.0031454039549608844,1.608735731743116e-20,2.3436855489161695e-18,327,1
6708,10532,RPL29,ENSG00000162244,0.0031425531317548056,3.1141607103713957e-34,6.36905752976919e-32,328,1
7964,12910,HLDF,ENSG00000171858,0.00312030150082336,1.8114950820641128e-42,4.6988415116467895e-40,329,1
8680,14383,PRF1,ENSG00000180644,0.003051829749140246,3.9496790871732647e-10,3.2816278978193495e-08,87,1
9618,16561,RPL37A,ENSG00000197756,0.0030242964291037656,1.3904042325793413e-30,2.549473967841603e-28,312,1
3625,5410,ATP5F1E,ENSG00000124172,0.003009178881327827,5.1931706014529906e-27,8.496826053300393e-25,308,1
8858,14801,CSMD1,ENSG00000183117,0.0030060776819785437,0.0022074175842979743,0.042298893709926046,24,1
5873,9061,US3,ENSG00000149273,0.003005966544151306,1.2049425528983944e-34,2.512659617661652e-32,330,1
5339,8155,TIP-B1,ENSG00000142669,0.0029760005540753667,1.1626965243808676e-27,1.9627424661572263e-25,304,1
5911,9132,FAU,ENSG00000149806,0.002908526447043955,1.429481710444422e-29,2.533756331762738e-27,329,1
4750,7229,TRX80,ENSG00000136810,0.002846476795909169,4.841063452171985e-09,3.4786966090438554e-07,91,1
2550,3766,RPS13,ENSG00000110700,0.002842172844431683,4.188077699780185e-30,7.549187514773265e-28,329,1
5892,9097,EPG4,ENSG00000149547,0.002817307731934956,9.874468627553629e-05,0.003144160893833319,28,1
10261,18099,TNF-ALPHA,ENSG00000232810,0.0027971898671239614,4.4762237181759156e-08,2.816842558745613e-06,64,1
5800,8944,TRUP,ENSG00000148303,0.0027868709780953147,2.801566712546074e-26,4.51434272544356e-24,330,1
1251,1813,RPLP0,ENSG00000089157,0.0027821645599145155,1.412351169053983e-27,2.3469304192014232e-25,325,1
1538,2244,UL3,ENSG00000100316,0.002704549716277556,8.102279750613736e-29,1.4125859860291325e-26,330,1
3907,5861,MPMCD,ENSG00000127554,0.002695106901228428,0.0017551094709171416,0.0355448817354041,24,1
4265,6463,FXC1,ENSG00000132286,0.0026879761463556536,9.612682890712586e-05,0.003097905531597829,39,1
4244,6432,MAC2,ENSG00000131981,0.0026473795374234517,3.990098991898909e-12,3.965860072789243e-10,150,1
749,1079,TGFBR3,ENSG00000069702,0.002642492763698101,0.0009241499524980041,0.021506202942705194,32,1
865,1256,NCBP3,ENSG00000074356,0.0026398551900212357,0.0002589082514895544,0.007362270734201634,41,1
767,1109,RNF126,ENSG00000070423,0.002629809738958583,1.3075550735488563e-06,6.378829452840407e-05,68,1
10325,18307,GLIF,ENSG00000240972,0.0025966510457812613,3.7266680378514643e-22,5.743929649644975e-20,265,1
654,952,EFI-A,ENSG00000065978,0.0025591579475526,9.645242442047775e-17,1.22115658775212e-14,271,1
5122,7821,H4F5REL,ENSG00000140264,0.0025561628894156395,5.200300051905669e-18,7.000657095191999e-16,301,1
10194,17821,C6ORF226,ENSG00000221821,0.0025515939902376245,0.002619635719245342,0.04795150752869916,27,1
9828,16917,MT-ND1,ENSG00000198888,0.002511056034632449,1.702730239735916e-18,2.3517579350118787e-16,318,1
5581,8552,ZLYAR,ENSG00000145220,0.0024987040873033456,7.025874688166265e-07,3.66329968162037e-05,83,1
3485,5175,L21,ENSG00000122026,0.0024919028575427996,5.037326664804705e-22,7.545347757774372e-20,313,1
2404,3535,HLR1,ENSG00000108654,0.002470843609272511,3.6897746331705067e-32,7.134682404321516e-30,323,1
9826,16915,MT-ND4,ENSG00000198886,0.0024563945853371726,1.341349956628559e-15,1.6396846883614624e-13,317,1
4684,7124,BRI2,ENSG00000136156,0.002444911122757153,3.5810628895223805e-14,4.095118691405432e-12,274,1
8966,15069,THAP7,ENSG00000184436,0.0024381315006929286,0.0002474756812399059,0.00709408051209272,34,1
6832,10763,HEL-S-43,ENSG00000163191,0.0023827570652173572,9.164890205790973e-08,5.506700979581186e-06,121,1
9662,16639,L42MT,ENSG00000198015,0.0023625863617972322,0.0024792348462262343,0.04633859857577505,38,1
5117,7815,NIPA2,ENSG00000140157,0.00236132327053282,0.0009978964836315244,0.022725115853150457,36,1
7794,12548,ATG8A,ENSG00000170296,0.0023478837347174265,1.6955269146617156e-08,1.1269955460892092e-06,166,1
10366,18411,PUF,ENSG00000243678,0.0023373413151798984,2.1835107687205343e-07,1.2286580436689356e-05,181,1
1260,1827,FXYD5,ENSG00000089327,0.002327814353864734,4.858021723882797e-12,4.783801947545699e-10,238,1
5416,8282,L9MT,ENSG00000143436,0.0023121459409594534,0.0009352517062773314,0.02157570910251501,40,1
300,457,MDU2,ENSG00000026508,0.0023112871521522127,3.486882205261884e-17,4.522316128409773e-15,252,1
