,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
9862,16845,UL1,ENSG00000198755,0.008047172621865967,2.8967554486050425e-226,3.1076392452634896e-222,398,1
10345,18068,D6S218E,ENSG00000231500,0.00781976942558241,4.242266026100298e-222,2.2755514964002003e-218,401,1
6701,10410,RPL8,ENSG00000161016,0.007274619055603017,5.919395637352527e-202,2.1167758799172637e-198,398,1
5778,8839,MRXS35,ENSG00000147403,0.006552776642273786,2.896649996807251e-195,7.768815291437047e-192,401,1
146,233,US10,ENSG00000008988,0.006040275968306246,7.830684865064481e-116,5.600505815494117e-113,342,1
10524,18676,EEF1G,ENSG00000254772,0.005366559683655699,3.3094749655350532e-124,3.2276406754781864e-121,384,1
9906,16915,MT-ND4,ENSG00000198886,0.005108389614538832,6.731975377617917e-98,3.61103159255425e-95,364,1
9888,16890,MT-ND3,ENSG00000198840,0.004795157326962137,1.5236346377058695e-132,1.8161724881453965e-129,394,1
1263,1813,RPLP0,ENSG00000089157,0.004786154334235964,2.3287265145530845e-158,4.163763008020915e-155,401,1
10420,18321,L36A,ENSG00000241343,0.004725208178387215,9.005442375869304e-123,7.431568139101992e-120,398,1
6363,9842,EL30,ENSG00000156482,0.004593062151845851,1.9947930031959257e-142,2.6750174172857366e-139,401,1
3502,5175,L21,ENSG00000122026,0.0044451973512959295,8.189320919365475e-118,6.275359630210915e-115,391,1
9417,15987,CTG-B33,ENSG00000188846,0.004322660757121897,6.952485048900759e-99,3.925592610768807e-96,401,1
10095,17362,TMSB4X,ENSG00000205542,0.004309083606834126,2.477795778925718e-113,1.661362069769694e-110,401,1
2954,4358,RPS15,ENSG00000115268,0.00414944938070459,3.2947731563799423e-124,3.2276406754781864e-121,401,1
7518,11901,D16S444E,ENSG00000167526,0.0041187377158840395,2.755189091029628e-123,2.4631390473804872e-120,401,1
589,853,DBA18,ENSG00000063177,0.003971841018646956,2.100438366879281e-112,1.3255001646988779e-109,400,1
9705,16561,RPL37A,ENSG00000197756,0.003933168629455806,2.2049430685586437e-108,1.3141460688609516e-105,398,1
1976,2873,FZ-3,ENSG00000104290,0.0037192339077591896,0.0007450685462092648,0.009176917753998844,8,1
8721,14280,PTHSL2,ENSG00000179915,0.0035334782941000803,0.004051016072934369,0.03615582398539094,7,1
9266,15509,RPS23,ENSG00000186468,0.003496011482212609,2.5381605960890014e-84,1.1345577864517838e-81,401,1
7140,11199,RPS14,ENSG00000164587,0.0034385340474545954,2.309267552517127e-88,1.1797058239716065e-85,400,1
9751,16645,CCG2,ENSG00000198034,0.0033557409806144506,7.093546338872871e-88,3.308676744496876e-85,401,1
