,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
9732,16645,CCG2,ENSG00000198034,0.011731580198665062,3.481810067028211e-212,3.728670400780511e-208,349,1
9844,16845,UL1,ENSG00000198755,0.009175613676376398,2.1993273833547936e-190,7.850865649448828e-187,339,1
10327,18068,D6S218E,ENSG00000231500,0.008928909195320947,9.857612794840283e-181,2.6391293854986147e-177,350,1
9846,16849,MT-ND2,ENSG00000198763,0.00785857330339658,4.5066115025820945e-168,8.043550430191941e-165,329,1
592,853,DBA18,ENSG00000063177,0.007499798470547684,4.84451556027695e-165,7.411416733572265e-162,349,1
4847,7313,ES6,ENSG00000137154,0.007333906532871006,9.770459483544367e-132,9.511986419025149e-129,349,1
9397,15987,CTG-B33,ENSG00000188846,0.007219617700679254,2.711421996876218e-164,3.6295772705684275e-161,349,1
148,233,US10,ENSG00000008988,0.007051657749353534,3.827709875021275e-99,1.863224775072856e-96,274,1
5643,8599,L37,ENSG00000145592,0.00697320003594671,2.418511486809795e-156,2.8777599458051216e-153,350,1
9889,16915,MT-ND4,ENSG00000198886,0.006892782751641242,8.4505782456715e-125,6.464088745206863e-122,306,1
1598,2300,SECT,ENSG00000100453,0.006800937301972333,2.9475990640701903e-15,2.1473359440222902e-13,34,1
2985,4406,GNLY,ENSG00000115523,0.006702517921274359,3.802712158315348e-08,1.2928014128063194e-06,22,1
5769,8839,MRXS35,ENSG00000147403,0.006279729860169547,2.75568493038029e-129,2.2700484553417327e-126,350,1
10077,17362,TMSB4X,ENSG00000205542,0.006177698586668287,3.2328622594633645e-123,2.3080481291062112e-120,350,1
3221,4740,RPS25,ENSG00000118181,0.006114407884223121,3.7670605693030944e-136,4.034145163666684e-133,350,1
1501,2170,GAL1,ENSG00000100097,0.005943357499073381,3.3101542487913877e-34,5.137455340624198e-32,184,1
9007,14987,ACTG1,ENSG00000184009,0.005906598493913931,2.7208001811656792e-101,1.456852457005163e-98,326,1
5791,8873,HUML7-1,ENSG00000147604,0.0056640252061316235,7.635620318316577e-92,3.4070774162021755e-89,291,1
6357,9842,EL30,ENSG00000156482,0.005605773031711578,2.0949553292978993e-122,1.4021797888407002e-119,350,1
1266,1813,RPLP0,ENSG00000089157,0.005559683230339969,1.0358988367873827e-129,9.244533869296733e-127,349,1
3501,5175,L21,ENSG00000122026,0.005400738383303146,2.6013960388792763e-100,1.3265881038265794e-97,334,1
2571,3766,RPS13,ENSG00000110700,0.005213926741079478,1.8812812433863493e-116,1.185096519730848e-113,349,1
10647,19452,LAG-1,ENSG00000275302,0.004954088990594826,1.528953004685741e-33,2.339079675311372e-31,102,1
7505,11901,D16S444E,ENSG00000167526,0.004930451874222074,2.5169199012494092e-104,1.418615538025259e-101,350,1
7876,12594,PERP1,ENSG00000170476,0.004880702921322414,0.00022608863503004463,0.00331668930484486,14,1
5374,8155,TIP-B1,ENSG00000142669,0.004873632127980152,3.830471083989631e-88,1.6408205935377983e-85,332,1
9891,16917,MT-ND1,ENSG00000198888,0.0047742793586023876,2.654044394476736e-83,1.0931600546327448e-80,321,1
9684,16558,GP11,ENSG00000197747,0.004528911369051903,1.1734517609572457e-76,4.333274106238326e-74,314,1
6299,9740,EOMFC,ENSG00000155657,0.004499702817863888,0.0013524149306154423,0.01509928401788532,9,1
799,1142,EL31,ENSG00000071082,0.004391964312430259,3.284667016889192e-74,1.0992343463708238e-71,333,1
2643,3880,GAPDH,ENSG00000111640,0.004257625851791569,5.485488221057229e-66,1.678402667408625e-63,327,1
9856,16868,MT-CO1,ENSG00000198804,0.004255870266425234,2.723798108689332e-82,1.0803390350353355e-79,349,1
2952,4358,RPS15,ENSG00000115268,0.004248532397406442,1.2178805180525428e-78,4.6579580242231e-76,350,1
1554,2244,UL3,ENSG00000100316,0.004149278567137896,2.4252883413518376e-76,8.657470949178944e-74,349,1
9871,16890,MT-ND3,ENSG00000198840,0.0041089022873774085,1.0091706060315554e-71,3.2749115212096747e-69,338,1
7107,11161,CSF2,ENSG00000164400,0.004108155146241188,0.0011524770961685656,0.013283255687273383,8,1
2674,3922,NKR-P1A,ENSG00000111796,0.00407243392902528,1.3668102963768053e-44,2.5679248182279316e-42,211,1
6454,10009,AGAP1,ENSG00000157985,0.004053195007145405,0.004310369586935316,0.03768142686244106,8,1
8800,14496,ZFP467,ENSG00000181444,0.004029560834169388,0.005328466557041565,0.04468484601359289,8,1
9895,16923,MT-ATP6,ENSG00000198899,0.00395637692652793,1.763552326662478e-65,5.246078296174576e-63,347,1
7593,12055,HILAP,ENSG00000168060,0.003946648402647538,0.000214442570763294,0.00317630081646489,11,1
7550,11988,IBP6,ENSG00000167779,0.003887978382408619,0.0031112228966279996,0.029252050921851843,8,1
974,1398,CMAP,ENSG00000077984,0.0038684210386769526,1.8729356889421833e-27,2.416538348539981e-25,145,1
4923,7435,LP1,ENSG00000137818,0.003856021485158375,1.7634666973320205e-49,3.631724011870886e-47,350,1
9687,16561,RPL37A,ENSG00000197756,0.003836388338585289,2.431989081252152e-65,7.03896515435927e-63,343,1
5636,8584,FTE1,ENSG00000145425,0.003788561852761579,4.9087379258948736e-67,1.5461080720120057e-64,347,1
8750,14383,PRF1,ENSG00000180644,0.0037597251289031085,2.4941514450367066e-16,2.0546052172998534e-14,102,1
301,453,VIM,ENSG00000026025,0.003758945439890592,1.6091836327119742e-50,3.4465495045425064e-48,343,1
7129,11199,RPS14,ENSG00000164587,0.0037409894830176347,1.3220031954916751e-56,3.1460738267823e-54,349,1
5949,9132,FAU,ENSG00000149806,0.0037291498695101056,2.077514463996876e-62,5.562025598735636e-60,350,1
9912,16946,MT-CO3,ENSG00000198938,0.0036393878468568776,1.0751694369699044e-56,2.616815795570615e-54,345,1
6863,10726,H3.3A,ENSG00000163041,0.003626136757109476,2.986146410740697e-45,5.710471770111093e-43,276,1
2419,3535,HLR1,ENSG00000108654,0.003611961890638402,8.151742241785029e-75,2.8160325053959956e-72,339,1
10342,18129,S28,ENSG00000233927,0.0034943895686663324,6.380280718070332e-60,1.6664982002393946e-57,349,1
3063,4518,EL22,ENSG00000116251,0.0034528513483348348,1.1263336592073717e-49,2.3650798345983814e-47,336,1
8020,12894,METTL18,ENSG00000171806,0.003423600923269987,0.0003601347455385696,0.0049580267266033685,16,1
8989,14941,KCTD16,ENSG00000183775,0.0034171100705862045,0.003700478710724939,0.03325796277103248,12,1
10400,18321,L36A,ENSG00000241343,0.0033942474755498794,1.0661758424245418e-51,2.3301381829641668e-49,347,1
457,665,MRD12,ENSG00000049618,0.003336253060289651,1.094360728576814e-20,1.1268758694547213e-18,121,1
6691,10410,RPL8,ENSG00000161016,0.0032992128660713415,7.606220851751942e-43,1.4043968810588198e-40,345,1
9462,16144,KIAA0792,ENSG00000196187,0.003287637312161295,0.0004301062910527186,0.005764716233896825,19,1
911,1312,ACTB,ENSG00000075624,0.0032843796908855437,9.731495035602697e-55,2.2173314965163678e-52,350,1
9717,16620,CACY,ENSG00000197956,0.003279894784529745,1.0704086898437326e-34,1.7108965163487363e-32,307,1
8770,14435,TM7SF1L2,ENSG00000180998,0.003277233418296365,0.0007661163629729467,0.00949576404059871,17,1
2927,4321,NCL,ENSG00000115053,0.0032646878500709265,5.688087262269988e-46,1.107522299848169e-43,283,1
9458,16134,CAPL,ENSG00000196154,0.0032610557199585686,1.5474975298811077e-22,1.691035821173141e-20,337,1
7797,12439,MRT64,ENSG00000169783,0.0032261189292458925,0.0006879555225372308,0.008749781105523996,17,1
4520,6809,IL15RA,ENSG00000134470,0.003197469189763069,6.416427450794177e-05,0.0010994163451288775,20,1
7531,11947,EF2,ENSG00000167658,0.0031892843664267437,1.2741779696586107e-42,2.312740996114248e-40,311,1
7985,12817,HOPX,ENSG00000171476,0.003136386260664536,4.0233845626818676e-17,3.4747117162709773e-15,163,1
1523,2205,TREB-5,ENSG00000100219,0.0031034714907785003,1.6358045273214781e-25,2.0135437566765185e-23,158,1
2453,3591,NAT9,ENSG00000109065,0.003074157517403364,0.0006463640906754838,0.008319607027696822,16,1
2399,3512,ALS18,ENSG00000108518,0.0030101710593311297,6.761194306826146e-41,1.2067604971966866e-38,337,1
1369,1973,LC17,ENSG00000092841,0.0029871634288922253,2.091769568675037e-32,3.1112167098529127e-30,298,1
9249,15509,RPS23,ENSG00000186468,0.002953707107475826,7.048006194356474e-39,1.2173725537961852e-36,350,1
554,800,TRP185,ENSG00000059588,0.0029482406874497733,0.0019432752332939974,0.020029388328532644,18,1
8931,14801,CSMD1,ENSG00000183117,0.0029346853494644164,0.00026966533327780096,0.0038711073110884327,30,1
10505,18676,EEF1G,ENSG00000254772,0.002926022419101232,3.287994269008916e-35,5.335019791941891e-33,308,1
913,1317,DLGH1,ENSG00000075711,0.002908802874710249,2.139790948053553e-05,0.0004128832659946936,46,1
9373,15927,C12ORF55,ENSG00000188596,0.00286484243614333,0.0020104529290280574,0.020583117033423963,14,1
1067,1544,PPM3A,ENSG00000081913,0.0028469781080881756,0.0027016221544808425,0.026064569056157966,15,1
8901,14727,S17,ENSG00000182774,0.0028463393070940245,8.597532680599354e-17,7.19304511535457e-15,236,1
6568,10219,MINDIN,ENSG00000159674,0.002845686227083206,1.4915505079651881e-10,6.826074525555214e-09,100,1
5,11,DJ20N2.5,ENSG00000001036,0.0028196512298150496,0.0031507149487297165,0.029492011375053424,11,1
6962,10917,C4ORF34,ENSG00000163683,0.0028128488920629025,0.0018491544600310805,0.019321167960389303,16,1
