standard_gene_names,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig,-log10_FDR
RPL10,8839,MRXS35,ENSG00000147403,0.008975372260267,1.4434898823931774e-169,1.5351514899251445e-165,330,1,164.8138487615599
RPS18,18068,D6S218E,ENSG00000231500,0.0087279532229284,4.797182531851815e-156,2.5509018113122027e-152,329,1,151.59330625782533
RPL8,10410,RPL8,ENSG00000161016,0.0076478418507953,1.9045836026797632e-147,6.751748871499761e-144,328,1,143.17058371948522
RPL10A,16845,UL1,ENSG00000198755,0.0073051557876169,2.0923502136614697e-116,4.4504289044579455e-113,320,1,112.35159813242059
RPL36A,18321,L36A,ENSG00000241343,0.0066274408239441,4.6859429047785616e-80,3.7091443263209605e-77,321,1,76.43072626753273
VIM,453,VIM,ENSG00000026025,0.0066182938255486,3.8954539859678686e-102,5.178519142596036e-99,319,1,98.28579441402798
S100A6,16620,CACY,ENSG00000197956,0.0063958199747116,6.560565198843602e-79,4.6514407259801135e-76,249,1,75.33241250895267
RPL13,11901,D16S444E,ENSG00000167526,0.0056392144750465,1.3006843732306784e-98,1.3832778309308265e-95,330,1,94.85909058321532
RPS25,4740,RPS25,ENSG00000118181,0.005560416558412,2.4707827881505927e-99,2.9196416613312842e-96,329,1,95.53467044788593
RPL30,9842,EL30,ENSG00000156482,0.0054975328346093,3.4914982747566365e-106,6.188680692006138e-103,330,1,102.20840192436441
RPS27,13986,ES27,ENSG00000177954,0.00530016792543,7.918446116145525e-51,3.238949017123371e-48,330,1,47.48959588797508
RPS4X,16645,CCG2,ENSG00000198034,0.0052678581440087,1.960952766220481e-86,1.7378943890629014e-83,330,1,82.759976618935
IFITM1,15374,DSPA2A,ENSG00000185885,0.0052625314110801,5.304255311479812e-51,2.350448134899492e-48,210,1,47.62884932753273
RPL14,15987,CTG-B33,ENSG00000188846,0.0051761820550022,1.109625799480335e-75,6.941688457337272e-73,329,1,72.15853488134387
RPS6,7313,ES6,ENSG00000137154,0.0050010333534069,1.0329859185358292e-71,5.782002759804497e-69,329,1,68.23792170537246
MT-ND2,16849,MT-ND2,ENSG00000198763,0.0048214041880358,1.513791609516188e-40,3.743993899349921e-38,321,1,37.42666486759441
MT-ND3,16890,MT-ND3,ENSG00000198840,0.0047524630120306,2.8848458883168973e-72,1.7044631123472335e-69,330,1,68.76841239324847
DOCK5,8851,DOCK5,ENSG00000147459,0.004669249885612,0.002596697859674,0.0477031863787351,9,1,1.3214526108868487
RPS20,233,US10,ENSG00000008988,0.0045903204966371,9.76619376464124e-44,2.7332492286041996e-41,214,1,40.563320765792675
ATP6V0C,15373,VMA3,ENSG00000185883,0.0044705735895555,2.3116467280781964e-35,4.916872590622324e-33,213,1,32.30831104530076
CFD,16564,ADIPSIN,ENSG00000197766,0.0044694766402244,0.00140183688382,0.0299245616972911,8,1,1.523972201952192
ACTB,1312,ACTB,ENSG00000075624,0.0044449590823867,1.4528210319746143e-68,7.725375837525013e-66,330,1,65.1120803830756
S100A10,16558,GP11,ENSG00000197747,0.0043842429712192,1.6387061562213409e-52,7.5772347701799825e-50,268,1,49.12048925652593
S100A4,16134,CAPL,ENSG00000196154,0.004259691978323,9.959984005131358e-47,3.310138434205375e-44,290,1,43.48015384309609
PSTPIP2,9372,MAYP,ENSG00000152229,0.0042108636010776,0.002597098722453,0.0477031863787351,11,1,1.3214526108868487
RPLP1,7435,LP1,ENSG00000137818,0.0042078969830816,4.840717743478609e-63,2.4514777715188096e-60,330,1,59.610572040313166
RPL7,8873,HUML7-1,ENSG00000147604,0.0041789796948432,4.3617827094613557e-38,9.664074815650316e-36,250,1,35.01483971656459
EEF1G,18676,EEF1G,ENSG00000254772,0.0041716238451336,5.7844565345113595e-43,1.537942381113208e-40,287,1,39.81305993503741
MT-CO1,16868,MT-CO1,ENSG00000198804,0.0041521197015588,6.885378665753245e-51,2.9290400844114305e-48,330,1,47.53327468488393
TIMP1,2635,TIMP,ENSG00000102265,0.00387662623463,0.0011138090910458,0.0248852094186392,29,1,1.6040587001489424
RPL39,16934,RPL39,ENSG00000198918,0.0038161185203176,8.010069450037311e-46,2.5814269273074792e-43,330,1,42.58814016405712
GRIP1,9778,FRASRS3,ENSG00000155974,0.0037938935889138,0.0011174557492924,0.0249143435927162,9,1,1.6035505505084395
RPL37,8599,L37,ENSG00000145592,0.0037820766821052,3.6456543471980856e-49,1.4359827400908015e-46,330,1,45.842850780099546
MT-CYB,16830,MT-CYB,ENSG00000198727,0.0037263926220519,3.874723988758076e-47,1.3292803103368434e-44,329,1,43.87638342808961
EEF1B2,4308,EEF1B1,ENSG00000114942,0.0037028413265943,1.3622022245377637e-52,6.585009389981416e-50,320,1,49.18144360141378
RPS23,15509,RPS23,ENSG00000186468,0.0037009724186546,2.5360336886307544e-44,7.289383318537317e-42,329,1,41.137309211419314
MT-ND5,16857,MT-ND5,ENSG00000198786,0.0036547338751734,1.2355881417148516e-47,4.693028531120516e-45,311,1,44.32854680549973
EEF2,11947,EF2,ENSG00000167658,0.0035623866679339,3.974532164190007e-38,8.993436077906536e-36,290,1,35.04607434780339
MT-ATP6,16923,MT-ATP6,ENSG00000198899,0.003512908811822,1.0935140985605935e-38,2.5281570517808505e-36,330,1,35.59719595072066
RPL17,19067,RPL17,ENSG00000265681,0.0034996751487625,1.9129270172218142e-18,2.608202413865896e-16,322,1,15.583658707490025
RPS3A,8584,FTE1,ENSG00000145425,0.0034977647165457,2.209949791181089e-47,8.104419320417547e-45,330,1,44.09127809678989
RPL28,3465,EL28,ENSG00000108107,0.0034715664206129,2.205091204053515e-43,6.013114091053623e-41,330,1,40.22090055590089
RPL34,3638,RPL34,ENSG00000109475,0.0034101631153713,4.405815567567338e-33,8.840726143599744e-31,330,1,30.053512062225973
RPS14,11199,RPS14,ENSG00000164587,0.003287779598883,7.630233103698745e-38,1.6560720215884927e-35,328,1,34.780920779931385
MT-CO3,16946,MT-CO3,ENSG00000198938,0.0032121919797546,7.746913262488094e-31,1.4712218311885869e-28,329,1,27.83232183930669
RPL38,13119,EL38,ENSG00000172809,0.0031929217812799,1.143928331960692e-32,2.2529032982225847e-30,321,1,29.647257449177026
RNASEK,17808,RNASEK,ENSG00000219200,0.0031818387344711,1.2411993148202243e-16,1.5529593780133045e-14,193,1,13.808839904307115
FTH1,12039,HFE5,ENSG00000167996,0.0031666544538277,9.448600368152236e-40,2.233019220339978e-37,325,1,36.65110753879526
RPS29,17593,US14,ENSG00000213741,0.0031454039549608,1.6087357317431162e-20,2.3436855489161695e-18,327,1,17.63010065781244
RPL29,10532,RPL29,ENSG00000162244,0.0031425531317548,3.1141607103713957e-34,6.36905752976919e-32,328,1,31.195924828246
RPS21,12910,HLDF,ENSG00000171858,0.0031203015008233,1.8114950820641128e-42,4.6988415116467895e-40,329,1,39.32800920315284
PRF1,14383,PRF1,ENSG00000180644,0.0030518297491402,3.9496790871732647e-10,3.2816278978193495e-08,87,1,7.483910664929908
RPL37A,16561,RPL37A,ENSG00000197756,0.0030242964291037,1.3904042325793412e-30,2.549473967841603e-28,312,1,27.593549418166194
ATP5F1E,5410,ATP5F1E,ENSG00000124172,0.0030091788813278,5.193170601452991e-27,8.496826053300393e-25,308,1,24.070743272516037
CSMD1,14801,CSMD1,ENSG00000183117,0.0030060776819785,0.0022074175842979,0.042298893709926,24,1,1.3736709910636673
RPS3,9061,US3,ENSG00000149273,0.0030059665441513,1.2049425528983942e-34,2.512659617661652e-32,330,1,31.59986633997233
SH3BGRL3,8155,TIP-B1,ENSG00000142669,0.0029760005540753,1.1626965243808676e-27,1.9627424661572263e-25,304,1,24.707136680972685
FAU,9132,FAU,ENSG00000149806,0.0029085264470439,1.4294817104444218e-29,2.5337563317627378e-27,329,1,26.59623515301184
TXN,7229,TRX80,ENSG00000136810,0.0028464767959091,4.841063452171985e-09,3.478696609043856e-07,91,1,6.458583446148544
RPS13,3766,RPS13,ENSG00000110700,0.0028421728444316,4.188077699780185e-30,7.549187514773265e-28,329,1,27.122099787024876
EI24,9097,EPG4,ENSG00000149547,0.0028173077319349,9.874468627553628e-05,0.0031441608938333,28,1,2.502495238231833
TNF,18099,TNF-ALPHA,ENSG00000232810,0.0027971898671239,4.476223718175916e-08,2.816842558745613e-06,64,1,5.550237426276147
RPL7A,8944,TRUP,ENSG00000148303,0.0027868709780953,2.801566712546074e-26,4.5143427254435604e-24,330,1,23.345405472702044
RPLP0,1813,RPLP0,ENSG00000089157,0.0027821645599145,1.412351169053983e-27,2.3469304192014232e-25,325,1,24.629499785989314
RPL3,2244,UL3,ENSG00000100316,0.0027045497162775,8.102279750613735e-29,1.4125859860291322e-26,330,1,25.84998510660843
GFER,5861,MPMCD,ENSG00000127554,0.0026951069012284,0.0017551094709171,0.0355448817354041,24,1,1.4492229264138516
