standard_gene_names,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig,-log10_FDR
RPL10A,16845,UL1,ENSG00000198755,0.0080471726218659,2.896755448605042e-226,3.1076392452634896e-222,398,1,221.50756940263975
RPS18,18068,D6S218E,ENSG00000231500,0.0078197694255824,4.242266026100298e-222,2.2755514964002003e-218,401,1,217.64291333183442
RPL8,10410,RPL8,ENSG00000161016,0.007274619055603,5.919395637352527e-202,2.116775879917264e-198,398,1,197.67432512179533
RPL10,8839,MRXS35,ENSG00000147403,0.0065527766422737,2.8966499968072513e-195,7.768815291437047e-192,401,1,191.1096452040588
RPS20,233,US10,ENSG00000008988,0.0060402759683062,7.830684865064482e-116,5.600505815494117e-113,342,1,112.25177274746565
EEF1G,18676,EEF1G,ENSG00000254772,0.0053665596836556,3.309474965535053e-124,3.2276406754781864e-121,384,1,120.49111482009097
MT-ND4,16915,MT-ND4,ENSG00000198886,0.0051083896145388,6.731975377617917e-98,3.61103159255425e-95,364,1,94.44236871195757
MT-ND3,16890,MT-ND3,ENSG00000198840,0.0047951573269621,1.5236346377058695e-132,1.8161724881453965e-129,394,1,128.74084290741607
RPLP0,1813,RPLP0,ENSG00000089157,0.0047861543342359,2.328726514553084e-158,4.163763008020915e-155,401,1,154.38051399751834
RPL36A,18321,L36A,ENSG00000241343,0.0047252081783872,9.005442375869304e-123,7.431568139101992e-120,398,1,119.12891953586242
RPL30,9842,EL30,ENSG00000156482,0.0045930621518458,1.9947930031959257e-142,2.6750174172857366e-139,401,1,138.57267338590202
RPL21,5175,L21,ENSG00000122026,0.0044451973512959,8.189320919365475e-118,6.275359630210915e-115,391,1,114.202361380454
RPL14,15987,CTG-B33,ENSG00000188846,0.0043226607571218,6.952485048900759e-99,3.925592610768807e-96,401,1,95.40609477250864
TMSB4X,17362,TMSB4X,ENSG00000205542,0.0043090836068341,2.4777957789257177e-113,1.661362069769694e-110,401,1,109.7795357090494
RPS15,4358,RPS15,ENSG00000115268,0.0041494493807045,3.2947731563799423e-124,3.2276406754781864e-121,401,1,120.49111482009097
RPL13,11901,D16S444E,ENSG00000167526,0.004118737715884,2.755189091029628e-123,2.4631390473804872e-120,401,1,119.60851107098446
RPL18,853,DBA18,ENSG00000063177,0.0039718410186469,2.1004383668792812e-112,1.325500164698878e-109,400,1,108.877620213968
RPL37A,16561,RPL37A,ENSG00000197756,0.0039331686294558,2.204943068558644e-108,1.3141460688609516e-105,398,1,104.8813563597575
FZD3,2873,FZ-3,ENSG00000104290,0.0037192339077591,0.0007450685462092,0.0091769177539988,8,1,2.0373031605419856
NRXN1,14280,PTHSL2,ENSG00000179915,0.0035334782941,0.0040510160729343,0.0361558239853909,7,1,1.4418217365161996
RPS23,15509,RPS23,ENSG00000186468,0.0034960114822126,2.538160596089001e-84,1.1345577864517838e-81,401,1,80.94517337928718
RPS14,11199,RPS14,ENSG00000164587,0.0034385340474545,2.309267552517127e-88,1.1797058239716065e-85,400,1,84.92822627655299
RPS4X,16645,CCG2,ENSG00000198034,0.0033557409806144,7.093546338872871e-88,3.308676744496876e-85,401,1,84.48034566104775
MLH3,4892,MLH3,ENSG00000119684,0.0033550169318914,7.053565772212519e-05,0.0012087963834552,12,1,2.9176468480136704
ZNF254,17521,ZNF539,ENSG00000213096,0.0032962553880431,0.0005110698232965,0.0066296941527516,11,1,2.178506506412136
CCDC30,15494,PFDN6L,ENSG00000186409,0.0032088098426659,0.0020408099553998,0.0213806730483691,6,1,1.6699786276308897
MT-ND2,16849,MT-ND2,ENSG00000198763,0.0032071473266795,7.017543063462905e-56,2.2142412348479433e-53,363,1,52.65477506581679
RPS3A,8584,FTE1,ENSG00000145425,0.0031966289691627,2.9516349066124923e-88,1.4393245126426735e-85,400,1,84.84184127822378
S100A6,16620,CACY,ENSG00000197956,0.0031636118770278,4.916931431453947e-38,1.0144007768584219e-35,377,1,34.993790426866525
ZNF543,14033,ZNF543,ENSG00000178229,0.0031271837651729,0.003283328721322,0.0307092855469421,8,1,1.5127302873221533
RPS13,3766,RPS13,ENSG00000110700,0.003115714804044,6.704752571156652e-79,2.6640216882729094e-76,401,1,75.57446224381897
RPS29,17593,US14,ENSG00000213741,0.003113242846326,5.364888160153573e-75,2.055518577933126e-72,401,1,71.68707859367936
