standard_gene_names,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig,-log10_FDR
RPS4X,16645,CCG2,ENSG00000198034,0.011731580198665,3.481810067028211e-212,3.7286704007805106e-208,349,1,207.4284460047987
RPL10A,16845,UL1,ENSG00000198755,0.0091756136763763,2.1993273833547936e-190,7.850865649448829e-187,339,1,186.10508245458573
RPS18,18068,D6S218E,ENSG00000231500,0.0089289091953209,9.857612794840285e-181,2.6391293854986147e-177,350,1,176.5785393176122
MT-ND2,16849,MT-ND2,ENSG00000198763,0.0078585733033965,4.506611502582095e-168,8.043550430191941e-165,329,1,164.09455221096727
RPL18,853,DBA18,ENSG00000063177,0.0074997984705476,4.84451556027695e-165,7.411416733572265e-162,349,1,161.13009876627683
RPS6,7313,ES6,ENSG00000137154,0.007333906532871,9.770459483544368e-132,9.511986419025147e-129,349,1,128.02172877846365
RPL14,15987,CTG-B33,ENSG00000188846,0.0072196177006792,2.711421996876218e-164,3.629577270568428e-161,349,1,160.44014395340747
RPS20,233,US10,ENSG00000008988,0.0070516577493535,3.827709875021275e-99,1.863224775072856e-96,274,1,95.72973474967417
RPL37,8599,L37,ENSG00000145592,0.0069732000359467,2.418511486809795e-156,2.8777599458051216e-153,350,1,152.5409454364454
MT-ND4,16915,MT-ND4,ENSG00000198886,0.0068927827516412,8.450578245671499e-125,6.464088745206862e-122,306,1,121.18949268978157
GZMB,2300,SECT,ENSG00000100453,0.0068009373019723,2.9475990640701903e-15,2.1473359440222905e-13,34,1,12.668100006228949
GNLY,4406,GNLY,ENSG00000115523,0.0067025179212743,3.802712158315348e-08,1.2928014128063194e-06,22,1,5.888468181961156
RPL10,8839,MRXS35,ENSG00000147403,0.0062797298601695,2.75568493038029e-129,2.2700484553417327e-126,350,1,125.64396487247079
TMSB4X,17362,TMSB4X,ENSG00000205542,0.0061776985866682,3.2328622594633645e-123,2.3080481291062112e-120,350,1,119.63675513919598
RPS25,4740,RPS25,ENSG00000118181,0.0061144078842231,3.7670605693030944e-136,4.034145163666684e-133,350,1,132.3942484782985
LGALS1,2170,GAL1,ENSG00000100097,0.0059433574990733,3.3101542487913877e-34,5.137455340624197e-32,184,1,31.289251940377145
ACTG1,14987,ACTG1,ENSG00000184009,0.0059065984939139,2.7208001811656792e-101,1.456852457005163e-98,326,1,97.83658442925478
RPL7,8873,HUML7-1,ENSG00000147604,0.0056640252061316,7.635620318316578e-92,3.4070774162021755e-89,291,1,88.4676179982057
RPL30,9842,EL30,ENSG00000156482,0.0056057730317115,2.0949553292978996e-122,1.4021797888407002e-119,350,1,118.85319629714299
RPLP0,1813,RPLP0,ENSG00000089157,0.0055596832303399,1.0358988367873828e-129,9.244533869296731e-127,349,1,126.03411498208143
RPL21,5175,L21,ENSG00000122026,0.0054007383833031,2.6013960388792763e-100,1.3265881038265794e-97,334,1,96.87726390155417
RPS13,3766,RPS13,ENSG00000110700,0.0052139267410794,1.8812812433863493e-116,1.185096519730848e-113,349,1,112.92624627726615
CCL4,19452,LAG-1,ENSG00000275302,0.0049540889905948,1.5289530046857409e-33,2.339079675311372e-31,102,1,30.630954984706992
RPL13,11901,D16S444E,ENSG00000167526,0.004930451874222,2.516919901249409e-104,1.418615538025259e-101,350,1,100.84813528765562
MZB1,12594,PERP1,ENSG00000170476,0.0048807029213224,0.00022608863503,0.0033166893048448,14,1,2.4792952096717387
SH3BGRL3,8155,TIP-B1,ENSG00000142669,0.0048736321279801,3.830471083989631e-88,1.6408205935377983e-85,332,1,84.7849389018817
MT-ND1,16917,MT-ND1,ENSG00000198888,0.0047742793586023,2.654044394476736e-83,1.0931600546327447e-80,321,1,79.96131624632582
S100A10,16558,GP11,ENSG00000197747,0.0045289113690519,1.1734517609572456e-76,4.333274106238326e-74,314,1,73.36318383829968
TTN,9740,EOMFC,ENSG00000155657,0.0044997028178638,0.0013524149306154,0.0150992840178853,9,1,1.8210436457170112
RPL31,1142,EL31,ENSG00000071082,0.0043919643124302,3.284667016889192e-74,1.0992343463708238e-71,333,1,70.95890971022786
GAPDH,3880,GAPDH,ENSG00000111640,0.0042576258517915,5.48548822105723e-66,1.678402667408625e-63,327,1,62.775103838945604
MT-CO1,16868,MT-CO1,ENSG00000198804,0.0042558702664252,2.7237981086893316e-82,1.0803390350353356e-79,349,1,78.96643993160676
RPS15,4358,RPS15,ENSG00000115268,0.0042485323974064,1.2178805180525428e-78,4.6579580242231e-76,350,1,75.33180442948327
RPL3,2244,UL3,ENSG00000100316,0.0041492785671378,2.4252883413518376e-76,8.657470949178944e-74,349,1,73.06260895708516
MT-ND3,16890,MT-ND3,ENSG00000198840,0.0041089022873774,1.0091706060315554e-71,3.2749115212096747e-69,338,1,68.48480042891478
CSF2,11161,CSF2,ENSG00000164400,0.0041081551462411,0.0011524770961685,0.0132832556872733,8,1,1.8766954676089094
KLRB1,3922,NKR-P1A,ENSG00000111796,0.0040724339290252,1.3668102963768053e-44,2.5679248182279322e-42,211,1,41.590417695364366
AGAP1,10009,AGAP1,ENSG00000157985,0.0040531950071454,0.0043103695869353,0.037681426862441,8,1,1.4238726603708827
ZNF467,14496,ZFP467,ENSG00000181444,0.0040295608341693,0.0053284665570415,0.0446848460135928,8,1,1.3498397343290773
MT-ATP6,16923,MT-ATP6,ENSG00000198899,0.0039563769265279,1.763552326662478e-65,5.246078296174576e-63,347,1,62.28016523197997
