,0
0,A1BG
1,A1BG-AS1
2,AAAS
3,AACS
4,AAGAB
5,AAK1
6,AAMDC
7,AAMP
8,AAR2
9,AARS
10,AARS2
11,AARSD1
12,AASDH
13,AASDHPPT
14,AATF
15,ABAT
16,ABCA1
17,ABCA2
18,ABCA5
19,ABCA7
20,ABCB1
21,ABCB10
22,ABCB7
23,ABCB8
24,ABCC1
25,ABCC10
26,ABCC4
27,ABCC5
28,ABCD1
29,ABCD2
30,ABCD3
31,ABCD4
32,ABCE1
33,ABCF1
34,ABCF2
35,ABCF3
36,ABCG1
37,ABHD10
38,ABHD11
39,ABHD12
40,ABHD13
41,ABHD14A
42,ABHD14B
43,ABHD15
44,ABHD15-AS1
45,ABHD16A
46,ABHD17A
47,ABHD17B
48,ABHD18
49,ABHD2
50,ABHD3
51,ABHD4
52,ABHD5
53,ABHD6
54,ABHD8
55,ABI1
56,ABI2
57,ABI3
58,ABITRAM
59,ABL1
60,ABL2
61,ABLIM1
62,ABR
63,ABRACL
64,ABRAXAS1
65,ABRAXAS2
66,ABT1
67,ABTB1
68,ABTB2
69,AC002306.1
70,AC002310.1
71,AC002463.1
72,AC002467.1
73,AC004556.3
74,AC004687.1
75,AC004797.1
76,AC004812.2
77,AC004817.3
78,AC004832.6
79,AC004854.2
80,AC005037.1
81,AC005041.5
82,AC005070.3
83,AC005261.1
84,AC005332.1
85,AC005332.4
86,AC005332.6
87,AC005400.1
88,AC005480.1
89,AC005540.1
90,AC005562.1
91,AC005670.3
92,AC005842.1
93,AC005899.8
94,AC005920.2
95,AC005944.1
96,AC006001.2
97,AC006059.1
98,AC006064.2
99,AC006064.4
100,AC006141.1
101,AC006369.1
102,AC006449.6
103,AC006460.1
104,AC006460.2
105,AC006504.5
106,AC007032.1
107,AC007216.4
108,AC007383.2
109,AC007384.1
110,AC007448.4
111,AC007619.1
112,AC007728.1
113,AC007780.1
114,AC007952.4
115,AC008014.1
116,AC008074.2
117,AC008083.3
118,AC008105.3
119,AC008124.1
120,AC008267.5
121,AC008438.1
122,AC008440.1
123,AC008443.1
124,AC008443.5
125,AC008555.4
126,AC008569.1
127,AC008735.2
128,AC008764.8
129,AC008771.1
130,AC008875.3
131,AC008892.1
132,AC008969.1
133,AC009053.2
134,AC009061.2
135,AC009093.2
136,AC009120.2
137,AC009126.1
138,AC009133.1
139,AC009299.3
140,AC009303.2
141,AC009313.1
142,AC009486.2
143,AC009522.1
144,AC009630.1
145,AC009812.1
146,AC009951.5
147,AC009961.1
148,AC010226.1
149,AC010275.1
150,AC010609.1
151,AC010642.2
152,AC010883.3
153,AC010894.3
154,AC010976.1
155,AC010978.1
156,AC011247.1
157,AC011444.1
158,AC011446.2
159,AC011462.5
160,AC011476.3
161,AC011498.1
162,AC011511.2
163,AC011603.2
164,AC011611.3
165,AC011933.4
166,AC012146.1
167,AC012306.2
168,AC012360.3
169,AC012368.1
170,AC012447.1
171,AC012507.3
172,AC012615.1
173,AC012645.3
174,AC013264.1
175,AC013460.1
176,AC015849.1
177,AC015871.1
178,AC015912.3
179,AC015923.1
180,AC015982.2
181,AC016065.1
182,AC016074.2
183,AC016727.1
184,AC016831.1
185,AC016831.5
186,AC016831.7
187,AC016876.1
188,AC017002.1
189,AC017083.1
190,AC017083.2
191,AC017101.1
192,AC017104.1
193,AC018362.1
194,AC018521.5
195,AC018754.1
196,AC018797.3
197,AC018816.1
198,AC019205.1
199,AC020765.2
200,AC020911.2
201,AC020915.2
202,AC020916.1
203,AC021028.1
204,AC021188.1
205,AC021752.1
206,AC022075.1
207,AC022098.1
208,AC022126.1
209,AC022182.1
210,AC022182.2
211,AC022217.3
212,AC022364.1
213,AC022706.1
214,AC022893.1
215,AC022916.1
216,AC023424.3
217,AC023509.3
218,AC025031.3
219,AC025159.1
220,AC025164.1
221,AC025165.2
222,AC025171.1
223,AC025171.2
224,AC025171.3
