,0
0,A1BG
1,A1BG-AS1
2,A2M
3,AAAS
4,AACS
5,AAGAB
6,AAK1
7,AAMDC
8,AAMP
9,AAR2
10,AARS
11,AARS2
12,AARSD1
13,AASDH
14,AASDHPPT
15,AATF
16,ABAT
17,ABCA1
18,ABCA2
19,ABCA3
20,ABCA5
21,ABCA7
22,ABCB1
23,ABCB10
24,ABCB7
25,ABCB8
26,ABCC1
27,ABCC10
28,ABCC4
29,ABCC5
30,ABCD1
31,ABCD2
32,ABCD3
33,ABCD4
34,ABCE1
35,ABCF1
36,ABCF2
37,ABCF3
38,ABCG1
39,ABHD10
40,ABHD11
41,ABHD12
42,ABHD13
43,ABHD14A
44,ABHD14B
45,ABHD15
46,ABHD15-AS1
47,ABHD16A
48,ABHD17A
49,ABHD17B
50,ABHD18
51,ABHD2
52,ABHD3
53,ABHD4
54,ABHD5
55,ABHD6
56,ABHD8
57,ABI1
58,ABI2
59,ABI3
60,ABITRAM
61,ABL1
62,ABL2
63,ABLIM1
64,ABR
65,ABRACL
66,ABRAXAS1
67,ABRAXAS2
68,ABT1
69,ABTB1
70,ABTB2
71,AC002306.1
72,AC002310.1
73,AC002331.1
74,AC002463.1
75,AC002467.1
76,AC004241.1
77,AC004556.3
78,AC004687.1
79,AC004797.1
80,AC004812.2
81,AC004817.3
82,AC004832.6
83,AC004854.2
84,AC004865.2
85,AC004943.2
86,AC004974.1
87,AC005037.1
88,AC005041.5
89,AC005052.2
90,AC005070.3
91,AC005083.1
92,AC005261.1
93,AC005264.1
94,AC005332.1
95,AC005332.4
96,AC005332.6
97,AC005480.1
98,AC005520.2
99,AC005540.1
100,AC005562.1
101,AC005670.3
102,AC005842.1
103,AC005920.2
104,AC005944.1
105,AC006001.2
106,AC006059.1
107,AC006064.2
108,AC006064.4
109,AC006141.1
110,AC006207.1
111,AC006369.1
112,AC006449.6
113,AC006460.2
114,AC006504.5
115,AC006511.6
116,AC006942.1
117,AC007032.1
118,AC007114.1
119,AC007216.4
120,AC007349.2
121,AC007383.2
122,AC007384.1
123,AC007448.4
124,AC007513.1
125,AC007541.1
126,AC007569.1
127,AC007619.1
128,AC007728.1
129,AC007728.2
130,AC007780.1
131,AC007952.4
132,AC008014.1
133,AC008035.1
134,AC008074.2
135,AC008083.3
136,AC008105.3
137,AC008124.1
138,AC008267.5
139,AC008378.1
140,AC008397.1
141,AC008438.1
142,AC008440.1
143,AC008443.1
144,AC008443.5
145,AC008549.2
146,AC008555.4
147,AC008569.1
148,AC008610.1
149,AC008696.2
150,AC008735.2
151,AC008764.8
152,AC008771.1
153,AC008875.2
154,AC008875.3
155,AC008892.1
156,AC008897.2
157,AC008969.1
158,AC009053.2
159,AC009061.2
160,AC009093.2
161,AC009113.1
162,AC009120.2
163,AC009126.1
164,AC009133.1
165,AC009133.3
166,AC009226.1
167,AC009299.3
168,AC009303.2
169,AC009313.1
170,AC009403.1
171,AC009486.2
172,AC009522.1
173,AC009630.1
174,AC009779.2
175,AC009812.1
176,AC009831.1
177,AC009879.4
178,AC009951.5
179,AC009961.1
180,AC010149.1
181,AC010226.1
182,AC010275.1
183,AC010609.1
184,AC010618.3
185,AC010642.2
186,AC010654.1
187,AC010754.1
188,AC010883.3
189,AC010894.3
190,AC010978.1
191,AC011247.1
192,AC011444.3
193,AC011446.2
194,AC011447.3
195,AC011462.5
196,AC011476.3
197,AC011498.1
198,AC011511.2
199,AC011603.2
200,AC011611.3
201,AC011933.4
202,AC011997.1
203,AC012146.1
204,AC012306.2
205,AC012358.3
206,AC012360.3
207,AC012368.1
208,AC012447.1
209,AC012507.3
210,AC012615.1
211,AC012640.2
212,AC012645.3
213,AC013264.1
214,AC013400.1
215,AC013460.1
216,AC013652.1
217,AC015795.1
218,AC015849.1
219,AC015871.1
220,AC015912.3
221,AC015923.1
222,AC015971.1
223,AC015982.2
224,AC016065.1
