"test_ligand" "auroc" "aupr" "aupr_corrected" "pearson"
"JAM2" 0.508360730498877 0.220640928406419 0.0147585754652426 0.0144453057024697
"TGFB1" 0.508350019646096 0.221794677923694 0.0159123249825175 0.0452464428675718
"IFNG" 0.508133956788156 0.221070996109611 0.0151886431684341 0.0402451896264288
"TNF" 0.506612547743235 0.21864953527472 0.0127671823335431 0.0319953387299141
"CD274" 0.506090705636698 0.22730760089466 0.0214252479534835 0.0460928163828503
"IFITM1" 0.505954584216392 0.219468904264894 0.0135865513237177 0.0185854304705416
"PCSK9" 0.503763252925508 0.214606048599465 0.00872369565828904 -0.000349007157254498
"RSPO3" 0.503334740822581 0.215043437108693 0.00916108416751665 0.00213587164343537
"CCL3" 0.502841469655865 0.214161580030476 0.00827922708929993 0.00439916866492214
"JAML" 0.502050374388502 0.213869487441608 0.00798713450043176 -0.00249932278655842
"DLL3" 0.502005373208483 0.207332310782777 0.00144995784160051 -0.00819748706684471
"BACE2" 0.501474692048686 0.217447450328136 0.01156509738696 0.0138638257079554
"FCER2" 0.501417342191315 0.210807592631461 0.00492523969028461 -0.00426730634943583
"CCL18" 0.501306802031047 0.21465383433849 0.00877148139731368 0.00321908088173833
"IL15" 0.501244746677673 0.215995565249455 0.0101132123082786 0.0325328272719138
"NAALADL1" 0.501195117993303 0.215091980715809 0.00920962777463269 0.00471785536371061
"ORM1" 0.500778720592794 0.214845921690074 0.00896356874889709 0.00275406669858994
"IFNA1" 0.500683882750687 0.211110217568736 0.00522786462755956 0.0103973881633873
"TNFSF9" 0.500537596419123 0.216678573063154 0.0107962201219773 0.0411142520806981
"HLA-DMA" 0.500169839808797 0.211837733054936 0.00595538011375943 -0.00542950333119805
"LAMA4" 0.500047002965606 0.216203614144197 0.01032126120302 0.00495175158822746
"ANGPTL3" 0.500046093063063 0.213376470906867 0.00749411796569016 -0.00178520248890369
"IGFL3" 0.5 0.602941176470588 0.397058823529412 NA
"MELTF" 0.499951047243232 0.213933935044019 0.00805158210284251 -0.00187064316828529
"PCDHA7" 0.499878567006444 0.216760277138574 0.0108779241973977 0.00919498149280129
"TIMP1" 0.499845940501003 0.212165856339217 0.00628350339804026 -0.00134909712766984
"CD40LG" 0.49976157953674 0.212013388971533 0.00613103603035606 0.00664921301903097
"MPDZ" 0.499659072516061 0.21361216129687 0.00772980835569326 -0.00205660416194663
"TMEM190" 0.499647555749599 0.211973012007288 0.00609065906611178 -0.00608698269727364
"IL4" 0.499639756584951 0.21426861963368 0.00838626669250317 0.0255526332260993
"S100B" 0.499556409512092 0.211989378607947 0.00610702566677027 1.65865940404026e-05
"COL15A1" 0.499527448614034 0.210967524205019 0.005085171263843 -0.0101838027787422
"ANGPTL2" 0.499489024729539 0.216547839651228 0.0106654867100517 0.019093970696218
"IL36G" 0.499371621304384 0.213544253686293 0.00766190074511683 0.0158572452931709
"IGSF11" 0.499243429034802 0.211895268087497 0.00601291514632013 0.00772304841490135
"CTHRC1" 0.498920595612844 0.211765752650767 0.0058833997095902 0.00230956016245528
"DLL4" 0.498564277777335 0.209152375006655 0.00327002206547886 0.00170135202356476
"COL19A1" 0.498522214282674 0.211931102197126 0.00604874925594912 -0.00746854245177255
"CEACAM1" 0.498502638379409 0.210622107952054 0.00473975501087801 -0.00840585482779647
"IL17C" 0.498493513356773 0.219021144316905 0.0131387913757284 0.0430330089507583
"IL1RN" 0.498461094829056 0.210757850437044 0.00487549749586785 -0.00729133159511511
