"test_ligand" "auroc" "aupr" "aupr_corrected" "pearson"
"CD80" 0.651004748610375 0.145058865296117 0.0652049053635203 0.124889572802158
"FGF20" 0.650401049028673 0.138956286338085 0.0591023264054878 0.141198113632041
"FGF6" 0.649826690570547 0.141340899317297 0.0614869393847005 0.142908537804053
"ICOSLG" 0.64856693062149 0.143149193467502 0.0632952335349054 0.146374092664785
"FGF13" 0.648002054355746 0.139168772554339 0.0593148126217418 0.141440529069574
"B2M" 0.647461569389912 0.140327715791568 0.0604737558589715 0.129940739350207
"BTLA" 0.647259878983367 0.145445412831181 0.0655914528985838 0.142593020032458
"FGF5" 0.647028310725352 0.139944296913751 0.0600903369811542 0.140438729915174
"VTCN1" 0.646978037214806 0.144156972748424 0.0643030128158273 0.142882554918647
"CD86" 0.646731977304282 0.139699386817753 0.0598454268851564 0.100805956773913
"CD274" 0.64670740709508 0.140452813071634 0.0605988531390372 0.114369356106569
"IL33" 0.646676396151445 0.141314426774461 0.0614604668418638 0.0928797386234915
"IL10" 0.64593487677981 0.131833331702859 0.0519793717702622 0.100798829788516
"GDNF" 0.645847330500456 0.128867372757192 0.0490134128245955 0.0626119338073165
"TNF" 0.645734021283305 0.142363597461403 0.0625096375288059 0.123475429954692
"CD70" 0.645325809919384 0.139011691492061 0.0591577315594644 0.136904235222597
"VEGFD" 0.645317639728462 0.137859509917033 0.0580055499844364 0.134865778155062
"FGF10" 0.645242736372275 0.136742221199679 0.0568882612670824 0.0843437424199781
"FGF16" 0.645184352307219 0.138588492338538 0.0587345324059412 0.129001361799423
"CD244" 0.644959701875107 0.140282179275407 0.0604282193428104 0.114109928494978
"CD7" 0.644944375312563 0.142003492485404 0.0621495325528075 0.117148667614044
"CXCL10" 0.644889688706179 0.140621659825789 0.0607676998931923 0.115811068152553
"FGF22" 0.644886289429673 0.140021636169986 0.0601676762373886 0.140140774609364
"LPA" 0.644822060994474 0.137517845898148 0.0576638859655514 0.112689193209772
"TGFA" 0.644655436808827 0.128698665489725 0.0488447055571279 0.049400407788542
"FGG" 0.644632238237513 0.134174477574642 0.0543205176420456 0.132215581495361
"HLA-A" 0.644271736017677 0.139207990991082 0.0593540310584856 0.134544198522636
"FGF17" 0.644051796863531 0.137380714709985 0.0575267547773882 0.133783955672313
"FGF3" 0.643983811333244 0.139127838895837 0.0592738789632402 0.139127319569304
"ARTN" 0.643901990151172 0.134523541248665 0.0546695813160678 0.114461801817456
"FGF11" 0.643844858451153 0.137624634952583 0.057770675019986 0.139334925832971
"FGF4" 0.643795062032033 0.138398650512932 0.0585446905803353 0.0920526604166485
"PTH" 0.643421141615412 0.132200955455449 0.0523469955228524 0.0812259155133813
"VTN" 0.643291193834261 0.136025007454229 0.0561710475216324 0.124929371258528
"PLG" 0.643274435997411 0.1375018790617 0.0576479191291033 0.107405880242827
"FGF1" 0.64313196456594 0.133702481151694 0.0538485212190973 0.0683640697001577
"CD28" 0.643120812553517 0.140305879087184 0.0604519191545868 0.0995769835869387
"FGF14" 0.643007085881343 0.137685874263416 0.0578319143308191 0.139018919760511
"IL15" 0.642760787425104 0.139350887954463 0.0594969280218659 0.121286649700546
"SERPINE1" 0.642738543036692 0.137262994495233 0.057409034562636 0.126741937752487
"IL1B" 0.642625532001681 0.139651104169677 0.0597971442370799 0.119951605742536
"IL1A" 0.642518723155399 0.134845746044895 0.0549917861122978 0.0768249897570255
"INHA" 0.642479661293703 0.133936209764926 0.0540822498323292 0.134096224314243
"FASLG" 0.642391101195034 0.14151145759112 0.061657497658523 0.128310987581201
"HLA-DOB" 0.642202471166674 0.132522610363647 0.0526686504310497 0.124555114843805
"IL36RN" 0.642119278346713 0.141193265016661 0.0613393050840645 0.127102476893683
"HLA-E" 0.642114924887319 0.138548160234441 0.0586942003018444 0.127031305130807
"FGF2" 0.641937267962109 0.128418360167765 0.048564400235168 0.0642177978132544
"EFNB3" 0.641811315821768 0.135013041376933 0.0551590814443366 0.1325372959021
"GP5" 0.641630259620042 0.133988366692038 0.054134406759441 0.131859596688302
"MMP2" 0.641511046396307 0.136617539181333 0.0567635792487365 0.135931010974878
"APOA2" 0.641314365449901 0.133620623463239 0.0537666635306422 0.127756923976011
"IL3" 0.641040037871523 0.132659668713573 0.0528057087809766 0.0997910570055335
"IL4" 0.641016541118072 0.132542289286603 0.0526883293540065 0.103379835913922
"CAMP" 0.640886593336924 0.134652904579496 0.054798944646899 0.0911991640818848
"XCL1" 0.640744121905447 0.137341007555416 0.0574870476228187 0.137808957222212
