,CD8DEG_IEL_vs_LP_nichenet_1,CD4DEG_IEL_vs_LP_nichenet_1,CD8DEG_IEL_vs_LP_nichenet_2,CD4DEG_IEL_vs_LP_nichenet_2,CD8DEG_LP_vs_L_nichenet_1,CD4DEG_LP_vs_L_nichenet_1,CD8DEG_LP_vs_L_nichenet_2,CD4DEG_LP_vs_L_nichenet_2
0,CLEC4G,CLEC4G,CD80,GDNF,CD70,GDNF,RSPO3,JAM2
1,RSPO3,IL7,FGF20,FGG,ICOSLG,SERPINE1,IL4,TGFB1
2,IL7,IFNG,FGF6,ICOSLG,CD80,CXCL10,CD274,IFNG
3,IGSF11,IL27,ICOSLG,VEGFD,VTCN1,PTH,IL15,TNF
4,CCL2,IFNL3,FGF13,PLG,GDNF,IGSF21,OCLN,CD274
5,CRLF1,RSPO3,B2M,BTLA,FGF6,PLG,TGFB1,IFITM1
6,IFNG,,BTLA,VTCN1,BTLA,HLA-A,IL7,PCSK9
7,CTHRC1,,FGF5,FGF6,FGF20,FGF13,IL1B,RSPO3
8,SELP,,VTCN1,ARTN,CD274,HLA-DOB,CD40LG,CCL3
9,IL27,,CD86,CD70,B2M,VTN,IL10,JAML
10,SCGB1A1,,CD274,B2M,CD86,ARTN,CCL3,DLL3
11,EFEMP2,,IL33,CD80,FGF5,IL1A,JAML,BACE2
12,FBLN1,,IL10,PTH,CD28,HLA-DRA,TNF,FCER2
13,NGF,,GDNF,VTN,HLA-E,CAMP,COL18A1,CCL18
14,COL15A1,,TNF,LPA,IL33,GP5,ENG,IL15
15,CD40LG,,CD70,MMP2,HLA-A,IL17F,IFNG,NAALADL1
16,IL4,,VEGFD,CD244,CD7,SDC2,CD40,ORM1
17,IL12B,,FGF10,FGF13,FGF16,FGF2,EPO,IFNA1
18,IHH,,FGF16,CD86,FGF1,TIMP3,IL12A,TNFSF9
19,HLA-DMB,,CD244,HLA-DOB,PTH,IL36RN,IL2,HLA-DMA
20,IL12A,,CD7,SERPINE1,HLA-DOB,CD244,S100B,LAMA4
21,CD40,,CXCL10,FGF5,TYROBP,FGF11,TNFSF9,ANGPTL3
22,MIA,,FGF22,HLA-A,ARTN,LPA,IL5,
23,OCLN,,LPA,HGF,INHA,CD2,BTLA,
24,PIP,,TGFA,INHA,VEGFD,TNFSF10,CCL2,
25,CLEC2L,,FGG,FASLG,FGF22,GSTP1,CCL7,
26,DLL3,,HLA-A,EFNB3,SERPINE1,FGF14,IL13,
27,LTA,,FGF17,FGB,CCL5,HLA-DRB1,CCL20,
28,WIF1,,FGF3,FGA,CD22,INHA,CCL1,
29,COL1A2,,ARTN,APOA2,FGF3,CXCL2,MPDZ,
