"CLEC4G"	"IL7"	"IFNG"	"IL27"	"IFNL3"
"CDKN1A"	"MYC"	"IRF1"	"IRF1"	"IRF1"
"TNF"	"IL2RA"	"STAT1"	"SOCS3"	"IFIT3"
"MYC"	"BCL2"	"FAS"	"STAT1"	"CXCL10"
"IL1B"	"FOS"	"STAT3"	"IFIT3"	"STAT1"
"FOS"	"CCL5"	"MUC1"	"STAT2"	"IFIT1"
"BCL2"	"CD8B"	"HLA-C"	"IFI35"	"IRF9"
"CCND1"	"IL7R"	"HLA-DPA1"	"LGALS3BP"	"DDX60"
"NCF2"	"IL5"	"HLA-G"	"IFIT2"	"IRF7"
"NR3C1"	"MYB"	"TAP1"	"IFITM1"	"MUC1"
"VEGFA"	"FOXP3"	"EIF2AK2"	"NMI"	"TAP1"
"IL6"	"SOCS1"	"HLA-A"	"DDX58"	"WARS1"
"BCL6"	"TCF7"	"SOCS3"	"PIM1"	"PSMB9"
"TP53"	"KLF2"	"CASP4"	"SECTM1"	"STAT2"
"CSF2"	"GNB1"	"TRIM22"	"NAMPT"	"MX1"
"BIRC3"	"BCL6"	"HLA-E"	"GBP2"	"IFI44"
