"GDNF"	"FGG"	"ICOSLG"	"VEGFD"	"PLG"
"MMP9"	"ACO1"	"IL10"	"ADAM33"	"FOS"
"NDRG1"	"SNTG1"	"IL2"	"IL18"	"EGR1"
"ASMTL"	"CDKN1A"	"IFNG"	"FRA2E"	"MMP1"
"TPM2"	"MYC"	"BCL2L1"	"PIAS1"	"TNF"
"APOD"	"CCND1"	"CCND1"	"SOAT1"	"NFKB1"
"SMOX"	"FOS"	"IL10RA"	"RPS26P11"	"GRAP2"
"ITGA2"	"VEGFA"	"NELFCD"	"TMEM115"	"CCN1"
"EMP1"	"IL6"	"FOS"	"FBXW4"	"PRAP1"
"AOX1"	"EGR1"	"MYC"	"NAXE"	"MYC"
"IRF1"	"JUN"	"IL6"	"CDKN1A"	"CDKN1A"
"TAGLN"	"PTGS2"	"CDKN1A"	"MYC"	"VEGFA"
"PRPS1"	"BCL2"	"CXCL8"	"CCND1"	"CCND1"
"SGK1"	"ICAM1"	"TNF"	"VEGFA"	"TP53"
"RPP40"	"TP53"	"CCND3"	"BCL2"	"JUN"
"FOXC1"	"TNF"	"VEGFA"	"FOS"	"IL6"
