"GDNF"	"SERPINE1"	"CXCL10"	"PTH"	"IGSF21"
"MMP9"	"VEGFA"	"TNF"	"CCND1"	"CDKN1A"
"NDRG1"	"TGFB1"	"IFNG"	"NM"	"CCND1"
"ASMTL"	"TNF"	"MMP9"	"VEGFA"	"MYC"
"TPM2"	"IFNG"	"CXCL8"	"FOS"	"IL6"
"APOD"	"CDKN1A"	"MMP2"	"IL6"	"ATF3"
"SMOX"	"MYC"	"IL12B"	"BCL2"	"ID1"
"ITGA2"	"FOS"	"MMP12"	"PTGS2"	"TP53"
"EMP1"	"CCND1"	"TNFSF11"	"GAGE12I"	"FOS"
"AOX1"	"EGR1"	"TGM2"	"CXCL8"	"JUN"
"IRF1"	"TP53"	"HAND2"	"MMP13"	"VEGFA"
"TAGLN"	"JUN"	"TNFRSF11A"	"DUSP1"	"EGR1"
"PRPS1"	"MMP9"	"HAND1"	"CCN4"	"GDF15"
"SGK1"	"IL6"	"IL6"	"IL2"	"STAT3"
"RPP40"	"BCL2"	"CCND1"	"IBSP"	"DDIT3"
"FOXC1"	"SERPINE1"	"CDKN1A"	"LEF1"	"SERPINE1"
