"JAM2"	"TGFB1"	"IFNG"	"TNF"	"CD274"
"CDKN1A"	"SERPINE1"	"IRF1"	"PTX3"	"IFNG"
"CCND1"	"TAGLN"	"STAT1"	"EDN1"	"IL2"
"MYC"	"FSTL3"	"FAS"	"IER3"	"IL10"
"FOS"	"EDN1"	"STAT3"	"BMP2"	"PCNA"
"JUN"	"IL11"	"MUC1"	"PTGS2"	"TNFSF11"
"VEGFA"	"ANGPTL4"	"HLA-C"	"TNFAIP2"	"POLD2"
"IL6"	"BMPR2"	"HLA-DPA1"	"IRF1"	"UHRF1"
"DUSP1"	"SGK1"	"HLA-G"	"IRF7"	"MAGOH2P"
"SERPINE1"	"ID3"	"TAP1"	"TNFAIP3"	"AK6"
"VIM"	"SMAD7"	"EIF2AK2"	"RIPK2"	"FAM13A-AS1"
"ICAM1"	"GADD45B"	"HLA-A"	"NFKB1"	"N4BP2L2-IT2"
"PTGS2"	"KLF10"	"SOCS3"	"CXCL8"	"PWAR5"
"EGR1"	"SPHK1"	"CASP4"	"NFKBIA"	"SNORA47"
"ID2"	"JUNB"	"TRIM22"	"NFKB2"	"MYC"
"TXNIP"	"TGFBR1"	"HLA-E"	"GBP1"	"LINC00528"
