"CLEC4G"	"RSPO3"	"IL7"	"IGSF11"	"CCL2"
"CDKN1A"	"CDKN1A"	"MYC"	"CDKN1A"	"IL1A"
"TNF"	"MYC"	"IL2RA"	"ESR1"	"ICAM1"
"MYC"	"CCND1"	"BCL2"	"MYC"	"CCR2"
"IL1B"	"IFNG"	"FOS"	"RET"	"SDCBPP2"
"FOS"	"FOS"	"CCL5"	"CRABP2"	"CNTNAP3P2"
"BCL2"	"VEGFA"	"CD8B"	"GPRC5A"	"RNF185-AS1"
"CCND1"	"EGR1"	"IL7R"	"CSTA"	"LINC00269"
"NCF2"	"BCL2"	"IL5"	"BCL3"	"GARS1"
"NR3C1"	"BCL6"	"MYB"	"ELF3"	"MYC"
"VEGFA"	"PTGS2"	"FOXP3"	"MMP9"	"TBC1D22A-AS1"
"IL6"	"DDIT4"	"SOCS1"	"ID1"	"LINC00968"
"BCL6"	"IL6"	"TCF7"	"S100P"	"RPS2P45"
"TP53"	"SERPINE1"	"KLF2"	"ZNFX1"	"C2orf83"
"CSF2"	"ID2"	"GNB1"	"FOXA1"	"IL6"
"BIRC3"	"TP53"	"BCL6"	"TP53"	"HNRNPCL1"
