"CD80"	"FGF20"	"FGF6"	"ICOSLG"	"FGF13"
"IL2"	"TFF3"	"SLC16A8"	"IL10"	"CCND1"
"FASLG"	"COX2"	"CCND1"	"IL2"	"CDKN1A"
"ICOS"	"CCND1"	"MYC"	"IFNG"	"MYC"
"IL4"	"CDKN1A"	"CDKN1A"	"BCL2L1"	"VEGFA"
"BCL2L2"	"MYC"	"FOS"	"CCND1"	"FOS"
"IFNG"	"VEGFA"	"VEGFA"	"IL10RA"	"IL6"
"TNF"	"FOS"	"IL6"	"NELFCD"	"TP53"
"PRF1"	"IL6"	"PTGS2"	"FOS"	"PTGS2"
"CCL22"	"EGR1"	"EGR1"	"MYC"	"EGR1"
"COX7CP1"	"PTGS2"	"TP53"	"IL6"	"CXCL8"
"SNORD115-4"	"BCL2"	"BCL2"	"CDKN1A"	"JUN"
"LAMP3"	"JUN"	"CXCL8"	"CXCL8"	"CCL2"
"MYO1D"	"TP53"	"SERPINE1"	"TNF"	"MMP1"
"ACVRL1"	"SERPINE1"	"JUN"	"CCND3"	"ID2"
"MYC"	"ID2"	"ID2"	"VEGFA"	"DDIT4"
