"CD70"	"ICOSLG"	"CD80"	"VTCN1"	"GDNF"
"IL2"	"IL10"	"IL2"	"IL2"	"MMP9"
"IFNG"	"IL2"	"FASLG"	"IFNG"	"NDRG1"
"ERVK-32"	"IFNG"	"ICOS"	"TNF"	"ASMTL"
"PPP1R2P4"	"BCL2L1"	"IL4"	"IL10"	"TPM2"
"IGHV7-81"	"CCND1"	"BCL2L2"	"BCL2"	"APOD"
"FGFR3"	"IL10RA"	"IFNG"	"BCL2L1"	"SMOX"
"SERPINB7"	"NELFCD"	"TNF"	"MYC"	"ITGA2"
"AQP12B"	"FOS"	"PRF1"	"IL6"	"EMP1"
"SLC1A6"	"MYC"	"CCL22"	"CDKN1A"	"AOX1"
"CDKN1A"	"IL6"	"COX7CP1"	"CCND3"	"IRF1"
"MYC"	"CDKN1A"	"SNORD115-4"	"FASLG"	"TAGLN"
"CCND1"	"CXCL8"	"LAMP3"	"CCND1"	"PRPS1"
"IL6"	"TNF"	"MYO1D"	"CISH"	"SGK1"
"FOS"	"CCND3"	"ACVRL1"	"IL2RA"	"RPP40"
"BCL2"	"VEGFA"	"MYC"	"VEGFA"	"FOXC1"
