,IEL TCRab CD4 TRM,IEL TCRab CD4 FOXP3+ Treg,PB TCRab CD4 FOXP3+ Treg,L TCRab CD4 TCM,LP TCRab CD4 Naive/TCM,L TCRab CD4 Naive/TCM,LP TCRab CD4 TRM,IEL TCRab CD4 Mobile TRM,LP TCRab CD4 Poised TCM,LP TCRab CD4 Tph,PB TCRab CD4 TCM,LP TCRab CD4 FOXP3+ Treg,L TCRab CD4 TRM,L TCRab CD4 FOXP3+ Treg,LP TCRab CD4 Mobile TRM,PB TCRab CD4 Naive/TCM
IEL TCRab CD4 TRM,0.0,0.0026666666666666666,0.02180553236489119,0.018749262536873156,0.0006666666666666666,0.026371904046307116,0.235499415595258,0.016572494016808593,0.006949852507374631,0.043132743362831856,0.0,0.022867924528301886,0.10060199254188235,0.0,0.009616519174041297,0.05873768575722157
IEL TCRab CD4 FOXP3+ Treg,0.015503875968992248,0.0,0.05720930232558139,0.0,0.0,0.0,0.06883720930232558,0.0,0.028837209302325584,0.007751937984496124,0.037037037037037035,0.22647717484926785,0.017209302325581394,0.003875968992248062,0.0,0.06496124031007752
PB TCRab CD4 FOXP3+ Treg,0.019772466243600767,0.004298026948205354,0.0,0.017730137094259888,0.002844300969964061,0.000668002672010688,0.034073370594332165,0.0029620216041839776,0.003920035192335892,0.010424100232986297,0.0,0.006214054124509181,0.041992840479915056,0.006033182503770739,0.006882056796519869,0.0855991201031353
L TCRab CD4 TCM,0.038718439067653335,0.0,0.050418434660447514,0.0,0.0015797788309636653,0.017543859649122806,0.06727895023083308,0.0031595576619273306,0.00862403853624427,0.006319115323854661,0.0,0.004739336492890995,0.17715195455034913,0.0,0.0,0.09639831326691628
LP TCRab CD4 Naive/TCM,0.006666666666666667,0.0,0.04846938775510204,0.006666666666666667,0.0,0.0,0.04790816326530612,0.0,0.0,0.0,0.0,0.0,0.013469387755102041,0.0,0.0,0.04083333333333333
L TCRab CD4 Naive/TCM,0.05729847494553377,0.0,0.007407407407407408,0.022222222222222223,0.0,0.0,0.05969498910675381,0.00130718954248366,0.00392156862745098,0.012636165577342049,0.0,0.00130718954248366,0.1261437908496732,0.0,0.00392156862745098,0.054684095860566447
LP TCRab CD4 TRM,0.058053339040439855,0.0036786700780285383,0.014944635544086588,0.00784878981004565,0.002155761462646813,0.006163999949084151,0.0,0.008689038989944104,0.007688155499268053,0.007064436351090203,0.0,0.005950514483725959,0.0700068061399038,0.0005473453749315818,0.020850598660085557,0.056926558403774925
IEL TCRab CD4 Mobile TRM,0.028739778739778742,0.0,0.020105820105820106,0.0021164021164021165,0.0,0.0010582010582010583,0.1028138528138528,0.0,0.00634920634920635,0.007407407407407408,0.0,0.0021164021164021165,0.06984126984126984,0.0021164021164021165,0.08694083694083694,0.022222222222222223
LP TCRab CD4 Poised TCM,0.010809451985922572,0.00938495056142115,0.007960449136919725,0.00300428025546509,0.0,0.0021367521367521365,0.03558791361969505,0.004273504273504273,0.0,0.002849002849002849,0.0,0.0007122507122507123,0.008827977255632677,0.0007122507122507123,0.004584059086428755,0.02775077301143652
LP TCRab CD4 Tph,0.14955908289241623,0.003527336860670194,0.027248677248677248,0.007054673721340388,0.0,0.023721340388007054,0.11606701940035273,0.012345679012345678,0.007054673721340388,0.0,0.0,0.013721340388007056,0.05705467372134038,0.0,0.015485008818342152,0.015873015873015872
PB TCRab CD4 TCM,0.0,0.012820512820512822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012820512820512822,0.0,0.0,0.0,0.16666666666666666
LP TCRab CD4 FOXP3+ Treg,0.014044406163269213,0.060897869564595634,0.015609479211011778,0.004115226337448559,0.0,0.0013717421124828533,0.03433535409537073,0.0027434842249657067,0.0013717421124828533,0.007424952946055444,0.001937984496124031,0.0,0.007424952946055444,0.0027434842249657067,0.0085574377133378,0.04445786485645109
L TCRab CD4 TRM,0.03374560783526052,0.0012607937136239024,0.049114460963998276,0.032166487520411326,0.002606935187153911,0.015713325652034944,0.1163402021471965,0.006890384248874815,0.0033839359641546878,0.004266174077494832,0.0,0.004058313997023287,0.0,0.0033839359641546878,0.021393713978739817,0.0689620171653581
L TCRab CD4 FOXP3+ Treg,0.0,0.005649717514124294,0.04040404040404041,0.0,0.0,0.0,0.011299435028248588,0.011299435028248588,0.005649717514124294,0.0,0.0,0.011299435028248588,0.041391753256160034,0.0,0.005649717514124294,0.043999315185755866
LP TCRab CD4 Mobile TRM,0.01718957789489238,0.0,0.016549278431758855,0.0,0.0,0.0038910505836575876,0.10661480274521275,0.039347005117369806,0.005995394266656078,0.008185764578204822,0.0,0.007696074538764922,0.06488937494911277,0.0012970168612191958,0.0,0.03908322921347035
PB TCRab CD4 Naive/TCM,0.008466050329684666,0.001289751842057116,0.017008672410683396,0.007397425407937368,0.0008007542870448912,0.0029132034648120288,0.030923018863339608,0.00271401959316734,0.0066986901143436086,0.0019132653061224492,0.00016299918500407496,0.003959880177079068,0.015362757971454028,0.0015710184783133112,0.003863555774492078,0.0
