,IEL TCRab CD8ab TRM,L TCRab CD8ab MAIT,L TCRab CD8ab Naive/TCM,L TCRab CD8ab TRM,L TCRab CD8ab Teff,LP TCRab CD8ab TCM,LP TCRab CD8ab TEM,LP TCRab CD8ab TRM,PB TCRab CD8ab Naive/TCM,PB TCRab CD8ab TEM,PB TCRab CD8ab Teff
IEL TCRab CD8ab TRM,0.0,0.0031625667103915476,0.016643717053007042,0.06990147912188231,0.01935068839405135,0.004450071216007064,0.05565065108554462,0.0982279690067806,0.01992719795063314,0.011029106789056949,0.02341647460621556
L TCRab CD8ab MAIT,0.0,0.0,0.0,0.4038461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L TCRab CD8ab Naive/TCM,0.14644758394758395,0.0,0.0,0.24078624078624078,0.034090909090909095,0.0,0.0634469696969697,0.048321048321048325,0.038825757575757576,0.0,0.10562551187551188
L TCRab CD8ab TRM,0.10793003346987107,0.021570365268665192,0.0363438092821498,0.0,0.07856333297084377,0.01138821425550682,0.06915080774761058,0.030276428511013642,0.024326343325962712,0.04888619035536062,0.13003658123995604
L TCRab CD8ab Teff,0.1524366471734893,0.0,0.02742040285899935,0.3156595191682911,0.0,0.016634178037686808,0.16439246263807666,0.0,0.016634178037686808,0.09330734243014945,0.453411306042885
LP TCRab CD8ab TCM,0.18324491600353668,0.0,0.0,0.15119363395225463,0.0,0.0,0.0,0.0,0.0,0.18376068376068377,0.1768346595932803
LP TCRab CD8ab TEM,0.24857971938628168,0.0,0.024367718101733448,0.11983206149197044,0.09989961579070182,0.0,0.0,0.11094361156740297,0.0,0.059114632067036786,0.12964349166083308
LP TCRab CD8ab TRM,0.44578642517789246,0.0,0.018228728476078298,0.08657488497173559,0.0,0.0,0.11806851893886779,0.0,0.0430502902103917,0.02529586628526558,0.0196678287128165
PB TCRab CD8ab Naive/TCM,0.05038153905943649,0.0,0.01524929136865784,0.031470400035663586,0.0036618476551150653,0.0,0.0,0.01684560981749049,0.0,0.012559261011890685,0.013131998698030433
PB TCRab CD8ab TEM,0.11408983451536642,0.0,0.0,0.17947990543735223,0.11118203309692672,0.04905437352245862,0.13366430260047282,0.05862884160756501,0.04529550827423168,0.0,0.19382978723404257
PB TCRab CD8ab Teff,0.130484524058987,0.0,0.02973145261262558,0.2248341775268833,0.280418837122503,0.027735444628593644,0.13319949002666281,0.024025120490725863,0.02784498165210759,0.10637597198674409,0.0
