,IEL TCRab CD4 FOXP3+ Treg,IEL TCRab CD4 Mobile TRM,IEL TCRab CD4 TRM,L TCRab CD4 FOXP3+ Treg,L TCRab CD4 Naive/TCM,L TCRab CD4 TCM,L TCRab CD4 TRM,LP TCRab CD4 FOXP3+ Treg,LP TCRab CD4 Mobile TRM,LP TCRab CD4 Naive/TCM,LP TCRab CD4 Poised TCM,LP TCRab CD4 TRM,LP TCRab CD4 Tph,PB TCRab CD4 FOXP3+ Treg,PB TCRab CD4 Naive/TCM,PB TCRab CD4 TCM
IEL TCRab CD4 FOXP3+ Treg,0,0,6,0,0,0,6,35,0,0,7,20,0,7,14,0
IEL TCRab CD4 Mobile TRM,0,0,15,0,0,0,17,0,17,0,8,32,9,10,44,0
IEL TCRab CD4 TRM,6,15,0,0,16,13,56,15,18,0,14,160,54,35,91,0
L TCRab CD4 FOXP3+ Treg,0,0,0,0,0,0,0,0,0,0,0,7,0,6,12,0
L TCRab CD4 Naive/TCM,0,0,16,0,0,0,27,0,0,0,8,25,0,6,31,0
L TCRab CD4 TCM,0,0,13,0,0,0,40,7,0,0,0,32,0,20,54,0
L TCRab CD4 TRM,6,17,56,0,27,40,0,15,35,0,15,181,11,47,153,0
LP TCRab CD4 FOXP3+ Treg,35,0,15,0,0,7,15,0,11,0,0,38,7,10,54,0
LP TCRab CD4 Mobile TRM,0,17,18,0,0,0,35,11,0,0,11,75,10,10,49,0
LP TCRab CD4 Naive/TCM,0,0,0,0,0,0,0,0,0,0,0,12,0,0,13,0
LP TCRab CD4 Poised TCM,7,8,14,0,8,0,15,0,11,0,0,51,7,13,90,0
LP TCRab CD4 TRM,20,32,160,7,25,32,181,38,75,12,51,0,29,70,305,0
LP TCRab CD4 Tph,0,9,54,0,0,0,11,7,10,0,7,29,0,14,35,0
PB TCRab CD4 FOXP3+ Treg,7,10,35,6,6,20,47,10,10,0,13,70,14,0,138,0
PB TCRab CD4 Naive/TCM,14,44,91,12,31,54,153,54,49,13,90,305,35,138,0,0
PB TCRab CD4 TCM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
