,Gene stable ID,Gene name_mart,Used by 10X,ultimate_gene_name
0,ENSG00000210049,MT-TF,,MT-TF
1,ENSG00000211459,MT-RNR1,,MT-RNR1
2,ENSG00000210077,MT-TV,,MT-TV
3,ENSG00000210082,MT-RNR2,,MT-RNR2
4,ENSG00000209082,MT-TL1,,MT-TL1
5,ENSG00000198888,MT-ND1,True,MT-ND1
6,ENSG00000210100,MT-TI,,MT-TI
7,ENSG00000210107,MT-TQ,,MT-TQ
8,ENSG00000210112,MT-TM,,MT-TM
9,ENSG00000198763,MT-ND2,True,MT-ND2
10,ENSG00000210117,MT-TW,,MT-TW
11,ENSG00000210127,MT-TA,,MT-TA
12,ENSG00000210135,MT-TN,,MT-TN
13,ENSG00000210140,MT-TC,,MT-TC
14,ENSG00000210144,MT-TY,,MT-TY
15,ENSG00000198804,MT-CO1,True,MT-CO1
16,ENSG00000210151,MT-TS1,,MT-TS1
17,ENSG00000210154,MT-TD,,MT-TD
18,ENSG00000198712,MT-CO2,True,MT-CO2
19,ENSG00000210156,MT-TK,,MT-TK
20,ENSG00000228253,MT-ATP8,True,MT-ATP8
21,ENSG00000198899,MT-ATP6,True,MT-ATP6
22,ENSG00000198938,MT-CO3,True,MT-CO3
23,ENSG00000210164,MT-TG,,MT-TG
24,ENSG00000198840,MT-ND3,True,MT-ND3
25,ENSG00000210174,MT-TR,,MT-TR
26,ENSG00000212907,MT-ND4L,True,MT-ND4L
27,ENSG00000198886,MT-ND4,True,MT-ND4
28,ENSG00000210176,MT-TH,,MT-TH
29,ENSG00000210184,MT-TS2,,MT-TS2
30,ENSG00000210191,MT-TL2,,MT-TL2
31,ENSG00000198786,MT-ND5,True,MT-ND5
32,ENSG00000198695,MT-ND6,True,MT-ND6
33,ENSG00000210194,MT-TE,,MT-TE
34,ENSG00000198727,MT-CYB,True,MT-CYB
35,ENSG00000210195,MT-TT,,MT-TT
36,ENSG00000210196,MT-TP,,MT-TP
37,ENSG00000299200,,,ENSG00000299200
38,ENSG00000308964,,,ENSG00000308964
39,ENSG00000278457,5S_rRNA,,5S_rRNA_ENSG00000278457
40,ENSG00000271254,,True,AC240274.1
41,ENSG00000276197,,,ENSG00000276197
42,ENSG00000278573,,,ENSG00000278573
43,ENSG00000278704,,True,BX004987.1
44,ENSG00000309338,,,ENSG00000309338
45,ENSG00000309357,,,ENSG00000309357
46,ENSG00000297432,,,ENSG00000297432
47,ENSG00000297449,,,ENSG00000297449
48,ENSG00000299314,,,ENSG00000299314
49,ENSG00000295063,,,ENSG00000295063
50,ENSG00000303867,,,ENSG00000303867
51,ENSG00000309229,,,ENSG00000309229
52,ENSG00000278294,5_8S_rRNA,,5_8S_rRNA_ENSG00000278294
53,ENSG00000274917,RNA5-8SN5,,RNA5-8SN5
54,ENSG00000307034,,,ENSG00000307034
55,ENSG00000310277,,,ENSG00000310277
56,ENSG00000273730,5_8S_rRNA,,5_8S_rRNA_ENSG00000273730
57,ENSG00000273937,,,ENSG00000273937
58,ENSG00000277196,,True,AC007325.2
59,ENSG00000308580,,,ENSG00000308580
60,ENSG00000296546,,,ENSG00000296546
61,ENSG00000303173,,,ENSG00000303173
62,ENSG00000296902,,,ENSG00000296902
63,ENSG00000297619,,,ENSG00000297619
64,ENSG00000296713,,,ENSG00000296713
65,ENSG00000305511,,,ENSG00000305511
66,ENSG00000305525,,,ENSG00000305525
67,ENSG00000278625,U6,,U6_ENSG00000278625
68,ENSG00000294644,,,ENSG00000294644
69,ENSG00000306721,,,ENSG00000306721
70,ENSG00000300051,,,ENSG00000300051
71,ENSG00000303750,,,ENSG00000303750
72,ENSG00000278817,,True,AC007325.4
73,ENSG00000276017,,True,AC007325.1
74,ENSG00000297072,,,ENSG00000297072
75,ENSG00000300074,,,ENSG00000300074
76,ENSG00000300093,,,ENSG00000300093
77,ENSG00000301131,,,ENSG00000301131
78,ENSG00000300846,,,ENSG00000300846
79,ENSG00000307470,,,ENSG00000307470
80,ENSG00000303733,,,ENSG00000303733
81,ENSG00000305236,,,ENSG00000305236
