Gene stable ID,Transcript stable ID,Gene name,Transcript name
ENSG00000210049,ENST00000387314,MT-TF,MT-TF-201
ENSG00000211459,ENST00000389680,MT-RNR1,MT-RNR1-201
ENSG00000210077,ENST00000387342,MT-TV,MT-TV-201
ENSG00000210082,ENST00000387347,MT-RNR2,MT-RNR2-201
ENSG00000209082,ENST00000386347,MT-TL1,MT-TL1-201
ENSG00000198888,ENST00000361390,MT-ND1,MT-ND1-201
ENSG00000210100,ENST00000387365,MT-TI,MT-TI-201
ENSG00000210107,ENST00000387372,MT-TQ,MT-TQ-201
ENSG00000210112,ENST00000387377,MT-TM,MT-TM-201
ENSG00000198763,ENST00000361453,MT-ND2,MT-ND2-201
ENSG00000210117,ENST00000387382,MT-TW,MT-TW-201
ENSG00000210127,ENST00000387392,MT-TA,MT-TA-201
ENSG00000210135,ENST00000387400,MT-TN,MT-TN-201
ENSG00000210140,ENST00000387405,MT-TC,MT-TC-201
ENSG00000210144,ENST00000387409,MT-TY,MT-TY-201
ENSG00000198804,ENST00000361624,MT-CO1,MT-CO1-201
ENSG00000210151,ENST00000387416,MT-TS1,MT-TS1-201
ENSG00000210154,ENST00000387419,MT-TD,MT-TD-201
ENSG00000198712,ENST00000361739,MT-CO2,MT-CO2-201
ENSG00000210156,ENST00000387421,MT-TK,MT-TK-201
ENSG00000228253,ENST00000361851,MT-ATP8,MT-ATP8-201
ENSG00000198899,ENST00000361899,MT-ATP6,MT-ATP6-201
ENSG00000198938,ENST00000362079,MT-CO3,MT-CO3-201
ENSG00000210164,ENST00000387429,MT-TG,MT-TG-201
ENSG00000198840,ENST00000361227,MT-ND3,MT-ND3-201
ENSG00000210174,ENST00000387439,MT-TR,MT-TR-201
ENSG00000212907,ENST00000361335,MT-ND4L,MT-ND4L-201
ENSG00000198886,ENST00000361381,MT-ND4,MT-ND4-201
ENSG00000210176,ENST00000387441,MT-TH,MT-TH-201
ENSG00000210184,ENST00000387449,MT-TS2,MT-TS2-201
ENSG00000210191,ENST00000387456,MT-TL2,MT-TL2-201
ENSG00000198786,ENST00000361567,MT-ND5,MT-ND5-201
ENSG00000198695,ENST00000361681,MT-ND6,MT-ND6-201
ENSG00000210194,ENST00000387459,MT-TE,MT-TE-201
ENSG00000198727,ENST00000361789,MT-CYB,MT-CYB-201
ENSG00000210195,ENST00000387460,MT-TT,MT-TT-201
ENSG00000210196,ENST00000387461,MT-TP,MT-TP-201
ENSG00000299200,ENST00000761542,,
ENSG00000299200,ENST00000761543,,
ENSG00000299200,ENST00000761544,,
ENSG00000299200,ENST00000761545,,
ENSG00000299200,ENST00000761546,,
ENSG00000299200,ENST00000761547,,
ENSG00000299200,ENST00000761548,,
ENSG00000299200,ENST00000761549,,
ENSG00000299200,ENST00000761550,,
ENSG00000299200,ENST00000761551,,
ENSG00000299200,ENST00000761552,,
ENSG00000299200,ENST00000761553,,
ENSG00000299200,ENST00000761554,,
ENSG00000299200,ENST00000761555,,
ENSG00000299200,ENST00000761556,,
ENSG00000299200,ENST00000761557,,
ENSG00000308964,ENST00000837528,,
ENSG00000308964,ENST00000837529,,
ENSG00000278457,ENST00000620265,5S_rRNA,5S_rRNA.15-201
ENSG00000271254,ENST00000614336,,
ENSG00000271254,ENST00000612640,,
ENSG00000276197,ENST00000619317,,
ENSG00000278573,ENST00000615362,,
ENSG00000278704,ENST00000618686,,
ENSG00000309338,ENST00000840362,,
ENSG00000309338,ENST00000840363,,
ENSG00000309338,ENST00000840364,,
ENSG00000309357,ENST00000840514,,
ENSG00000309357,ENST00000840515,,
ENSG00000297432,ENST00000747868,,
ENSG00000297432,ENST00000747869,,
ENSG00000297449,ENST00000747962,,
ENSG00000299314,ENST00000762496,,
ENSG00000299314,ENST00000762497,,
ENSG00000299314,ENST00000762498,,
ENSG00000295063,ENST00000727716,,
ENSG00000295063,ENST00000727717,,
ENSG00000295063,ENST00000727718,,
ENSG00000295063,ENST00000727719,,
ENSG00000295063,ENST00000727720,,
ENSG00000295063,ENST00000727721,,
ENSG00000303867,ENST00000797658,,
ENSG00000303867,ENST00000797659,,
ENSG00000303867,ENST00000797660,,
ENSG00000303867,ENST00000797661,,
ENSG00000303867,ENST00000797662,,
ENSG00000303867,ENST00000797663,,
ENSG00000303867,ENST00000797664,,
ENSG00000303867,ENST00000797665,,
ENSG00000303867,ENST00000797666,,
ENSG00000303867,ENST00000797667,,
ENSG00000303867,ENST00000797668,,
ENSG00000303867,ENST00000797669,,
ENSG00000303867,ENST00000797670,,
ENSG00000303867,ENST00000797671,,
ENSG00000303867,ENST00000797672,,
ENSG00000303867,ENST00000797673,,
ENSG00000303867,ENST00000797674,,
ENSG00000303867,ENST00000797675,,
ENSG00000303867,ENST00000797676,,
ENSG00000303867,ENST00000797677,,
ENSG00000303867,ENST00000797678,,
ENSG00000303867,ENST00000797679,,
ENSG00000303867,ENST00000797680,,
ENSG00000303867,ENST00000797681,,
ENSG00000303867,ENST00000797682,,
ENSG00000303867,ENST00000797683,,
ENSG00000303867,ENST00000797684,,
ENSG00000303867,ENST00000797685,,
ENSG00000303867,ENST00000797686,,
ENSG00000303867,ENST00000797687,,
ENSG00000303867,ENST00000797688,,
