,IEL TCRab CD4 FOXP3+ Treg,IEL TCRab CD4 Mobile TRM,IEL TCRab CD4 TRM,L TCRab CD4 FOXP3+ Treg,L TCRab CD4 Naive/TCM,L TCRab CD4 TCM,L TCRab CD4 TRM,LP TCRab CD4 FOXP3+ Treg,LP TCRab CD4 Mobile TRM,LP TCRab CD4 Naive/TCM,LP TCRab CD4 Poised TCM,LP TCRab CD4 TRM,LP TCRab CD4 Tph,PB TCRab CD4 FOXP3+ Treg,PB TCRab CD4 Naive/TCM,PB TCRab CD4 TCM
IEL TCRab CD4 FOXP3+ Treg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1709732988802756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IEL TCRab CD4 Mobile TRM,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IEL TCRab CD4 TRM,0.0,0.0,1.0,0.0,0.0,0.013132743362831859,0.06861356932153392,0.0,0.0,0.0,0.0,0.1972278065342016,0.03218289085545723,0.0,0.0072330383480825955,0.0
L TCRab CD4 FOXP3+ Treg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L TCRab CD4 Naive/TCM,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L TCRab CD4 TCM,0.0,0.0,0.026551370527424404,0.0,0.0,1.0,0.14475263080655046,0.0,0.0,0.0,0.0,0.052335796370734156,0.0,0.026597259990158755,0.04154041385025769,0.0
L TCRab CD4 TRM,0.0,0.0,0.021154945683247568,0.0,0.0,0.02731389776216119,1.0,0.0,0.01887212655149201,0.0,0.0,0.07394076099760513,0.0,0.025116426390311742,0.033233054384358314,0.0
LP TCRab CD4 FOXP3+ Treg,0.038169521804319394,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LP TCRab CD4 Mobile TRM,0.0,0.0,0.0,0.0,0.0,0.0,0.05385652266127353,0.0,1.0,0.0,0.0,0.06347919160768774,0.0,0.0,0.0,0.0
LP TCRab CD4 Naive/TCM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LP TCRab CD4 Poised TCM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.014496396849338025,0.0,0.0,0.0,0.0
LP TCRab CD4 TRM,0.0,0.0,0.04846690821485211,0.0,0.0,0.005794722370871012,0.04666382475671122,0.0,0.012513403762413748,0.0,0.0018393350390142691,1.0,0.00340804195692516,0.004644135900064839,0.005956603616450784,0.0
LP TCRab CD4 Tph,0.0,0.0,0.11172839506172838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,1.0,0.0,0.0,0.0
PB TCRab CD4 FOXP3+ Treg,0.0,0.0,0.0,0.0,0.0,0.010911231284258546,0.018422969619480287,0.0,0.0,0.0,0.0,0.010213488817756175,0.0,1.0,0.021439560871365657,0.0
PB TCRab CD4 Naive/TCM,0.0,0.0,0.0007511684380353609,0.0,0.0,0.0033908066772808418,0.006061775487909361,0.0,0.0,0.0,0.0,0.003752989733929605,0.0,0.004361095215800516,1.0,0.0
PB TCRab CD4 TCM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
