,IEL TCRab CD8ab TRM,L TCRab CD8ab MAIT,L TCRab CD8ab Naive/TCM,L TCRab CD8ab TRM,L TCRab CD8ab Teff,LP TCRab CD8ab TCM,LP TCRab CD8ab TEM,LP TCRab CD8ab TRM,PB TCRab CD8ab Naive/TCM,PB TCRab CD8ab TEM,PB TCRab CD8ab Teff
IEL TCRab CD8ab TRM,1.0,0.0,0.009075907590759076,0.043526182292793585,0.012238474301150624,0.0,0.039236606578391474,0.06791884829534094,0.0,0.007233600072336001,0.015539358177172167
L TCRab CD8ab MAIT,0.0,0.6666666666666666,0.0,0.0811965811965812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L TCRab CD8ab Naive/TCM,0.0990990990990991,0.0,1.0,0.17117117117117117,0.0,0.0,0.0,0.0,0.0,0.0,0.07575757575757576
L TCRab CD8ab TRM,0.06046147944079941,0.011249259917110717,0.015833333333333335,1.0,0.06602499969792534,0.0,0.054319727891156466,0.01607142857142857,0.0,0.027210884353741496,0.11505446405915831
L TCRab CD8ab Teff,0.08836907082521117,0.0,0.0,0.2774528914879792,1.0,0.0,0.13450292397660818,0.029239766081871343,0.0,0.04093567251461988,0.42534113060428846
LP TCRab CD8ab TCM,0.0,0.0,0.0,0.0,0.0,1.0,0.15384615384615385,0.0,0.0,0.12820512820512822,0.12820512820512822
LP TCRab CD8ab TEM,0.2071784528586974,0.0,0.0,0.07108911668826834,0.068948588036605,0.00966183574879227,1.0,0.07684301480695967,0.0,0.04286948666588115,0.09218019716429049
LP TCRab CD8ab TRM,0.36709986482320295,0.0,0.0,0.047927533793258176,0.005889281507656066,0.0,0.10087497896685176,1.0,0.0,0.005889281507656066,0.008244994110718492
PB TCRab CD8ab Naive/TCM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PB TCRab CD8ab TEM,0.07033096926713948,0.0,0.0,0.08888888888888889,0.04964539007092198,0.027777777777777776,0.1132387706855792,0.027777777777777776,0.0,1.0,0.16938534278959808
PB TCRab CD8ab Teff,0.08656194151110998,0.0,0.00998003992015968,0.18206870105670594,0.24900958069721288,0.00998003992015968,0.11218143423298332,0.013972055888223553,0.0,0.08140241256617199,1.0
