"","gene_short_name","term","q_value","normalized_effect"
"1","A1BG","tissueLP",1,-0.036793458517963
"2","A1BG-AS1","tissueLP",1,-0.125403596662027
"3","A2M","tissueLP",3.41911320565523e-10,-1.28775718947451
"4","A2M-AS1","tissueLP",1,-0.951299091280686
"5","A4GALT","tissueLP",0.000173238759933582,2.4157039265066e-11
"6","AAAS","tissueLP",0.0993926249532171,-0.512155644315449
"7","AACS","tissueLP",1,0.246065929720228
"8","AAGAB","tissueLP",5.0670274687516e-07,-0.62699490784552
"9","AAK1","tissueLP",1,-0.167604080715744
"10","AAMDC","tissueLP",1,-0.161378357530515
"11","AAMP","tissueLP",9.02449673794037e-11,0.618171165275196
"12","AAR2","tissueLP",1,0.182712073051913
"13","AARS","tissueLP",0.0309811913881398,0.484620205774223
"14","AARS2","tissueLP",0.722973089421182,-0.553728001559769
"15","AARSD1","tissueLP",1,-0.212682565936144
"16","AASDH","tissueLP",1,-0.28665321541083
"17","AASDHPPT","tissueLP",1,0.0366928713122777
"18","AASS","tissueLP",1,-0.218871374020884
"19","AATF","tissueLP",1,-0.172819389579114
"20","AATK","tissueLP",1,0.0688962824650384
"21","ABALON","tissueLP",0.652285501121346,-0.596336100024121
"22","ABAT","tissueLP",1,0.0873405438480011
"23","ABCA1","tissueLP",1.2806175770041e-31,1.77827590827409
"24","ABCA10","tissueLP",1,-0.405147617468825
"25","ABCA2","tissueLP",1,-0.309955664411566
"26","ABCA3","tissueLP",0.000456442052123428,-0.84920314767569
"27","ABCA5","tissueLP",1,-0.238407615749123
"28","ABCA7","tissueLP",1,-0.299091817501545
"29","ABCB1","tissueLP",3.29324411319649e-12,0.434951951312864
"30","ABCB10","tissueLP",1,-0.380222278168575
"31","ABCB6","tissueLP",1,-0.424980339777473
"32","ABCB7","tissueLP",1,-0.0787870148891285
"33","ABCB8","tissueLP",0.00180958979724599,-0.649399493895216
"34","ABCB9","tissueLP",1,-0.0928421780411724
"35","ABCC1","tissueLP",1,-0.116234082496242
"36","ABCC10","tissueLP",1,-0.332476741996917
"37","ABCC11","tissueLP",1,-0.995554068035963
"38","ABCC4","tissueLP",1,0.0423009187719394
"39","ABCC5","tissueLP",1,-0.0969181847873637
"40","ABCD1","tissueLP",1,-0.090575047026362
"41","ABCD2","tissueLP",5.32671990414063e-06,-0.755301288650557
"42","ABCD3","tissueLP",1,-0.254446601824401
"43","ABCD4","tissueLP",1,-0.167656162108336
"44","ABCE1","tissueLP",1,0.103140714466387
"45","ABCF1","tissueLP",8.66835848651113e-40,0.73886181146559
"46","ABCF2","tissueLP",1,-0.274744261071033
"47","ABCF3","tissueLP",0.08806734707391,0.448384982947534
"48","ABCG1","tissueLP",1,0.231855003506127
"49","ABCG2","tissueLP",1,-0.180135883302382
"50","ABHD10","tissueLP",1,-0.432837993402313
"51","ABHD11","tissueLP",1,-0.0175776822888031
"52","ABHD12","tissueLP",1,-0.0598047846505413
"53","ABHD13","tissueLP",1,0.0245360448090884
"54","ABHD14A","tissueLP",0.000157433567686461,-0.503777022090596
"55","ABHD14B","tissueLP",1.36305197542596e-11,-0.445420410520323
"56","ABHD15","tissueLP",1,-0.546490521268583
"57","ABHD15-AS1","tissueLP",1,-0.226764527038104
"58","ABHD16A","tissueLP",1,0.358776896646562
"59","ABHD17A","tissueLP",3.75353483790571e-15,-0.483460630036309
"60","ABHD17B","tissueLP",1,0.257310119912804
"61","ABHD18","tissueLP",1,-0.101765067936606
"62","ABHD2","tissueLP",1,-0.35167874139604
"63","ABHD3","tissueLP",1,0.133152075425936
"64","ABHD4","tissueLP",1,0.34491757616653
"65","ABHD5","tissueLP",1,-0.209506223011716
"66","ABHD6","tissueLP",0.896533115511137,-0.555731460380278
"67","ABHD8","tissueLP",1,-0.458583009524618
"68","ABI1","tissueLP",0.000528895761352033,0.267586517955762
"69","ABI2","tissueLP",1,-0.122713255347747
"70","ABI3","tissueLP",3.17944476498131e-05,-0.538832180708362
"71","ABITRAM","tissueLP",1,-0.197654962321275
"72","ABL1","tissueLP",1,-0.128211139760522
"73","ABL2","tissueLP",1,0.00502150132792913
"74","ABLIM1","tissueLP",3.10243109987568e-11,0.437434367898794
"75","ABLIM2","tissueLP",1,0.017580451767251
"76","ABR","tissueLP",1,-0.393822703236992
"77","ABRACL","tissueLP",1,0.0857286208148701
"78","ABRAXAS1","tissueLP",1,-0.322255028191864
"79","ABRAXAS2","tissueLP",1,-0.20951035270327
"80","ABT1","tissueLP",1,0.279356801734538
"81","ABTB1","tissueLP",1,0.0820445924030104
"82","ABTB2","tissueLP",1,-0.214940714528289
"83","AC000065.1","tissueLP",0.450347959914259,-0.604785163928917
"84","AC002091.1","tissueLP",1,-0.784752861798356
"85","AC002091.2","tissueLP",1,-0.487438564257123
"86","AC002116.2","tissueLP",1,-0.995554068035963
"87","AC002306.1","tissueLP",1,-0.208261794264318
"88","AC002310.1","tissueLP",7.97821899920277e-06,-0.875636777970337
"89","AC002331.1","tissueLP",0.0324368167960651,-0.776581703206755
"90","AC002454.1","tissueLP",1,-0.680172180864567
"91","AC002460.2","tissueLP",1,-0.373129549766365
"92","AC002463.1","tissueLP",1,-0.0573958421770278
