"","gene_short_name","term","q_value","normalized_effect"
"1","A1BG","tissueIEL",1,-0.215772881198139
"2","A1BG-AS1","tissueIEL",1,0.45576726380502
"3","A2M","tissueIEL",1,-0.0434189187082719
"4","A2M-AS1","tissueIEL",1,1.85423936319127e-11
"5","A4GALT","tissueIEL",1,0.334058805303077
"6","AAAS","tissueIEL",0.29250493538678,0.681694262846805
"7","AACS","tissueIEL",1,0.332510333065057
"8","AAGAB","tissueIEL",0.0680616473037806,0.560476465290949
"9","AAK1","tissueIEL",1.05687197418825e-22,1.03184647176604
"10","AAMDC","tissueIEL",1,0.395106672468808
"11","AAMP","tissueIEL",3.44269881137852e-11,-0.657643032274052
"12","AAR2","tissueIEL",1,-0.14230344423629
"13","AARS","tissueIEL",1,0.313425323840765
"14","AARS2","tissueIEL",1,0.559087454845989
"15","AARSD1","tissueIEL",1,-0.0304431419428931
"16","AASDH","tissueIEL",0.00395442224149083,0.996911524900827
"17","AASDHPPT","tissueIEL",0.695427235176841,0.422938589844556
"18","AASS","tissueIEL",1,-0.224582325645053
"19","AATF","tissueIEL",1,0.0258274147118085
"20","AATK","tissueIEL",1,0.330860998877494
"21","ABALON","tissueIEL",1,0.682690797183337
"22","ABAT","tissueIEL",1,-0.0682503537737359
"23","ABCA1","tissueIEL",1,0.589088556653434
"24","ABCA10","tissueIEL",1,0.0323222549655541
"25","ABCA2","tissueIEL",1,0.435699970807679
"26","ABCA3","tissueIEL",1,0.888445387395203
"27","ABCA5","tissueIEL",0.0419315993761302,0.692484935650928
"28","ABCA7","tissueIEL",1,0.62984854888383
"29","ABCB1","tissueIEL",1,0.256680166959507
"30","ABCB10","tissueIEL",1,0.545560033216595
"31","ABCB6","tissueIEL",1,1.85423936319127e-11
"32","ABCB7","tissueIEL",1,0.13744757760957
"33","ABCB8","tissueIEL",0.0627637229634839,0.7953355569753
"34","ABCB9","tissueIEL",1,0.11566622346231
"35","ABCC1","tissueIEL",1,-0.0200529264086672
"36","ABCC10","tissueIEL",0.00448312571687965,0.970316283387802
"37","ABCC11","tissueIEL",1,0.550375849399005
"38","ABCC4","tissueIEL",1,0.915801476966107
"39","ABCC5","tissueIEL",1,0.516763126778594
"40","ABCD1","tissueIEL",1,0.72717440788913
"41","ABCD2","tissueIEL",3.09785448545515e-07,1.02670329284766
"42","ABCD3","tissueIEL",1,0.19494970163603
"43","ABCD4","tissueIEL",1,0.152179422120211
"44","ABCE1","tissueIEL",0.000103534125781653,-0.49140440111258
"45","ABCF1","tissueIEL",3.39413468703375e-31,-0.779161238524817
"46","ABCF2","tissueIEL",1,0.061988718940093
"47","ABCF3","tissueIEL",0.427124034863844,-0.494866617508939
"48","ABCG1","tissueIEL",1,0.0932426998896111
"49","ABCG2","tissueIEL",1,0.0162516424964138
"50","ABHD10","tissueIEL",1,0.545474886142348
"51","ABHD11","tissueIEL",0.0296609876408928,1.10401116529006
"52","ABHD12","tissueIEL",1,0.211931814320918
"53","ABHD13","tissueIEL",1,0.301093648453809
"54","ABHD14A","tissueIEL",1,0.316315066407336
"55","ABHD14B","tissueIEL",1,0.149370917131271
"56","ABHD15","tissueIEL",0.811466140158227,0.896065518639468
"57","ABHD15-AS1","tissueIEL",1,0.604484912700684
"58","ABHD16A","tissueIEL",1,-0.0885626365241418
"59","ABHD17A","tissueIEL",1.06972105077573e-05,0.413562206429602
"60","ABHD17B","tissueIEL",1,-0.0344364024487986
"61","ABHD18","tissueIEL",1,0.473600835142436
"62","ABHD2","tissueIEL",1,0.175466266544458
"63","ABHD3","tissueIEL",1,0.0453987124802976
"64","ABHD4","tissueIEL",1,0.568192269698549
"65","ABHD5","tissueIEL",1,0.234171794271167
"66","ABHD6","tissueIEL",1,-0.30880656853164
"67","ABHD8","tissueIEL",1,0.603179278627033
"68","ABI1","tissueIEL",1,-0.170905896714771
"69","ABI2","tissueIEL",1,-0.00949325286959179
"70","ABI3","tissueIEL",1.0292509127591e-66,1.93582083173081
"71","ABITRAM","tissueIEL",1,-0.192159661321947
"72","ABL1","tissueIEL",1,0.222527086215599
"73","ABL2","tissueIEL",1,0.025669603065733
"74","ABLIM1","tissueIEL",1,-0.154730069030152
"75","ABLIM2","tissueIEL",1,0.628587247589983
"76","ABR","tissueIEL",0.00132446998790776,0.685023799235346
"77","ABRACL","tissueIEL",1,0.201462908982504
"78","ABRAXAS1","tissueIEL",1,0.257402318213171
"79","ABRAXAS2","tissueIEL",1,0.150510632309616
"80","ABT1","tissueIEL",9.47598031138715e-15,-0.805049590302471
"81","ABTB1","tissueIEL",5.34837411166913e-08,0.781083072934028
"82","ABTB2","tissueIEL",1,-0.322566782298909
"83","AC000065.1","tissueIEL",1,1.85423936319127e-11
"84","AC002091.1","tissueIEL",1,1.85423936319127e-11
"85","AC002091.2","tissueIEL",1,0.0162516424964138
"86","AC002116.2","tissueIEL",1,1.01639041416152
"87","AC002306.1","tissueIEL",1,-0.448987811865619
"88","AC002310.1","tissueIEL",1,0.546900455967371
"89","AC002331.1","tissueIEL",1,1.1865852205112
"90","AC002454.1","tissueIEL",1,0.0162516424964138
"91","AC002460.2","tissueIEL",1,0.394729961630031
"92","AC002463.1","tissueIEL",1,0.700715594597503
"93","AC002467.1","tissueIEL",1,0.0752811645765707
"94","AC003681.1","tissueIEL",1,0.478697806033631
"95","AC004039.1","tissueIEL",0.00076252096377388,-0.891444762520929
"96","AC004083.1","tissueIEL",1,0.0162516424964138
"97","AC004241.1","tissueIEL",1,0.802700421607449
"98","AC004253.1","tissueIEL",1,-0.0916347443780961
"99","AC004551.1","tissueIEL",1,0.419633132480365
"100","AC004556.3","tissueIEL",1,-0.31264960946077
"101","AC004585.1","tissueIEL",1,0.267730452278674
"102","AC004596.1","tissueIEL",1,0.94780407197066
"103","AC004687.1","tissueIEL",1,0.192813730569349
"104","AC004771.3","tissueIEL",1,0.539172411618553
"105","AC004797.1","tissueIEL",0.979652820863558,0.936454046354564
"106","AC004812.2","tissueIEL",1,-0.203374918213979
"107","AC004816.1","tissueIEL",1,0.422075814653064
"108","AC004817.3","tissueIEL",1,-0.508753891380143
"109","AC004817.5","tissueIEL",1,0.493467829909609
"110","AC004832.6","tissueIEL",0.173894891223316,0.965604609086997
"111","AC004837.4","tissueIEL",1,0.0843380965217751
"112","AC004847.1","tissueIEL",1,-0.305425730340699
"113","AC004854.2","tissueIEL",0.137336191911096,0.855543180182747
"114","AC004865.2","tissueIEL",1,0.804415150048311
"115","AC004895.1","tissueIEL",1,0.422075814653028
"116","AC004906.1","tissueIEL",1,0.71872123831392
"117","AC004917.1","tissueIEL",1,1.85423936319127e-11
"118","AC004938.2","tissueIEL",1,0.657870320281145
"119","AC004943.2","tissueIEL",0.281976360536458,1.23495944067415
"120","AC004951.1","tissueIEL",1,0.909276584797942
"121","AC004974.1","tissueIEL",1,0.653780231095981
"122","AC005037.1","tissueIEL",1,-0.0740363392437217
"123","AC005041.5","tissueIEL",1,0.0627699075310291
"124","AC005052.2","tissueIEL",0.0543284099823833,1.54996955182314
"125","AC005070.3","tissueIEL",1,-0.453153734591519
"126","AC005083.1","tissueIEL",1,0.992617523845659
"127","AC005225.2","tissueIEL",1,0.168966890529871
"128","AC005229.4","tissueIEL",1,-0.409129794333228
"129","AC005237.1","tissueIEL",1,-0.382026782112728
"130","AC005261.1","tissueIEL",1,-0.398077833927132
"131","AC005264.1","tissueIEL",1,0.434222526425492
"132","AC005332.1","tissueIEL",1,0.431963613051199
"133","AC005332.4","tissueIEL",1,0.621562425692991
"134","AC005332.5","tissueIEL",1,0.665434816786927
"135","AC005332.6","tissueIEL",1,0.400926783714488
"136","AC005355.1","tissueIEL",1,0.318191297034415
