,log2fold,pval_adj
CD8B,3.789065361022949,1.0
KLRK1,4.687588214874268,1.0
CCL5,2.236776113510132,1.0
DENND4C,2.3399829864501953,1.0
CD8A,2.644475221633911,1.0
KDM2A,1.5798240900039673,1.0
DCP2,2.184307813644409,1.0
KPNA4,1.36226487159729,1.0
KHDRBS1,1.2454030513763428,1.0
CLASP1,1.9383257627487183,1.0
ZFAND5,1.317442536354065,1.0
UBR4,2.2722861766815186,1.0
FAM133B,1.5941544771194458,1.0
MT-ND4,0.5681955814361572,1.0
IER5L,1.827438473701477,1.0
PNRC1,0.4442977011203766,1.0
PTGER4,1.0159062147140503,1.0
TENT2,1.9531259536743164,1.0
NSD3,1.5422890186309814,1.0
AL136456.1,1.2079715728759766,1.0
SYTL2,1.1690990924835205,1.0
CCL4,3.890441417694092,1.0
LINC02446,2.6884541511535645,1.0
MAPRE2,1.3681745529174805,1.0
NAE1,2.8843488693237305,1.0
RESF1,0.833541750907898,1.0
IER5,0.7865319848060608,1.0
TC2N,1.041609764099121,1.0
EZH1,2.7493207454681396,1.0
TRAF3,1.6991868019104004,1.0
SF3B1,0.8301395773887634,1.0
CCND3,0.8206339478492737,1.0
KMT2A,1.205691933631897,1.0
ARHGEF1,0.886059582233429,1.0
KLRD1,4.705883979797363,1.0
IFNG,1.7648593187332153,1.0
TRBV28,4.2598724365234375,1.0
NR4A2,1.0905615091323853,1.0
GRB2,1.1806142330169678,1.0
MFAP1,2.280669689178467,1.0
TOX4,1.4678456783294678,1.0
TBX21,1.7608704566955566,1.0
FAM120AOS,2.216348886489868,1.0
BMI1,2.280669689178467,1.0
SUCLG2,1.7567217350006104,1.0
MCM7,3.386901378631592,1.0
RALGAPA1,1.0692110061645508,1.0
JARID2,1.2491559982299805,1.0
MBNL2,1.1629053354263306,1.0
TBC1D10A,2.248908758163452,1.0
OXA1L,1.4363183975219727,1.0
RAPGEF6,1.0300627946853638,1.0
NDUFA13,1.0240100622177124,1.0
