,log2fold,pval_adj
TRAV4,4.631286144256592,2.2887907790515633e-05
HLA-DRA,2.6747820377349854,0.027930854302996213
INPP5F,1.8265407085418701,0.11220524686866981
ALOX5AP,1.6362565755844116,0.16811509907802194
ITGB1BP1,2.3855419158935547,0.17415746330942342
HLA-DRB1,1.8816229104995728,0.18833916659611363
HLA-DPB1,2.017573118209839,0.18833916659611363
SH3BGRL3,1.0008257627487183,0.18833916659611363
LINC01871,1.2516443729400635,0.24827214526535138
CD52,1.184613823890686,0.35654917015741355
XCL1,2.546856641769409,0.537104041822131
ANKRD28,1.398135781288147,0.6679907821681416
CCL5,1.9854145050048828,0.6827048673022413
RUNX3,1.338348627090454,0.7228045311988422
ZEB2,1.1188641786575317,0.7228045311988422
CD74,0.9218611717224121,0.7228045311988422
TRBC1,1.2604879140853882,0.7311156267210687
ACTG1,0.8937150835990906,0.9255610607069371
IL22,2.4193170070648193,1.0
TRBV7-2,4.37296724319458,1.0
RPS19,0.3652692437171936,1.0
STAT1,1.284269094467163,1.0
MFSD10,1.203992486000061,1.0
NCR3,1.7457972764968872,1.0
VIM,1.0803399085998535,1.0
EIF3M,1.0643497705459595,1.0
PAXX,1.3135403394699097,1.0
CD96,0.9148018956184387,1.0
GLIPR1,1.2240525484085083,1.0
VDR,1.527873158454895,1.0
GAPDH,0.5733548998832703,1.0
LGALS3,3.4272003173828125,1.0
MT2A,1.263513207435608,1.0
TNFSF10,1.4928025007247925,1.0
TRAV13-2,3.0857279300689697,1.0
RGS2,1.4973794221878052,1.0
HLA-DQB1,1.58393394947052,1.0
KLRD1,2.268228769302368,1.0
DUSP4,0.5677541494369507,1.0
CCDC50,2.5868005752563477,1.0
HLA-DQA1,2.2430167198181152,1.0
RPS24,0.3483412563800812,1.0
RASGEF1B,1.0097583532333374,1.0
PRDX3,2.3156940937042236,1.0
CHCHD7,1.3101634979248047,1.0
TRBV5-4,3.185137987136841,1.0
UBE2F,1.7903939485549927,1.0
ACTN4,1.2136759757995605,1.0
EIF2AK3,1.3872735500335693,1.0
AC004687.1,1.832963466644287,1.0
TCIRG1,1.3223813772201538,1.0
CORO1A,0.7524886727333069,1.0
HIPK2,1.2779358625411987,1.0
EIF3F,0.6772893667221069,1.0
GNG4,0.9887622594833374,1.0
CRTAM,3.1044347286224365,1.0
DAPK2,1.9002656936645508,1.0
XRN1,1.048888087272644,1.0
ANXA2,1.42618727684021,1.0
JAML,1.3002209663391113,1.0
S100A4,1.139577865600586,1.0
INPP4A,2.0506503582000732,1.0
GID8,1.3924617767333984,1.0
MT-ND1,0.47035521268844604,1.0
TWF2,1.1428017616271973,1.0
MANBA,1.6651561260223389,1.0
SSNA1,1.2421224117279053,1.0
RABGAP1L,0.7620084881782532,1.0
CLEC2D,0.7010807394981384,1.0
RAB27A,0.9741659164428711,1.0
ATP2B4,0.8965051770210266,1.0
HLA-DPA1,1.0027120113372803,1.0
NCF4,1.4842907190322876,1.0
CST7,0.9057918190956116,1.0
EVL,0.8080239295959473,1.0
IFNG,0.9922685027122498,1.0
LSP1,0.6709442138671875,1.0
MT-CO2,0.3194051682949066,1.0
ZNF414,2.245938539505005,1.0
SPRY1,2.398853302001953,1.0
AL136962.1,1.2495328187942505,1.0
ST6GALNAC6,1.8137997388839722,1.0
PRKD3,2.252166271209717,1.0
ASXL2,1.8208503723144531,1.0
GBP5,0.9930810928344727,1.0
CDV3,1.1763801574707031,1.0
ATP8B4,2.062729835510254,1.0
RPL27,0.2884123623371124,1.0
S100A6,0.9403584003448486,1.0
LST1,1.7393895387649536,1.0
CAP1,0.832094669342041,1.0
PGLS,1.0487151145935059,1.0
SUCO,0.9812475442886353,1.0
TLE5,1.3221009969711304,1.0
PPIB,0.676943838596344,1.0
COTL1,0.9739428758621216,1.0
TAGAP,0.8339388370513916,1.0
NDUFA11,0.7793565392494202,1.0
LCP1,0.6577019691467285,1.0
PDCD5,1.69404137134552,1.0
MYO1G,0.976650059223175,1.0
CKLF,0.9640094637870789,1.0
PCED1B-AS1,1.2468438148498535,1.0
TLN1,0.8075950145721436,1.0
LAMTOR4,0.9480414390563965,1.0
LINC02341,1.233715534210205,1.0
AGK,1.8054091930389404,1.0
IDH2,1.2205071449279785,1.0
PREX1,1.1845978498458862,1.0
TRIR,0.490043967962265,1.0
CYP1B1,1.950326681137085,1.0
COA6,1.8817224502563477,1.0
HLA-DRB5,1.3849999904632568,1.0
FABP5,1.2305035591125488,1.0
SASH3,1.445434808731079,1.0
POLR3GL,1.2629115581512451,1.0
ZC3H12A,0.8376956582069397,1.0
MT-ATP6,0.36672887206077576,1.0
AIP,0.9026506543159485,1.0
GRAMD1B,1.1964378356933594,1.0
PTPN22,0.7642683982849121,1.0
STIM2,1.4580827951431274,1.0
AC079793.1,1.3755695819854736,1.0
ETFB,0.8797314763069153,1.0
P4HB,0.9465689063072205,1.0
STX11,0.7296668291091919,1.0
ANKRA2,1.7462074756622314,1.0
MDFIC,0.9771758913993835,1.0
HPRT1,1.3214486837387085,1.0
TNFRSF1A,2.80798077583313,1.0
USO1,1.4828691482543945,1.0
KXD1,1.177280306816101,1.0
AC058791.1,1.183409571647644,1.0
