,log2fold,pval_adj
TRAV19,4.970210552215576,9.717651548993572e-06
TRBC2,1.3769186735153198,0.0003107416600902061
TRAV12-3,4.154977321624756,0.022976100668211194
CD69,0.9053298234939575,0.0930248538218712
PARP8,0.7581393718719482,0.13693487310316005
GZMA,1.392059564590454,0.2570066757162941
CD83,1.0337955951690674,0.6539841192563804
REL,0.928865373134613,0.6839610644159525
MT-ND2,0.6029294729232788,0.6839610644159525
TRBV27,4.1224846839904785,1.0
MT-CO1,0.32987943291664124,1.0
CCL20,1.277816891670227,1.0
TANK,0.5948764681816101,1.0
CEBPD,0.8646431565284729,1.0
RAP1B,0.6097009778022766,1.0
ATP5IF1,0.7095553278923035,1.0
IL12RB2,1.3889143466949463,1.0
PHACTR2,1.1385164260864258,1.0
MAPK1IP1L,0.7726250290870667,1.0
HLA-B,0.301865816116333,1.0
EVI2B,0.815248966217041,1.0
PPP6R3,1.0889883041381836,1.0
CXCR4,0.5785266757011414,1.0
IRF1,0.7995835542678833,1.0
DUSP10,1.0098857879638672,1.0
THEMIS,0.7390320897102356,1.0
HDAC9,1.8879295587539673,1.0
TRAT1,0.8332809209823608,1.0
ISG20,0.643067479133606,1.0
TRBV6-1,3.8162503242492676,1.0
MORF4L2,0.7624770998954773,1.0
SMCHD1,0.6702182292938232,1.0
CCNH,0.6085875630378723,1.0
IL2RG,0.48175543546676636,1.0
SRSF7,0.5117248892784119,1.0
RORA-AS1,0.6746273636817932,1.0
AKAP8L,1.3001489639282227,1.0
HLA-C,0.25943082571029663,1.0
LINC01138,0.7309265732765198,1.0
CAMK2D,0.9176732897758484,1.0
UBXN1,0.5896512269973755,1.0
TRAV8-6,2.5242462158203125,1.0
PPP1R15A,0.5272676348686218,1.0
SKAP1,0.6817305684089661,1.0
PBXIP1,0.663805365562439,1.0
HSPD1,0.7581823468208313,1.0
MALAT1,0.1899322271347046,1.0
AKAP13,0.5497433543205261,1.0
BCAS2,0.8259298205375671,1.0
MGAT4A,0.6360703706741333,1.0
PRDM1,0.6436303853988647,1.0
VAV3,1.445404291152954,1.0
MAF,1.28855562210083,1.0
EML4,0.5201455354690552,1.0
EPS15,0.8165391683578491,1.0
IFNG,1.6536458730697632,1.0
CAMK4,0.5300347208976746,1.0
HELZ,0.8401144742965698,1.0
H3F3B,0.36768877506256104,1.0
HOXB2,1.297068476676941,1.0
GNG2,0.5103859901428223,1.0
IKZF3,0.9926450848579407,1.0
PNRC2,0.7755696177482605,1.0
TMSB4X,0.18022282421588898,1.0
ATP6V1G1,0.6134524941444397,1.0
SLC2A3,0.6512680053710938,1.0
BCAS3,1.825448989868164,1.0
SLAMF1,0.6919400691986084,1.0
SLA,0.7908051609992981,1.0
MAN1A1,0.9747106432914734,1.0
HNRNPA2B1,0.31825363636016846,1.0
JAK1,0.43784061074256897,1.0
ETS1,0.4265214204788208,1.0
ATXN1,0.5900576710700989,1.0
CNOT6L,0.6787922382354736,1.0
ASH1L,0.720194399356842,1.0
ORMDL1,0.9565109014511108,1.0
DDX3X,0.5618204474449158,1.0
DUSP2,0.6739810109138489,1.0
LEPROTL1,0.49434906244277954,1.0
CFLAR,0.4927777349948883,1.0
DNAJA1,0.35202500224113464,1.0
PPAN,1.3514255285263062,1.0
PDE4B,0.6355061531066895,1.0
HSPE1,0.4952993392944336,1.0
IL23R,0.6974478363990784,1.0
SLC44A2,1.015541911125183,1.0
TSC22D3,0.4289747476577759,1.0
CCNT1,1.1698356866836548,1.0
LAT,0.7956682443618774,1.0
IVNS1ABP,0.5330235362052917,1.0
HSPH1,0.5789116621017456,1.0
DLEU2,0.8920615315437317,1.0
NUP58,0.923934817314148,1.0
IDI1,0.7287811040878296,1.0
TAF1D,0.5113915205001831,1.0
NCOA1,1.4170753955841064,1.0
ELOVL5,0.46816498041152954,1.0
FABP5,0.7884771823883057,1.0
SELENOK,0.4727289378643036,1.0
RAB8B,0.5250428915023804,1.0
CCL4,1.8011133670806885,1.0
DOK2,0.7093627452850342,1.0
TBRG1,0.7674334645271301,1.0
B4GALT5,0.9013586044311523,1.0
GZMK,2.0385913848876953,1.0
THRAP3,0.8729008436203003,1.0
LPXN,0.4533470869064331,1.0
AZIN1,0.6715391874313354,1.0
TERF2IP,0.5510486364364624,1.0
IL18RAP,0.684258222579956,1.0
PTEN,0.9727746844291687,1.0
GOLGB1,0.5721787810325623,1.0
CLEC2B,0.4853571951389313,1.0
NABP1,0.5950841307640076,1.0
USP11,1.383453369140625,1.0
FBXO7,0.6808485984802246,1.0
COLQ,1.6025104522705078,1.0
ELF1,0.4534989893436432,1.0
GPR107,1.4618068933486938,1.0
PDE7A,0.6294321417808533,1.0
