,log2fold,pval_adj
CD8A,1.5663098096847534,4.1766796045700217e-10
LINC02446,1.7998206615447998,2.221819072186718e-07
CD8B,1.3986787796020508,5.464244931850108e-06
THEMIS,0.718034029006958,0.009531107157311708
TRBV28,3.4209725856781006,0.013797982261118608
MT-ND4,0.4806848168373108,0.013797982261118608
MT-ND4L,0.34227439761161804,0.01610861463673423
SPRY1,1.2939976453781128,0.02872223785677774
KLRK1,0.9977272152900696,0.028950394744813
MT-CO2,0.24792954325675964,0.030950467692343192
MT-ND2,0.3687835931777954,0.0472757702356238
MT-CO1,0.2605939209461212,0.12776994201922476
MT-ATP6,0.25505733489990234,0.12776994201922476
TRAV24,4.055943489074707,0.12843501144540712
TRGV8,3.451031446456909,0.1450122638943195
KLRC4,1.2950059175491333,0.2998094471327513
PARP8,0.4436046779155731,0.32302262822337274
KLRD1,1.2174354791641235,0.32302262822337274
MT-ND5,0.28270184993743896,0.5580492769583171
MT-CO3,0.264847069978714,0.5580492769583171
ATP8A1,0.993241012096405,0.602765295589387
CCL5,0.5728164911270142,0.6168959274956771
MT-ND3,0.1956533044576645,0.6462250089783411
CD69,0.4248528778553009,0.8317573322394752
FTL,0.3104533851146698,0.8397255861960223
MTRNR2L12,0.2863834500312805,0.9359974924264073
AOAH,0.8523168563842773,0.9899154695539021
PTPN22,0.6773055791854858,0.9899154695539021
CELF2,0.4396062195301056,1.0
JAML,0.6052778363227844,1.0
AL136456.1,1.0184056758880615,1.0
TRAV12-2,2.681748628616333,1.0
FABP5,0.900206983089447,1.0
KLRC2,1.8582113981246948,1.0
SYTL2,0.7063056230545044,1.0
TMEM167A,1.1046124696731567,1.0
TRG-AS1,0.7504582405090332,1.0
KIAA1109,0.6855404376983643,1.0
CD52,0.46145689487457275,1.0
MT-ND1,0.27457308769226074,1.0
HOPX,0.607459306716919,1.0
MT-CYB,0.17045824229717255,1.0
GMDS,0.7491940259933472,1.0
DAPK2,0.9046276807785034,1.0
ATP8B4,1.840722918510437,1.0
SLC7A5,0.5012572407722473,1.0
GCC2,0.545886218547821,1.0
ZNF644,0.6120638251304626,1.0
MT-ATP8,0.2467837780714035,1.0
LINC01871,0.5284243822097778,1.0
IQGAP1,0.46141934394836426,1.0
ENTPD1,1.2954034805297852,1.0
