,log2fold,pval_adj
SELENOK,0.825661301612854,1.0
RPS27,0.29774990677833557,1.0
JUNB,1.2742063999176025,1.0
HLA-B,0.3683413863182068,1.0
RHOH,0.8093280792236328,1.0
AC022075.1,1.9124219417572021,1.0
HLA-A,0.3323502838611603,1.0
SLC2A3,1.124104619026184,1.0
SAT1,0.7621131539344788,1.0
XCL1,1.4071123600006104,1.0
HIVEP2,1.0721921920776367,1.0
EIF4A1,0.6083845496177673,1.0
WDR45,2.16888427734375,1.0
IL21R,1.5920054912567139,1.0
GZMK,2.7822134494781494,1.0
EZR,0.6260669827461243,1.0
RPS28,0.30579420924186707,1.0
TRBV20-1,3.8497941493988037,1.0
MT-ND5,0.4195363223552704,1.0
GPR183,1.257897138595581,1.0
NASP,0.9697750806808472,1.0
SRGN,0.3305881917476654,1.0
RBM6,1.4346648454666138,1.0
EIF1,0.301210880279541,1.0
FAU,0.2614176273345947,1.0
NR4A2,0.8961880207061768,1.0
RPA3,1.300079345703125,1.0
TINF2,1.6550471782684326,1.0
SUB1,0.675397515296936,1.0
YWHAZ,0.2738715708255768,1.0
AL135905.2,1.2923654317855835,1.0
LYST,1.0817255973815918,1.0
RPS29,0.25553685426712036,1.0
SETX,1.3216257095336914,1.0
GZMB,1.3336294889450073,1.0
CST7,0.6061161160469055,1.0
CADM1,3.9729177951812744,1.0
TENT5C,1.1532554626464844,1.0
RFX3,1.0440762042999268,1.0
XCL2,0.9093624353408813,1.0
GAS5,0.6043267846107483,1.0
TSPYL2,0.6663311123847961,1.0
ZFP36,0.6769282817840576,1.0
NINJ1,0.9239423274993896,1.0
CD59,1.915804386138916,1.0
BICDL1,0.680553674697876,1.0
SELENOW,0.6688399910926819,1.0
PITPNC1,0.6728354692459106,1.0
REL,0.5597043037414551,1.0
RPS14,0.2715834975242615,1.0
IL2RG,0.5227925777435303,1.0
MALT1,1.4928513765335083,1.0
CTSW,1.3476248979568481,1.0
B2M,0.15473264455795288,1.0
SRRT,0.8520793914794922,1.0
RPS15,0.1671980917453766,1.0
TUBA1B,0.49114271998405457,1.0
HIGD2A,0.6493465304374695,1.0
TRAV14DV4,2.100703716278076,1.0
TOX4,0.9105138182640076,1.0
PRKCH,0.5337809920310974,1.0
NANS,1.534184217453003,1.0
CXCR4,0.9418831467628479,1.0
ARID4B,0.5634180307388306,1.0
STX11,1.1548391580581665,1.0
MT-ND2,0.34340211749076843,1.0
CCNL1,0.618088960647583,1.0
LITAF,1.0799670219421387,1.0
ELMO1,1.0012513399124146,1.0
ARL2BP,1.3295562267303467,1.0
SIGIRR,1.098145604133606,1.0
RPL8,0.2107134312391281,1.0
INO80E,1.2062376737594604,1.0
LTB,1.488241195678711,1.0
RPS12,0.22334639728069305,1.0
AC026979.2,1.3040287494659424,1.0
XPR1,1.0898165702819824,1.0
RPS7,0.19599053263664246,1.0
GSTP1,0.6402266025543213,1.0
POLR2K,0.826387882232666,1.0
FNDC3A,0.8116735219955444,1.0
HIST1H1E,0.7855806946754456,1.0
DDX18,0.562570333480835,1.0
CMSS1,1.1585897207260132,1.0
SYTL3,0.49467581510543823,1.0
ZNF331,0.775892436504364,1.0
TMEM107,1.9135280847549438,1.0
MYL6,0.2700788080692291,1.0
ERCC5,1.2571582794189453,1.0
KDM2B,1.404515266418457,1.0
EIF1AX,0.6791031956672668,1.0
RIC8A,1.2115402221679688,1.0
DDX24,0.46589797735214233,1.0
ARFGEF1,0.8471243381500244,1.0
MCM6,1.1736297607421875,1.0
RPS21,0.18873415887355804,1.0
PATJ,1.2314900159835815,1.0
SNRPG,0.5419862270355225,1.0
GCHFR,1.6908475160598755,1.0
TRAV38-2DV8,2.359003782272339,1.0
PTMA,0.185223788022995,1.0
RPS10,0.7263749837875366,1.0
TRBV27,1.8553191423416138,1.0
CENPC,0.5946078896522522,1.0
OAZ1,0.4059711992740631,1.0
SSR3,0.9282275438308716,1.0
NIFK,1.4337787628173828,1.0
SLC20A1,1.1708952188491821,1.0
CACYBP,0.4086804986000061,1.0
IFITM1,0.4837513267993927,1.0
TRIR,0.4631596505641937,1.0
GABARAPL1,0.5515142679214478,1.0
CRTAM,0.6614851951599121,1.0
FRYL,1.106734037399292,1.0
PIH1D1,1.3203035593032837,1.0
RALGDS,0.7072464823722839,1.0
P2RY8,2.359428882598877,1.0
SURF2,1.0737533569335938,1.0
PCMTD1,1.049413800239563,1.0
RPL10,0.17777448892593384,1.0
EIF1B,0.5298582911491394,1.0
UBE2D3,0.3497672379016876,1.0
RPL41,0.11798606067895889,1.0
EIF4EBP2,1.643540859222412,1.0
ATM,1.0596089363098145,1.0
HMCES,0.8259060978889465,1.0
PRELID1,1.2808083295822144,1.0
OASL,0.7858628630638123,1.0
PLEK,3.2931461334228516,1.0
YBX3,1.562144160270691,1.0
USP47,0.6963776350021362,1.0
RPL36AL,0.16662876307964325,1.0
ATP6V0E1,0.5566967129707336,1.0
IMPDH2,0.7681575417518616,1.0
S100A4,0.4143664836883545,1.0
CMTM7,1.1127479076385498,1.0
CNOT6L,0.5053204298019409,1.0
CLPTM1,1.2803447246551514,1.0
LYAR,0.6931363940238953,1.0
G6PD,2.062903881072998,1.0
SLC25A26,1.1535784006118774,1.0
PNRC2,0.587039589881897,1.0
ACTR1A,1.2566553354263306,1.0
WHRN,0.8062954545021057,1.0
UBB,0.28788748383522034,1.0
TMEM123,0.6458029747009277,1.0
TRBC2,0.7520249485969543,1.0
SLC6A6,1.1599516868591309,1.0
SEC61B,0.5465453267097473,1.0
PLAAT3,1.2169536352157593,1.0
TMEM50A,0.580949604511261,1.0
BCL2A1,0.6476618647575378,1.0
PNP,0.8203620910644531,1.0
RPS25,0.22802506387233734,1.0
TMED4,0.8161500692367554,1.0
ANKRD36,1.0007340908050537,1.0
TNFSF9,1.7742770910263062,1.0
DCP2,0.9011410474777222,1.0
LINC01138,1.0159406661987305,1.0
SS18L2,0.6629881262779236,1.0
SF3B2,0.5847969651222229,1.0
FAAH2,1.6752595901489258,1.0
INTS14,1.8947066068649292,1.0
H3F3B,0.2362651824951172,1.0
TNFRSF10B,1.4866188764572144,1.0
TMF1,0.4793955981731415,1.0
ZBTB2,2.703056812286377,1.0
CWC15,0.8637992739677429,1.0
LAPTM4A,0.6909814476966858,1.0
OTUD6B-AS1,1.0355381965637207,1.0
XIAP,1.396658182144165,1.0
MALAT1,0.14314310252666473,1.0
THAP9-AS1,1.1403825283050537,1.0
WASF2,0.7174607515335083,1.0
MAP3K8,0.48101431131362915,1.0
VAMP8,0.586586594581604,1.0
DCAF6,0.8877543807029724,1.0
GZMH,1.4216326475143433,1.0
GNL1,0.6429653763771057,1.0
SREK1,0.8842690587043762,1.0
PPP1R3E,26.74575424194336,1.0
SAFB2,0.5342554450035095,1.0
RPL30,0.13548287749290466,1.0
ARSG,2.377206802368164,1.0
LINC00910,1.826695203781128,1.0
LBH,0.5471581816673279,1.0
PTPRE,1.551410436630249,1.0
TMEM50B,1.0984501838684082,1.0
RSBN1,0.7681259512901306,1.0
FLNA,0.8232014179229736,1.0
TIFA,0.8970085382461548,1.0
ERC1,1.6331722736358643,1.0
DRAP1,0.5672322511672974,1.0
IGKV1-5,0.7349849343299866,1.0
GPCPD1,0.4643639326095581,1.0
BHLHE40,1.2009423971176147,1.0
PSTPIP1,1.2633285522460938,1.0
ERAP1,1.5271270275115967,1.0
PMPCB,0.9068475961685181,1.0
RALGAPA1,0.45401543378829956,1.0
ZNF394,0.8975536823272705,1.0
ARHGDIB,0.2582175135612488,1.0
DNAJC9,0.7258609533309937,1.0
ISG20L2,1.0259524583816528,1.0
MCPH1,1.0319403409957886,1.0
RBMX,0.4628351628780365,1.0
NPAT,0.9887884855270386,1.0
RBM8A,0.358503133058548,1.0
TNFRSF9,0.6571473479270935,1.0
DUSP14,2.1102466583251953,1.0
RPL7A,0.13749149441719055,1.0
SNHG29,0.3285675644874573,1.0
TNFRSF1B,0.8538088202476501,1.0
ATP5MF,0.49827390909194946,1.0
RPS23,0.17766813933849335,1.0
POLR1E,2.040431261062622,1.0
B4GALT1,0.5537828803062439,1.0
PML,1.649505853652954,1.0
LMNA,0.4473465383052826,1.0
XBP1,0.44523006677627563,1.0
CITED2,1.3871355056762695,1.0
YPEL5,0.3292754888534546,1.0
PRDM8,3.9947144985198975,1.0
MT-CYB,0.19234849512577057,1.0
CAPRIN1,0.8173489570617676,1.0
ZBTB38,0.8458606600761414,1.0
LINC02320,3.7863409519195557,1.0
MT-ND3,0.22247353196144104,1.0
PDRG1,2.0373189449310303,1.0
LMO4,1.1655174493789673,1.0
HSPA8,0.23957668244838715,1.0
LEPROTL1,0.3835810422897339,1.0
SPAG1,1.348396897315979,1.0
C2orf49,1.4341105222702026,1.0
SEC24C,1.588637351989746,1.0
PPP2R5C,0.3472270667552948,1.0
CD8A,0.302663117647171,1.0
SCAF4,0.9040181636810303,1.0
TAX1BP1,0.4260556995868683,1.0
RGS2,0.9483639597892761,1.0
CPD,0.6163809895515442,1.0
CUL1,1.0235010385513306,1.0
CEBPG,0.8901028633117676,1.0
PSMD8,0.4933153986930847,1.0
MAML2,0.5410984754562378,1.0
RPL21,0.21059636771678925,1.0
LINC01578,0.770848274230957,1.0
DNAJB9,0.6255894303321838,1.0
ASXL1,0.727102518081665,1.0
IGHV4-61,3.369347095489502,1.0
COQ10A,3.369347095489502,1.0
UBR1,0.6746541261672974,1.0
SMIM15,1.3231841325759888,1.0
CCNT2,0.8210610747337341,1.0
JMJD1C,0.39886242151260376,1.0
MAGT1,0.9875897765159607,1.0
PHLDA2,1.3084328174591064,1.0
AL157402.2,1.8237203359603882,1.0
BTN2A1,1.4197381734848022,1.0
TGFB1,0.4952832758426666,1.0
SNHG25,1.2983769178390503,1.0
UBA2,0.6604013442993164,1.0
GCH1,0.9369157552719116,1.0
MT-ATP8,0.3675227761268616,1.0
NCOA3,0.7091429233551025,1.0
NFKBIZ,0.5834317207336426,1.0
DDX3X,0.3786281943321228,1.0
PAIP2,0.2723945081233978,1.0
PGRMC1,1.2401922941207886,1.0
UBC,0.3389222323894501,1.0
IL10RA,0.7387966513633728,1.0
SF3A1,0.4462919235229492,1.0
RPS3,0.11931808292865753,1.0
CORO7,0.6258804798126221,1.0
TAF12,1.782423496246338,1.0
PBX2,1.7543666362762451,1.0
SAP18,0.32388776540756226,1.0
HIVEP1,0.5796071290969849,1.0
NDRG1,1.0668716430664062,1.0
PCSK7,1.3084853887557983,1.0
ACTR10,1.2169536352157593,1.0
BEX4,1.5485678911209106,1.0
BLCAP,1.7260808944702148,1.0
CSRNP1,0.5751824378967285,1.0
NCR3,2.9888434410095215,1.0
FBXO48,2.9888434410095215,1.0
HNRNPK,0.2824961245059967,1.0
GPHN,1.4995959997177124,1.0
TERF2IP,0.5858022570610046,1.0
DDX17,0.38168492913246155,1.0
SELENOS,0.6272045969963074,1.0
ATP6V1G1,0.33125266432762146,1.0
A1BG,0.7806671261787415,1.0
PPM1L,2.645111322402954,1.0
SH2D2A,0.3015119433403015,1.0
POR,1.0117132663726807,1.0
SRP72,0.7352691888809204,1.0
ADGRE5,0.2551235854625702,1.0
VTI1B,0.9501016139984131,1.0
AC068282.1,1.0124132633209229,1.0
SART1,1.1841148138046265,1.0
LINC01004,1.1390571594238281,1.0
TCERG1,0.5861221551895142,1.0
LSM1,0.7842870950698853,1.0
ALDOA,0.35913071036338806,1.0
DDT,0.40321722626686096,1.0
SPTY2D1,0.5627448558807373,1.0
PCBP2,0.43182048201560974,1.0
AREL1,1.2234642505645752,1.0
HERPUD1,0.46651017665863037,1.0
USP3,0.5504756569862366,1.0
FAM229B,2.330857753753662,1.0
ADIPOR1,0.8398552536964417,1.0
RING1,1.0021698474884033,1.0
TPD52L2,1.4661953449249268,1.0
SRSF9,1.4995959997177124,1.0
APOBEC3G,0.9862660765647888,1.0
YES1,0.672793447971344,1.0
DEC1,1.6373285055160522,1.0
CDADC1,1.1560221910476685,1.0
TOP1,0.4713761508464813,1.0
TMEM9B,0.8345803022384644,1.0
CHMP1B,0.8779416084289551,1.0
HSPA4,0.4360974431037903,1.0
HBS1L,0.5505062937736511,1.0
HLA-C,0.1509314626455307,1.0
EIF4E,0.6339167356491089,1.0
ZNF431,1.026907205581665,1.0
CALCOCO2,0.5677997469902039,1.0
MTPAP,2.2585549354553223,1.0
CNN2,0.6460198163986206,1.0
MCRIP1,0.986138641834259,1.0
RTF1,0.4961911737918854,1.0
TMEM14B,0.6339102387428284,1.0
TMEM87B,1.4661953449249268,1.0
MRPL19,1.4661953449249268,1.0
MAGOH,0.5386263728141785,1.0
PSMD7,0.5027479529380798,1.0
ISG20,0.33726966381073,1.0
IFNG,0.6801761388778687,1.0
BCL7B,1.1080704927444458,1.0
RPL34,0.13309577107429504,1.0
ZFP36L1,0.4022698700428009,1.0
PAFAH1B2,1.1728554964065552,1.0
ZSWIM6,0.6963067054748535,1.0
FOSL2,1.0589104890823364,1.0
BIK,1.701925277709961,1.0
SNHG3,0.9417916536331177,1.0
CHCHD7,0.6882121562957764,1.0
REEP5,0.5490908026695251,1.0
LAG3,0.7861732840538025,1.0
FNDC9,2.1896278858184814,1.0
PLCG2,1.4443540573120117,1.0
PAPOLA,0.2856157124042511,1.0
NEK7,0.6194531917572021,1.0
EPAS1,2.035663366317749,1.0
ZNF831,0.5795193910598755,1.0
