,log2fold,pval_adj
HCST,0.7539042830467224,1.0
DDX18,1.557053565979004,1.0
TRBV6-2,2.1782586574554443,1.0
SNHG8,1.0132709741592407,1.0
FBRS,2.436755657196045,1.0
TANC2,3.137324333190918,1.0
IL2RG,0.5149798393249512,1.0
DNAJC15,1.641078233718872,1.0
NKG7,0.47115644812583923,1.0
NCR3,0.7311862707138062,1.0
HLA-A,0.2844763994216919,1.0
EIF2AK2,1.9816670417785645,1.0
TRGV5,3.1738696098327637,1.0
TRAV8-2,2.686091423034668,1.0
GZMK,0.6137785911560059,1.0
SBNO1,1.3804434537887573,1.0
IL21R,1.6604499816894531,1.0
M6PR,0.9685378074645996,1.0
RPL36,0.28893694281578064,1.0
DPM2,1.7380752563476562,1.0
TEX30,1.8480249643325806,1.0
PSMD13,1.2683990001678467,1.0
OXNAD1,0.8622268438339233,1.0
TMEM14B,0.9373118281364441,1.0
WSB1,0.9550267457962036,1.0
MZT2B,1.1121083498001099,1.0
FBXO11,1.4820913076400757,1.0
PSMB1,0.8492506742477417,1.0
HLA-B,0.2064499408006668,1.0
PEPD,1.679908037185669,1.0
IFT27,1.8990635871887207,1.0
POLR2K,1.233129620552063,1.0
MAT2A,1.0931169986724854,1.0
RBL2,0.7391661405563354,1.0
TRGC1,1.8369545936584473,1.0
AQR,2.497023582458496,1.0
ATP5MD,0.873701274394989,1.0
PHACTR2,0.8634938597679138,1.0
PRKAG2,2.3385021686553955,1.0
TRIM14,1.259152889251709,1.0
HIST1H2AC,1.679908037185669,1.0
ADAM12,1.1787446737289429,1.0
RPS6KA1,1.431966781616211,1.0
TDG,1.2102631330490112,1.0
TRBV6-4,1.766262173652649,1.0
DNTTIP2,0.9343895316123962,1.0
EMP3,0.8216439485549927,1.0
COA4,0.9633899331092834,1.0
ARFGAP2,2.067185640335083,1.0
ENO1,0.6275737881660461,1.0
HOOK3,1.4387950897216797,1.0
RPS23,0.21544669568538666,1.0
CST7,0.45755624771118164,1.0
NOB1,1.164871096611023,1.0
SH2D1A,0.6422067880630493,1.0
TBC1D20,2.902677297592163,1.0
GLIPR1,0.7485458254814148,1.0
SRSF4,0.9755387902259827,1.0
RPL36A,0.2763950228691101,1.0
APOL3,0.9665164351463318,1.0
RPL27,0.21179480850696564,1.0
FASTKD2,1.9727977514266968,1.0
DUSP2,0.6832892298698425,1.0
ITGB2-AS1,1.2004973888397217,1.0
PDIA3,0.5507862567901611,1.0
FAF1,1.3681926727294922,1.0
