,log2fold,pval_adj
TRBV7-9,4.80515718460083,1.0
TRAV10,3.9145476818084717,1.0
BTF3,0.5556901693344116,1.0
ARPC2,0.731304407119751,1.0
AC243829.2,1.2190006971359253,1.0
TPI1,1.090133786201477,1.0
ZFP36L1,1.2094321250915527,1.0
TRBV13,3.2894365787506104,1.0
FTL,0.5026575922966003,1.0
EIF4A2,0.9133040308952332,1.0
TNFRSF14,1.774878978729248,1.0
CCL3L1,3.757237672805786,1.0
SAP18,1.0207124948501587,1.0
PTGES3,0.6883527636528015,1.0
CYTH1,2.1102538108825684,1.0
ATP5F1A,2.1480658054351807,1.0
LSP1,0.8805054426193237,1.0
TRAV26-1,2.748663902282715,1.0
COX6C,0.9811672568321228,1.0
FGFBP2,1.0238137245178223,1.0
RNF213,1.1781084537506104,1.0
ARRB2,1.3106303215026855,1.0
EFHD2,3.137674331665039,1.0
PPIB,0.6825302839279175,1.0
LDLR,2.5412707328796387,1.0
CYTIP,0.8490656018257141,1.0
CLEC2B,0.7136746644973755,1.0
CD247,0.7729129195213318,1.0
CDK2AP2,1.307032585144043,1.0
B4GALT1,3.0782697200775146,1.0
LITAF,0.6348811388015747,1.0
NDUFA4,0.9335995316505432,1.0
SNU13,1.1392430067062378,1.0
GNG2,0.4872494637966156,1.0
MRPL54,2.1905834674835205,1.0
NDUFB7,1.459666132926941,1.0
HSPA5,0.6338991522789001,1.0
UAP1,3.0456974506378174,1.0
RNF7,1.3882886171340942,1.0
STRAP,1.1787177324295044,1.0
CDC73,2.258652687072754,1.0
ADRB2,2.3056273460388184,1.0
PDCD10,27.69780158996582,1.0
RANBP2,1.5609997510910034,1.0
HERPUD1,0.9274973273277283,1.0
ITGB1,0.9005745053291321,1.0
RAB7A,1.294194221496582,1.0
SZRD1,2.8108394145965576,1.0
TRGV9,1.6413313150405884,1.0
ATP1B3,1.4869734048843384,1.0
ADGRG1,1.3007498979568481,1.0
ZNF644,1.4615674018859863,1.0
HSPA8,0.48282569646835327,1.0
GUK1,0.9671719670295715,1.0
GZMB,0.6254526972770691,1.0
USP16,1.4681023359298706,1.0
FNBP1,0.8056433200836182,1.0
TRAV12-2,27.511497497558594,1.0
CIR1,1.5191174745559692,1.0
LRBA,1.5817075967788696,1.0
NAA16,2.9277186393737793,1.0
NAMPT,1.2198032140731812,1.0
COX20,2.129018783569336,1.0
NDUFAB1,2.1399972438812256,1.0
CLEC2D,0.8444720506668091,1.0
ABHD14B,1.9742447137832642,1.0
VIM,0.7746173143386841,1.0
TECR,1.2006243467330933,1.0
GPHN,27.573566436767578,1.0
FGFR1OP2,1.2362319231033325,1.0
SMNDC1,1.6203343868255615,1.0
HIST1H1E,0.7884852290153503,1.0
ARPC3,0.468085914850235,1.0
KPNA2,1.4237887859344482,1.0
CRIP1,0.625632643699646,1.0
CIAO2B,0.8507593870162964,1.0
RASGEF1B,0.6348244547843933,1.0
SMC4,2.7658591270446777,1.0
MRPS6,0.7765660881996155,1.0
HSPA1A,0.7462696433067322,1.0
ANXA2,0.8682873845100403,1.0
CSMD1,0.7759698033332825,1.0
RALY,2.1004068851470947,1.0
SIRT2,1.4569664001464844,1.0
SLC7A5,27.36378288269043,1.0
RALGAPA1,1.1208913326263428,1.0
ELOVL5,1.0922623872756958,1.0
S100A11,0.684311032295227,1.0
KAT2B,1.9650987386703491,1.0
HMGN2,0.8518214821815491,1.0
POLR3GL,1.6209156513214111,1.0
TUBA1B,0.6650591492652893,1.0
PHF5A,2.7229647636413574,1.0
TOB1,0.986737072467804,1.0
CNOT8,2.7229647636413574,1.0
CALCOCO2,1.6074106693267822,1.0
UBXN1,0.7090603113174438,1.0
PPP2R2A,1.3825427293777466,1.0
SPPL2A,2.64504337310791,1.0
ZEB2,0.38561496138572693,1.0
MPHOSPH8,1.1044018268585205,1.0
TMEM219,27.31154441833496,1.0
CDC40,1.9272979497909546,1.0
RPS2,0.19019815325737,1.0
YARS,1.503511667251587,1.0
EIF3E,0.823025107383728,1.0
AC093010.2,2.302217960357666,1.0
CEP85L,1.5194703340530396,1.0
BUD31,0.7805910706520081,1.0
ZNF706,2.711505174636841,1.0
SMG1,1.2101140022277832,1.0
OSTF1,1.0342930555343628,1.0
MED29,27.21575164794922,1.0
DANCR,27.28021812438965,1.0
ATP6V1F,1.002202033996582,1.0
MRPL57,1.0769827365875244,1.0
SRSF7,0.5136399865150452,1.0
FDFT1,1.9337773323059082,1.0
SF3B6,0.9626345038414001,1.0
SCP2,1.0460515022277832,1.0
SERPINB9,0.7908154726028442,1.0
BNIP2,1.8657076358795166,1.0
SIVA1,1.8982274532318115,1.0
MOB4,1.3484255075454712,1.0
FGL2,1.1173789501190186,1.0
LINC-PINT,1.2949928045272827,1.0
SNRPN,1.3128069639205933,1.0
ZBTB1,1.887986421585083,1.0
SKAP2,2.7122883796691895,1.0
RHEB,1.660911202430725,1.0
UBC,0.3849870264530182,1.0
CSNK1A1,0.8770748376846313,1.0
STK10,1.047218680381775,1.0
CITED2,27.192270278930664,1.0
PSMA3,1.295540452003479,1.0
UBR4,27.099414825439453,1.0
WIPF1,0.5073028206825256,1.0
AIP,1.9650987386703491,1.0
COG3,1.8936877250671387,1.0
MYO6,1.8657076358795166,1.0
MMADHC,1.8657076358795166,1.0
KLF6,0.6128745675086975,1.0
ATP6V0C,0.5927228331565857,1.0
TBPL1,2.7658591270446777,1.0
HLA-C,0.31563541293144226,1.0
GSK3B,2.6789910793304443,1.0
KDM6A,2.6604089736938477,1.0
PHB2,0.8197059035301208,1.0
SNRPA,2.626091718673706,1.0
OSBPL3,1.581500768661499,1.0
SET,1.5152093172073364,1.0
GAPDH,0.2010813057422638,1.0
NXT1,1.4805753231048584,1.0
PHF11,1.9244234561920166,1.0
TOX,1.1229101419448853,1.0
RAB1A,1.0306519269943237,1.0
NAP1L1,0.7290710210800171,1.0
IKZF2,1.3798186779022217,1.0
SLC25A5,0.5898884534835815,1.0
PSMA2,0.8896542191505432,1.0
AKT3,1.2901015281677246,1.0
GPI,0.8273182511329651,1.0
DDIT3,1.334831953048706,1.0
RBX1,1.2844032049179077,1.0
PSMB8,0.658858060836792,1.0
MECP2,0.8024291396141052,1.0
FRG1,1.074568510055542,1.0
DNAJB6,0.5353089570999146,1.0
HNRNPK,0.5068589448928833,1.0
RPS20,0.45928317308425903,1.0
MKLN1,1.436521053314209,1.0
PTPRJ,1.5277752876281738,1.0
TAP1,1.2647403478622437,1.0
STX8,2.5234620571136475,1.0
C1orf52,1.4452775716781616,1.0
ATF6,27.01185417175293,1.0
SLC9A9,27.04861831665039,1.0
TRMT10C,27.01185417175293,1.0
DOCK8,0.8054861426353455,1.0
NDUFA12,0.763906717300415,1.0
GHITM,0.9778888821601868,1.0
CNOT4,1.4030994176864624,1.0
COX7A2,0.5520902276039124,1.0
MON2,1.8455036878585815,1.0
CAMLG,1.0054670572280884,1.0
APEX1,1.1537903547286987,1.0
C4orf3,0.8496571183204651,1.0
S100A6,0.5194606184959412,1.0
IFITM2,0.5094596743583679,1.0
YME1L1,0.7429277896881104,1.0
CTSS,1.4573497772216797,1.0
HP1BP3,0.675953209400177,1.0
CBX3,1.4425960779190063,1.0
CD58,1.4573497772216797,1.0
FCMR,1.735737681388855,1.0
PUF60,1.7179889678955078,1.0
GNG5,0.6762900352478027,1.0
SELPLG,1.078596591949463,1.0
TUBB,0.6656434535980225,1.0
TCEA1,0.8721238374710083,1.0
DNAJC7,1.666966438293457,1.0
GET3,2.4318416118621826,1.0
UTRN,0.6169667840003967,1.0
GSTP1,0.41099652647972107,1.0
TAP2,1.4489861726760864,1.0
HSP90AA1,0.2801821231842041,1.0
PCED1B,1.1249548196792603,1.0
WAS,0.9935122728347778,1.0
CAMK2D,26.94702911376953,1.0
RCHY1,26.985260009765625,1.0
UBA6,26.985260009765625,1.0
FAF1,27.154226303100586,1.0
INTS10,26.974246978759766,1.0
TSPYL1,27.059144973754883,1.0
UBE2G2,27.01185417175293,1.0
PYCARD,0.9755442142486572,1.0
ATF7IP,0.7203946709632874,1.0
RAB11A,0.4790744483470917,1.0
MAGOH,0.7256226539611816,1.0
HNRNPU,0.6486265659332275,1.0
MT-ND6,0.6304850578308105,1.0
HSPD1,0.42393428087234497,1.0
BPGM,0.7672095894813538,1.0
DCTN4,2.4702343940734863,1.0
SMAP1,2.4103565216064453,1.0
SEC31A,1.3634560108184814,1.0
MIR4435-2HG,1.378861665725708,1.0
FDPS,1.5953657627105713,1.0
EIF1B,1.054193139076233,1.0
COPE,0.677161455154419,1.0
TRAPPC3,2.4014804363250732,1.0
LSM1,2.348276138305664,1.0
ZFAND5,2.3705625534057617,1.0
HSPB11,2.3163537979125977,1.0
RAB8B,0.534157395362854,1.0
ZNHIT3,2.2838101387023926,1.0
ARID4A,0.8574756979942322,1.0
GATAD2A,26.919347763061523,1.0
CISD2,0.7155901193618774,1.0
SUPT6H,2.2506189346313477,1.0
JTB,0.8666144013404846,1.0
AKIRIN2,26.838680267333984,1.0
PKM,0.8247194290161133,1.0
SKAP1,0.5042967200279236,1.0
AC015849.1,1.754008173942566,1.0
IL32,0.25386396050453186,1.0
CCL4L2,0.6396260857582092,1.0
TUBA4A,0.5832170248031616,1.0
MAPRE2,0.43011581897735596,1.0
ITGB2,0.3691651523113251,1.0
TMA7,0.2298079878091812,1.0
CHCHD7,0.872636616230011,1.0
ERVK3-1,1.306280493736267,1.0
TRAF3IP3,0.8266201615333557,1.0
CTSW,0.4079945981502533,1.0
KLRC4,0.615909993648529,1.0
CLDND1,0.9722291231155396,1.0
FIP1L1,1.666966438293457,1.0
SYTL3,0.3900371193885803,1.0
DDT,0.6124370694160461,1.0
UCHL5,1.622137188911438,1.0
CNTRL,1.1236177682876587,1.0
CD99,0.3698826730251312,1.0
OPA1,1.622137188911438,1.0
NIN,1.622137188911438,1.0
HECTD1,1.4012267589569092,1.0
GBP4,2.3796024322509766,1.0
FAM49B,0.5608247518539429,1.0
TAF9,2.3796024322509766,1.0
TBK1,2.3256895542144775,1.0
PHIP,1.1692283153533936,1.0
HBS1L,1.5486149787902832,1.0
CUL1,2.2933292388916016,1.0
NUCB1,1.0802229642868042,1.0
MRPL52,0.8184787034988403,1.0
RAPGEF1,0.9323915243148804,1.0
ARNTL,26.850648880004883,1.0
LATS1,26.93073844909668,1.0
DHX15,1.7325228452682495,1.0
CENPX,26.89118766784668,1.0
HERC4,26.80906867980957,1.0
KRAS,1.7397639751434326,1.0
PNKP,26.850648880004883,1.0
MYSM1,26.80906867980957,1.0
RMC1,26.796785354614258,1.0
