,log2fold,pval_adj
TRAV38-1,4.07550573348999,1.0
DENND4A,1.8901208639144897,1.0
TPR,2.132852077484131,1.0
ZC3HAV1,1.3576860427856445,1.0
RAD23A,2.2435834407806396,1.0
ARF6,1.2520095109939575,1.0
PKM,1.3668429851531982,1.0
ZEB2,2.7683231830596924,1.0
SPCS2,1.4900988340377808,1.0
KLRB1,1.6691524982452393,1.0
LRP10,2.664217710494995,1.0
AC009313.1,2.058387279510498,1.0
FUS,1.1776633262634277,1.0
LINC02446,1.537285327911377,1.0
SIPA1L1,1.8618308305740356,1.0
TAGAP,1.8343908786773682,1.0
BRD2,1.460463047027588,1.0
RTRAF,1.5406147241592407,1.0
RHEB,1.7050909996032715,1.0
SERP1,0.9824762940406799,1.0
CAST,1.3026797771453857,1.0
RHOA,0.8863846063613892,1.0
MAP3K8,2.1100807189941406,1.0
DDIT3,2.860884428024292,1.0
EIF5,1.0637707710266113,1.0
PEBP1,1.087321162223816,1.0
ZFAND2A,1.583545446395874,1.0
RAP1B,1.085125207901001,1.0
TRIM22,1.8624838590621948,1.0
UBE2D3,1.056532859802246,1.0
MIS18BP1,1.8865129947662354,1.0
NCOR1,1.8865129947662354,1.0
MAP4K5,1.9384760856628418,1.0
CD2,1.2345174551010132,1.0
EIF2S3,2.41575026512146,1.0
RAB11B,2.41575026512146,1.0
MED13,2.41575026512146,1.0
RUNX2,1.2718288898468018,1.0
ATP2C1,2.5223512649536133,1.0
CCDC174,2.41575026512146,1.0
HSPA4,1.5425289869308472,1.0
PHIP,1.7446463108062744,1.0
U2AF2,3.928807497024536,1.0
WTAP,1.210873007774353,1.0
TBCA,1.0855402946472168,1.0
PHF11,1.7446463108062744,1.0
ABHD14B,2.255690813064575,1.0
SET,0.9188442230224609,1.0
CNPY2,2.255690813064575,1.0
ZPR1,2.2956433296203613,1.0
UPF3B,2.255690813064575,1.0
GABPB1,1.7720632553100586,1.0
C12orf57,1.09660005569458,1.0
PHYH,3.5741195678710938,1.0
SNRNP40,3.5741195678710938,1.0
EPC2,3.5741195678710938,1.0
HNRNPA2B1,0.7584802508354187,1.0
ZC3H15,1.388730764389038,1.0
SPRY1,1.6029704809188843,1.0
PPP1R16B,2.1468775272369385,1.0
DDX5,0.5240237712860107,1.0
SEC62,2.0869903564453125,1.0
ATP5PO,1.0571595430374146,1.0
ISG15,2.129155158996582,1.0
SKIL,3.2048051357269287,1.0
CCNI,0.6167733073234558,1.0
SERPINB9,1.5487746000289917,1.0
PDCD4,1.1588408946990967,1.0
EMC7,1.6029704809188843,1.0
UXT,0.9105945229530334,1.0
STARD7,1.5813782215118408,1.0
ATP2B4,1.5813782215118408,1.0
FSD1,2.0235061645507812,1.0
NR1D2,1.4495034217834473,1.0
MKNK1,1.9803893566131592,1.0
CCR6,2.1758196353912354,1.0
NFKBIZ,1.2463520765304565,1.0
RAP1A,0.9635516405105591,1.0
PRDX6,1.2951868772506714,1.0
DYNC1H1,1.4916106462478638,1.0
CRTAM,1.714908242225647,1.0
GNB1,1.2705174684524536,1.0
PRELID3B,2.739213705062866,1.0
