,log2fold,pval_adj
LINC02446,2.579833984375,1.201741247341597e-13
TRBV4-1,6.463275909423828,1.8410146498576913e-10
TRAV21,3.9702577590942383,1.8410146498576913e-10
KLRK1,2.012869358062744,4.787184107470414e-07
IKZF2,2.7493863105773926,0.00021426358129498133
KLRD1,1.4977134466171265,0.0008381865476715003
CD99,0.723301112651825,0.004412870350173093
CTSW,1.0535601377487183,0.005317398321627951
CD8B,1.4927598237991333,0.01673746118087169
NCR3,2.3260200023651123,0.024399838397814615
TLE1,1.1368684768676758,0.02850142445272977
CD8A,1.0664901733398438,0.04364725542399788
SAP30,0.9344208836555481,0.09174480799168483
CRTAM,1.9418529272079468,0.16629567164779258
TRG-AS1,1.1506060361862183,0.19769080182390297
TRGV5,2.398986577987671,0.2045114684656629
LINC01934,1.4290522336959839,0.38624200182052626
RGS18,2.843712329864502,0.42177889905133836
ANKRD44,0.6381897926330566,0.45576314517489175
HCST,0.5149398446083069,0.5593394950651549
TXNIP,0.45566272735595703,0.5719844506649
AC022075.1,2.1773979663848877,0.7207094834305257
GOLIM4,2.569490432739258,0.7207094834305257
PECAM1,2.7866029739379883,0.7207094834305257
PTPN22,0.5942183136940002,0.8395805629021545
VAV3,1.0480587482452393,0.8395805629021545
LAG3,1.3215001821517944,0.874370041237865
HDAC9,1.457392692565918,0.874370041237865
XCL2,1.6333951950073242,0.874370041237865
WASF2,1.0710207223892212,0.874370041237865
CCL5,0.6102619767189026,0.9734404471524685
ELF1,0.4697245955467224,1.0
RBM39,0.3446049988269806,1.0
LINC02195,1.684995412826538,1.0
SMARCA2,0.6137280464172363,1.0
SRGAP3,2.32155442237854,1.0
KLRC4,1.3411849737167358,1.0
RBPJ,0.8352735042572021,1.0
SOCS1,0.7168970108032227,1.0
STK4,0.533942699432373,1.0
HMGB2,0.5589853525161743,1.0
CLNK,6.326079368591309,1.0
TRAV38-1,3.4540183544158936,1.0
MT-CYB,0.31076106429100037,1.0
GLUL,0.6432432532310486,1.0
ANXA11,0.7711920142173767,1.0
PRDX6,0.6132988333702087,1.0
MYL12A,0.32562464475631714,1.0
ABCC1,0.732380747795105,1.0
IL6ST,0.6956683397293091,1.0
DECR1,1.0553616285324097,1.0
B2M,0.13290761411190033,1.0
IDI1,0.7181333303451538,1.0
SLAMF6,1.009344220161438,1.0
CELF2,0.39261677861213684,1.0
CD160,1.5799305438995361,1.0
MT-ND4,0.3578696846961975,1.0
TSPYL2,0.5900258421897888,1.0
PIK3AP1,2.203028917312622,1.0
CCNH,0.4366917908191681,1.0
ARHGDIB,0.2564120590686798,1.0
CD96,0.3741768002510071,1.0
MT-CO3,0.2555418014526367,1.0
S100A6,0.3565436601638794,1.0
VASP,0.6668221354484558,1.0
PIGT,1.229036569595337,1.0
TRGV4,2.204998016357422,1.0
DNAJB4,0.686785101890564,1.0
CCL4,0.6683568954467773,1.0
TRGC2,1.8479255437850952,1.0
TRBV12-4,3.3860278129577637,1.0
UPF2,1.1019095182418823,1.0
TRAPPC2,1.52969229221344,1.0
MALAT1,0.09856510162353516,1.0
TOMM5,0.5588664412498474,1.0
PRKACB,0.9667295217514038,1.0
PRKCH,0.45339643955230713,1.0
ALOX5AP,0.3996359705924988,1.0
PPP1R12A,0.5043062567710876,1.0
HLA-DPA1,1.7025682926177979,1.0
ODF2L,0.4878067970275879,1.0
HLA-E,0.29349285364151,1.0
ATRX,0.5783413052558899,1.0
TNFAIP8,0.4650861322879791,1.0
RAB11FIP1,0.8895200490951538,1.0
TRBV21-1,3.7539498805999756,1.0
DHRS7,0.5595728158950806,1.0
NUDC,0.5118284225463867,1.0
PTPRC,0.2384582906961441,1.0
TMIGD2,0.5461979508399963,1.0
ZFP36L1,0.3194960355758667,1.0
MT-CO2,0.21415604650974274,1.0
ZBTB16,0.535134494304657,1.0
DUSP1,0.4139934778213501,1.0
RAB9A,0.7447279095649719,1.0
TBX21,0.8349553346633911,1.0
FLI1,0.7379633784294128,1.0
VPS13C,0.46177536249160767,1.0
ARHGAP18,0.794069766998291,1.0
TNFSF8,0.6625736951828003,1.0
SSH2,0.5583330988883972,1.0
VPS26A,0.8042359352111816,1.0
SPATA13,0.9605021476745605,1.0
GYG1,0.6310978531837463,1.0
GNPTAB,1.2530932426452637,1.0
IL12RB2,0.6608845591545105,1.0
WAPL,0.9269292950630188,1.0
MT-CO1,0.16617637872695923,1.0
TRAV12-2,2.1611976623535156,1.0
FBXW5,0.847273588180542,1.0
SRI,0.6680936813354492,1.0
RBMS1,0.3446410298347473,1.0
AREG,0.5831641554832458,1.0
JAK1,0.3455239236354828,1.0
MYBL1,0.4826987385749817,1.0
CAMK4,0.38682690262794495,1.0
KATNBL1,1.1121495962142944,1.0
PAIP2,0.47247615456581116,1.0
AC002331.1,2.236467123031616,1.0
KAT6B,0.6549463868141174,1.0
F2R,1.3035252094268799,1.0
KIF3A,1.8072682619094849,1.0
CCND3,0.39197930693626404,1.0
TMEM59,0.39828091859817505,1.0
GTDC1,0.6004217267036438,1.0
MT-ND2,0.2779742181301117,1.0
ZEB2,0.8181036710739136,1.0
GSTP1,0.4123325049877167,1.0
PAXX,0.43290016055107117,1.0
PEBP1,0.5227649807929993,1.0
KLRC2,2.062612295150757,1.0
TRERF1,0.8177751302719116,1.0
ARPC5L,0.6575148701667786,1.0
TSNAX,1.5600262880325317,1.0
KXD1,1.0485222339630127,1.0
AC022706.1,1.5430840253829956,1.0
KRTCAP2,0.3545337915420532,1.0
AL392086.3,2.7195053100585938,1.0
ID2,0.31538689136505127,1.0
AL096794.1,2.0445709228515625,1.0
SAFB,0.7124063968658447,1.0
HLA-C,0.1608176976442337,1.0
FMC1,1.1381222009658813,1.0
AOAH,0.7955904603004456,1.0
SFMBT2,0.6238306164741516,1.0
DISC1,0.9909678101539612,1.0
AC009522.1,1.93770170211792,1.0
TAP1,0.5720643401145935,1.0
SEL1L3,1.2005506753921509,1.0
PHF14,1.006591558456421,1.0
STK10,0.6837949752807617,1.0
EIF4E,0.7253852486610413,1.0
DMTF1,1.2080705165863037,1.0
CASS4,0.9186589121818542,1.0
NUP54,1.040330171585083,1.0
SYNRG,0.5555799007415771,1.0
GGA1,1.2555713653564453,1.0
SH3GLB1,0.6536957025527954,1.0
TSTD1,0.49322509765625,1.0
EFCAB2,1.3424535989761353,1.0
HSPA1B,0.3027857840061188,1.0
CHPT1,1.6819769144058228,1.0
FTL,0.26525819301605225,1.0
MT-ND1,0.21699823439121246,1.0
MAP4K5,0.6503728628158569,1.0
ITPK1,1.565145492553711,1.0
DGKD,0.986796498298645,1.0
SCAF11,0.4712749719619751,1.0
AF111167.1,1.1472138166427612,1.0
C12orf75,0.9397181272506714,1.0
FCRL6,4.30894136428833,1.0
CYTIP,0.15876968204975128,1.0
AUP1,0.4474208652973175,1.0
RAB5IF,0.4689485430717468,1.0
PPP2R5C,0.3257332444190979,1.0
USP11,0.8953144550323486,1.0
FAM168B,1.3001034259796143,1.0
RIOK1,1.0438507795333862,1.0
EPS15,0.41445812582969666,1.0
TBXAS1,0.9703349471092224,1.0
AAK1,0.4409785866737366,1.0
WBP2,0.7635899186134338,1.0
AC245297.3,0.547299325466156,1.0
APTX,0.841693639755249,1.0
TPP2,0.6428552269935608,1.0
CTSH,0.6729356050491333,1.0
TPM3,0.25792887806892395,1.0
CEACAM21,0.9507723450660706,1.0
RIN3,0.9963276386260986,1.0
GGNBP2,0.4584379196166992,1.0
CUL3,0.4481382668018341,1.0
TCF25,0.4300234317779541,1.0
IFNG,0.48333510756492615,1.0
MFNG,1.061694860458374,1.0
MAGED1,1.4507571458816528,1.0
INTS6L,0.8115503191947937,1.0
N4BP2L2,0.37572038173675537,1.0
RBIS,0.5618861317634583,1.0
STX8,0.6378995776176453,1.0
ARNTL,0.605477511882782,1.0
MAEA,0.9978496432304382,1.0
DDX5,0.11981676518917084,1.0
CXXC5,2.107675790786743,1.0
SLC10A3,1.2933392524719238,1.0
PARP8,0.24051328003406525,1.0
OFD1,0.42904433608055115,1.0
ELOC,0.48308852314949036,1.0
MAPK13,1.236584186553955,1.0
CAPN7,0.5277548432350159,1.0
HERC3,1.0192605257034302,1.0
CORO7,0.3923412263393402,1.0
MT-ND6,0.41803115606307983,1.0
FAM3C,0.9984551668167114,1.0
DBN1,3.048711061477661,1.0
DSTN,0.5487267374992371,1.0
SECISBP2,0.5831925868988037,1.0
IFI16,0.5060994029045105,1.0
IKZF3,0.38421982526779175,1.0
PEX19,1.6057161092758179,1.0
MT-ND3,0.16982564330101013,1.0
UBXN4,0.35511690378189087,1.0
HSPA2,1.0890339612960815,1.0
PPP3CC,0.38814616203308105,1.0
SEMA4D,0.6595627069473267,1.0
ERGIC1,1.0578252077102661,1.0
LCP2,0.28238433599472046,1.0
ITCH,0.7767069339752197,1.0
CYBC1,0.7810207605361938,1.0
PYURF,0.5681412220001221,1.0
PRPF38B,0.4347740709781647,1.0
LSM14A,0.45103371143341064,1.0
PTK2B,0.6817755699157715,1.0
CASP4,0.6225135326385498,1.0
TGIF1,0.6711732745170593,1.0
CTSA,0.765306293964386,1.0
STK17A,0.2809671461582184,1.0
DEK,0.33971166610717773,1.0
AFF1,0.5825167298316956,1.0
GBP5,0.5217065215110779,1.0
NCAM1,1.175384759902954,1.0
NDUFA3,0.3422328233718872,1.0
ULK4,1.02070951461792,1.0
ATP1A1,0.36842551827430725,1.0
FBXW2,1.5201584100723267,1.0
FUZ,1.4789355993270874,1.0
RECQL,1.016222357749939,1.0
PSMA2,0.44129225611686707,1.0
FOPNL,1.007919430732727,1.0
NCALD,0.6633594036102295,1.0
MFSD14A,0.5372861623764038,1.0
RAB6B,1.137774109840393,1.0
DARS,0.4256061315536499,1.0
ATAD2,1.2818620204925537,1.0
ARL6IP6,0.7780141234397888,1.0
ARPC2,0.24227261543273926,1.0
UGP2,0.4202275574207306,1.0
DENND10,1.3704829216003418,1.0
CBFB,0.6118028163909912,1.0
PSMA5,0.5119127035140991,1.0
ACAA2,0.6225016117095947,1.0
SFXN5,2.5604214668273926,1.0
DDX46,0.5301209688186646,1.0
DPY19L1,1.368786334991455,1.0
CMTM3,0.5748556852340698,1.0
PDIA6,0.4937104284763336,1.0
EIF3J,0.6312227249145508,1.0
CLK1,0.3722343146800995,1.0
XPC,0.6534348726272583,1.0
UTRN,0.3558526337146759,1.0
C12orf65,1.0819560289382935,1.0
RNF2,1.2729341983795166,1.0
PRXL2C,0.8220545053482056,1.0
USP33,0.7840096950531006,1.0
ROCK1,0.4177677631378174,1.0
USP39,0.9993073344230652,1.0
POLR2A,0.47992199659347534,1.0
MRPS6,0.5632317662239075,1.0
MGAT1,0.5905101299285889,1.0
GMDS,0.6246051788330078,1.0
HOPX,0.32536250352859497,1.0
HERPUD1,0.26613548398017883,1.0
COPE,0.36022502183914185,1.0
SMAD5,1.3237855434417725,1.0
UTY,0.49506676197052,1.0
SLC5A3,0.9492054581642151,1.0
ARID1B,0.3448956310749054,1.0
