,log2fold,pval_adj
TRBV7-2,5.987684726715088,1.0
TRAV8-1,5.288895130157471,1.0
TRBV29-1,5.073379993438721,1.0
NKG7,1.2072991132736206,1.0
HLA-B,0.3500383198261261,1.0
IFI27L2,2.0160703659057617,1.0
CD8A,1.3920924663543701,1.0
RPL7A,0.277310311794281,1.0
APMAP,3.36236572265625,1.0
AKT3,2.6006226539611816,1.0
S100A6,0.6633802652359009,1.0
RPL41,0.16333727538585663,1.0
HMGN1,1.4814034700393677,1.0
SYNE1,1.6540688276290894,1.0
SLC9A3R1,4.375243186950684,1.0
PSME1,0.6096169948577881,1.0
CTSW,1.0320777893066406,1.0
MT-CO1,0.3453351557254791,1.0
HNRNPC,1.1446030139923096,1.0
PEBP1,1.064493179321289,1.0
B2M,0.1945028007030487,1.0
SND1,1.932768702507019,1.0
MAP3K8,1.4708168506622314,1.0
CD8B,1.0561144351959229,1.0
MT-CYB,0.4019694924354553,1.0
PSAP,1.3446561098098755,1.0
SEC61G,1.1568819284439087,1.0
MT-CO2,0.28709346055984497,1.0
RAPGEF1,1.7519609928131104,1.0
PIK3R1,0.8960222005844116,1.0
DYNLT1,0.8820080161094666,1.0
LIME1,0.8285729885101318,1.0
UXT,0.9200084209442139,1.0
HLA-DRB1,1.6725430488586426,1.0
PHYKPL,2.580528974533081,1.0
TSN,2.580528974533081,1.0
SYTL3,1.237687587738037,1.0
MYH9,1.282945990562439,1.0
EIF5B,1.688080072402954,1.0
LSP1,0.8058028221130371,1.0
GABPB1-AS1,1.8960909843444824,1.0
VPS51,1.9210721254348755,1.0
GZMH,1.319549798965454,1.0
IL2RG,0.8904908895492554,1.0
RPL39,0.18287821114063263,1.0
BIN1,1.3191956281661987,1.0
TUFM,1.274751901626587,1.0
GSTP1,1.0150094032287598,1.0
CCDC107,1.6830053329467773,1.0
NKTR,1.251916766166687,1.0
CYB5R4,2.8445968627929688,1.0
GNPTAB,1.4200494289398193,1.0
TMSB4X,0.23151294887065887,1.0
GNAI2,2.0361640453338623,1.0
BNIP3L,2.0361640453338623,1.0
DDX18,1.0975805521011353,1.0
RAB5C,2.0361640453338623,1.0
HNRNPD,1.1529507637023926,1.0
RORA,1.1951353549957275,1.0
SMARCA2,1.3431074619293213,1.0
SOS1,1.831659197807312,1.0
EIF3D,1.2295931577682495,1.0
ATP6V0E1,1.1065419912338257,1.0
OXNAD1,1.2403126955032349,1.0
BIRC6,1.1968430280685425,1.0
C5orf56,2.001577377319336,1.0
ARL4C,0.9095098972320557,1.0
DDX39A,1.478175163269043,1.0
MT-ND5,0.3683590292930603,1.0
PGM1,3.9877474308013916,1.0
FUS,0.8398470878601074,1.0
PTPRE,3.7590439319610596,1.0
TMEM50B,3.610421657562256,1.0
PTPN2,1.0742502212524414,1.0
ACTR3,1.8960909843444824,1.0
CLDND1,0.7328745722770691,1.0
RPL36A,0.2500733435153961,1.0
GZMA,0.7863031625747681,1.0
ERP29,0.7999236583709717,1.0
AHNAK,0.8004274964332581,1.0
NCOR1,1.2185267210006714,1.0
NDUFA4,0.7689433097839355,1.0
EIF5A,0.8304917216300964,1.0
SDAD1,1.9821507930755615,1.0
ANXA6,1.003550410270691,1.0
CMC1,0.8068856000900269,1.0
SLC38A1,1.062097191810608,1.0
ZCCHC7,1.3844510316848755,1.0
ZEB2,0.9447184801101685,1.0
BTN3A2,1.6132746934890747,1.0
NTMT1,27.418882369995117,1.0
FAM117B,27.418882369995117,1.0
MT-ATP6,0.23485466837882996,1.0
RASGEF1B,0.5870397686958313,1.0
XAB2,27.59283447265625,1.0
PLEK,2.746166467666626,1.0
CORO1A,0.6422743201255798,1.0
NEAT1,0.6856745481491089,1.0
SKAP1,0.6899697184562683,1.0
RHBDD1,2.5975441932678223,1.0
TBC1D23,2.5975441932678223,1.0
CALR,0.7270321846008301,1.0
LENG8,2.5975441932678223,1.0
EIF4A2,0.802042543888092,1.0
MRPS24,1.3818089962005615,1.0
PLEKHJ1,1.8662075996398926,1.0
SRP14,0.5650320053100586,1.0
RPL21,0.18955464661121368,1.0
NSMAF,1.8187280893325806,1.0
SACM1L,2.2855255603790283,1.0
RBM38,2.3684725761413574,1.0
VPS13C,1.1770374774932861,1.0
MT-ND4L,0.40432849526405334,1.0
PLAAT4,0.7087212204933167,1.0
TBRG1,1.1481980085372925,1.0
TRADD,1.4251807928085327,1.0
PUM1,0.8938966989517212,1.0
UBR1,1.4251807928085327,1.0
MT-ND2,0.43295466899871826,1.0
MRPS5,1.9996663331985474,1.0
MVB12B,1.614081621170044,1.0
PPIB,0.5614380836486816,1.0
ATR,1.478175163269043,1.0
BNIP2,1.2161005735397339,1.0
ACTB,0.4034312963485718,1.0
AURKAIP1,1.850134015083313,1.0
ITK,0.954160749912262,1.0
HSPA5,0.7306753993034363,1.0
PAFAH1B1,1.0195826292037964,1.0
MT-ND1,0.3250691890716553,1.0
UCP2,1.2071424722671509,1.0
PLCB1,1.4468450546264648,1.0
PIK3C2A,1.8176186084747314,1.0
PIK3R5,0.8711279630661011,1.0
C16orf87,1.7357929944992065,1.0
FIP1L1,1.7357929944992065,1.0
FBXO33,1.4468450546264648,1.0
SRPK2,1.1967132091522217,1.0
NCALD,1.4468450546264648,1.0
SH2D1A,1.2833287715911865,1.0
FAM76B,0.9665269255638123,1.0
EIF3G,0.6161418557167053,1.0
PTP4A2,0.8577117919921875,1.0
ZNF266,3.4968101978302,1.0
AC245014.3,0.7025507092475891,1.0
RFX3,3.4968101978302,1.0
RPL37A,0.2533852458000183,1.0
ATXN1,0.8284971714019775,1.0
NBN,3.4968101978302,1.0
PFN1,0.2586059868335724,1.0
PATL1,3.610421657562256,1.0
ANKRD44,0.7063004970550537,1.0
CBX5,3.3228578567504883,1.0
SCAMP1,3.3228578567504883,1.0
NOP2,2.2467191219329834,1.0
JPX,2.2467191219329834,1.0
FAM204A,2.1482884883880615,1.0
DNAJC4,2.1482884883880615,1.0
NR3C1,1.614081621170044,1.0
SLTM,0.8701530694961548,1.0
PHPT1,1.614081621170044,1.0
SDHAF2,1.614081621170044,1.0
ITFG1,1.6503820419311523,1.0
ACADVL,1.3060951232910156,1.0
NDUFS6,1.3845674991607666,1.0
ETFA,1.3060951232910156,1.0
IDH2,1.6503820419311523,1.0
MYO1G,1.3060951232910156,1.0
ZFP90,1.9996663331985474,1.0
ARRB2,0.9797990322113037,1.0
PHF1,1.9996663331985474,1.0
TRAPPC6A,1.2923516035079956,1.0
KIFAP3,1.9996663331985474,1.0
PDCD10,1.9996663331985474,1.0
ATG3,1.9996663331985474,1.0
PITPNC1,0.9402294754981995,1.0
SNX14,2.824833393096924,1.0
KLHL20,1.5415549278259277,1.0
RPL17,0.2109602987766266,1.0
XPNPEP1,2.650880813598633,1.0
ZNRF2,1.7416813373565674,1.0
ZNF106,1.4597291946411133,1.0
XRCC6,0.8506848216056824,1.0
RPL27A,0.3458315134048462,1.0
AC092821.3,0.8711279630661011,1.0
RPS7,0.17010770738124847,1.0
NDUFB3,1.4838086366653442,1.0
WAS,0.770270049571991,1.0
ZBTB20,0.7157464623451233,1.0
DHX9,0.8307639360427856,1.0
MYBL1,0.9203440546989441,1.0
SYNGR2,1.1897211074829102,1.0
ITGB2,0.7182843685150146,1.0
EIF3E,0.6009491086006165,1.0
PRNP,1.571675419807434,1.0
UBE2N,1.182646632194519,1.0
MRPL11,1.182646632194519,1.0
SLC25A6,0.2769451141357422,1.0
CAP1,1.0536890029907227,1.0
SERF2,0.2770921587944031,1.0
RPS19,0.15434041619300842,1.0
VAMP5,1.0026816129684448,1.0
RPL35,0.13950183987617493,1.0
ABHD17A,0.7210294604301453,1.0
NSD1,0.9305455088615417,1.0
HSPD1,1.3165720701217651,1.0
ZBTB44,1.9805487394332886,1.0
H2AFJ,1.2749555110931396,1.0
MRPL54,1.3165720701217651,1.0
ACAP2,0.9966711401939392,1.0
RASGRP2,0.9464544057846069,1.0
C19orf53,0.7438926696777344,1.0
CNN2,0.8561723828315735,1.0
MRPS34,1.5415549278259277,1.0
CYBA,0.5076013207435608,1.0
ANKRD36,1.066272497177124,1.0
ME2,2.6420159339904785,1.0
LY6E,0.57798171043396,1.0
RASA2,0.6995923519134521,1.0
CYFIP2,0.7680751085281372,1.0
IGF2R,2.746166467666626,1.0
ADAM8,27.072555541992188,1.0
SNX13,27.072555541992188,1.0
ABCF3,27.072555541992188,1.0
SAMM50,27.072555541992188,1.0
CREB3,27.283721923828125,1.0
AC005037.1,27.072555541992188,1.0
GMDS,27.072555541992188,1.0
PCCA,2.4839329719543457,1.0
SEPTIN7,0.5288363099098206,1.0
RAB5B,2.4839329719543457,1.0
VKORC1,2.4839329719543457,1.0
SF3B2,0.7817069292068481,1.0
CCT3,2.4839329719543457,1.0
CSMD1,0.5594832897186279,1.0
MKLN1,1.1721607446670532,1.0
MAP2K1,1.7202975749969482,1.0
SSR3,1.7202975749969482,1.0
MMD,2.3099803924560547,1.0
ZNF107,2.3099803924560547,1.0
CD7,0.56211256980896,1.0
