,log2fold,pval_adj
TRGV9,3.417491912841797,0.0033245225150251843
GZMB,1.249131441116333,0.0033245225150251843
CD8B,0.9133175611495972,0.004182292195192698
FTL,0.43891093134880066,0.011870429186897189
AC243829.2,1.448058009147644,0.024594925287709377
KLRD1,1.1231287717819214,0.0741457647825329
HLA-A,0.2726185619831085,0.3775189343056199
GNLY,1.2220665216445923,0.4180739148048996
RPL23,0.6118272542953491,0.7815330008436415
SPON2,1.5810836553573608,0.7815330008436415
TRBV13,3.777353048324585,0.839536834671994
NKG7,0.3029644191265106,0.93457581760731
B2M,0.1431165486574173,1.0
TRGC2,1.5978153944015503,1.0
CST7,0.31618252396583557,1.0
ZEB2,0.6806029081344604,1.0
CYBA,0.43627357482910156,1.0
HLA-B,0.1900562196969986,1.0
HLA-DPA1,0.6779922246932983,1.0
TRAV26-1,2.774667263031006,1.0
FGFBP2,0.8549613952636719,1.0
HLA-DPB1,0.7217029929161072,1.0
FCGR3A,1.6591495275497437,1.0
PLEK,1.3764300346374512,1.0
GZMH,0.5464289784431458,1.0
UBE2B,0.8945675492286682,1.0
PPP1R16B,0.9263741970062256,1.0
HLA-C,0.1926335096359253,1.0
HLA-E,0.21286801993846893,1.0
SYNGR1,27.043760299682617,1.0
CD63,0.6495108008384705,1.0
SSH2,0.7680832147598267,1.0
CD99,0.22419209778308868,1.0
KLRG1,0.7308917045593262,1.0
AHNAK,0.5766533017158508,1.0
S100A6,0.3545306622982025,1.0
KLRF1,2.0828442573547363,1.0
CD8A,0.4597332179546356,1.0
HSP90B1,0.44520607590675354,1.0
CTSW,0.3551202416419983,1.0
TRBV7-3,3.6022140979766846,1.0
CALM1,0.14211823046207428,1.0
ARPC3,0.312887042760849,1.0
ITGB2,0.40041619539260864,1.0
TRBV7-9,2.5286788940429688,1.0
SRSF11,0.5118162631988525,1.0
TRAV26-2,3.218775987625122,1.0
HLA-F,0.4847422242164612,1.0
C5orf56,0.756127119064331,1.0
SRGN,0.22335511445999146,1.0
LDHA,0.5319640040397644,1.0
TRG-AS1,0.7579095959663391,1.0
LITAF,0.3986421227455139,1.0
KLRC2,2.140036106109619,1.0
GZMA,0.3937647342681885,1.0
CYTIP,0.5574584603309631,1.0
TGFB1,0.505801796913147,1.0
SPCS2,0.7087984085083008,1.0
ISCU,0.5524068474769592,1.0
RPL38,0.18735693395137787,1.0
KLRC4,0.601087212562561,1.0
ADGRG1,0.7769904136657715,1.0
TRBV28,1.6421715021133423,1.0
PTPRCAP,0.3711077570915222,1.0
AOAH,0.4607349932193756,1.0
LINC02384,0.9017375111579895,1.0
NDUFB7,0.45020565390586853,1.0
ITGB1,0.4649447500705719,1.0
FNBP4,0.6258298754692078,1.0
TMCO1,1.0738486051559448,1.0
CLEC2D,0.55693519115448,1.0
LSP1,0.31477466225624084,1.0
RPL35,0.08391111344099045,1.0
RAP1GAP2,0.7095668911933899,1.0
SDF2L1,0.8595174551010132,1.0
CD3G,0.2937098443508148,1.0
SYTL3,0.3859507441520691,1.0
DNAJB14,0.5891484618186951,1.0
CD3D,0.1795443594455719,1.0
VTI1B,1.0056912899017334,1.0
CANX,0.48676103353500366,1.0
HPS3,1.7836763858795166,1.0
TNRC6A,1.2534151077270508,1.0
MT-ND2,0.14084386825561523,1.0
GLS,0.7816287279129028,1.0
PIP4K2A,0.5564943552017212,1.0
TMSB4X,0.12718915939331055,1.0
UTP23,0.9528206586837769,1.0
MALAT1,0.12388818711042404,1.0
HOPX,0.3629711866378784,1.0
ROCK1,0.5515662431716919,1.0
LGALS1,0.3698291778564453,1.0
PRF1,0.374627947807312,1.0
HLA-DRB1,0.33097997307777405,1.0
CEBPZOS,1.0507352352142334,1.0
AIP,0.6013345122337341,1.0
OGA,0.5913544297218323,1.0
IKZF2,1.2779998779296875,1.0
DIP2A,0.7078664302825928,1.0
EEF1B2,0.14250919222831726,1.0
ITGAL,0.5744795799255371,1.0
RPL24,0.12642736732959747,1.0
TBRG1,0.5889037847518921,1.0
VAMP2,0.33286356925964355,1.0
ATP5F1E,0.20747414231300354,1.0
TRAV14DV4,1.3162027597427368,1.0
FCRL6,1.0215208530426025,1.0
RAP1B,0.3026013672351837,1.0
TRABD,1.358156681060791,1.0
SH3BGRL3,0.12337176501750946,1.0
MRPS6,0.9131442904472351,1.0
ARID4A,0.9513610005378723,1.0
PSMD6,0.7537333965301514,1.0
JAZF1,0.7795647978782654,1.0
BRK1,0.3838278651237488,1.0
KPNB1,0.609143078327179,1.0
NHP2,0.4628823399543762,1.0
ALOX5AP,0.5479477643966675,1.0
LILRB1,0.9816721081733704,1.0
CEP78,0.5395398736000061,1.0
UBE2J1,0.6140038967132568,1.0
TRAV10,2.8287060260772705,1.0
SLAMF7,1.4176290035247803,1.0
ZC3H15,0.38006144762039185,1.0
TNRC6B,0.31226667761802673,1.0
VPS41,1.3393950462341309,1.0
TMED5,0.7366781234741211,1.0
HIKESHI,1.264441967010498,1.0
PRSS23,0.858909010887146,1.0
TMA7,0.13166289031505585,1.0
CD247,0.3357517421245575,1.0
TRAPPC5,0.49418342113494873,1.0
RAMAC,0.8467356562614441,1.0
ZFP91,0.9955379366874695,1.0
RABGAP1L,0.28714075684547424,1.0
ASH1L,0.6535776257514954,1.0
RAB4A,1.0405480861663818,1.0
UBE2H,1.9936413764953613,1.0
AC093865.1,2.7120981216430664,1.0
MYO1F,0.4674253463745117,1.0
PAXX,0.28580442070961,1.0
BNIP3L,1.1041648387908936,1.0
KLRK1,0.3034828007221222,1.0
PTPRC,0.10218455642461777,1.0
RTN3,0.9014929533004761,1.0
RC3H1,0.5513604283332825,1.0
UBE2V1,0.40798649191856384,1.0
TNFRSF14,0.45806244015693665,1.0
DR1,0.6211280226707458,1.0
MAPK8,1.08209228515625,1.0
VTI1A,0.518800675868988,1.0
RPF1,0.677783727645874,1.0
DHX29,0.8888437151908875,1.0
PTDSS1,0.7729750871658325,1.0
LENG1,1.4157878160476685,1.0
RBIS,0.45449939370155334,1.0
IFITM2,0.24484233558177948,1.0
NUCKS1,0.2218523621559143,1.0
VASP,0.7713015079498291,1.0
TTC14,0.5247149467468262,1.0
RPS29,0.08486147969961166,1.0
KLF12,0.2979607880115509,1.0
GYG1,0.8196653723716736,1.0
GMDS,0.9564691185951233,1.0
DUT,0.6241984367370605,1.0
GSAP,1.7193576097488403,1.0
FBXL17,0.6937696933746338,1.0
PLAAT3,0.7196041345596313,1.0
RPL9,0.1035962700843811,1.0
PTPRA,0.6920222640037537,1.0
MBNL2,0.6924546360969543,1.0
CELF2,0.2025332748889923,1.0
MYO1G,0.33242547512054443,1.0
ZNF480,1.4215354919433594,1.0
NDUFA6,0.40911227464675903,1.0
MIF,0.19344143569469452,1.0
RNASEK,0.2061593234539032,1.0
CLEC2B,0.2471875250339508,1.0
DENND4A,0.7099541425704956,1.0
GPR141,1.7783218622207642,1.0
ITM2B,0.17104488611221313,1.0
PDGFD,1.3894823789596558,1.0
USP33,0.6508135795593262,1.0
PFN1,0.10061044991016388,1.0
SMNDC1,0.7584328651428223,1.0
SPN,0.6445551514625549,1.0
G3BP1,0.6511246562004089,1.0
MCOLN2,0.349539577960968,1.0
KPNA5,0.8588933944702148,1.0
WNK1,0.44391733407974243,1.0
AP5M1,1.6027387380599976,1.0
CENPX,0.5918774604797363,1.0
HSPA5,0.26868736743927,1.0
CD48,0.17588049173355103,1.0
PRKCQ,0.31527408957481384,1.0
NOD1,2.708860397338867,1.0
AKR1B1,0.5647698640823364,1.0
PLAAT4,0.1376495659351349,1.0
OSBPL5,1.253171443939209,1.0
MRPL22,0.7235230207443237,1.0
AC092821.3,0.6174249053001404,1.0
PRPF40A,0.41139456629753113,1.0
RBM3,0.19991180300712585,1.0
RPL31,0.05203131213784218,1.0
F2R,0.359353631734848,1.0
SNHG12,0.879578173160553,1.0
RPS6KB2,0.7289888858795166,1.0
CARD11,0.5492326021194458,1.0
SSBP3,0.9792038798332214,1.0
RIOK3,0.38935625553131104,1.0
TRIR,0.2081773430109024,1.0
ZFAND3,0.6508619785308838,1.0
ADRB2,0.7553679347038269,1.0
LAPTM5,0.14527906477451324,1.0
NOL10,1.053998589515686,1.0
INPP4B,0.8218297362327576,1.0
CAST,0.2658567428588867,1.0
TRIP11,0.9587275981903076,1.0
TEX264,0.6684892773628235,1.0
PPP3CA,0.787983775138855,1.0
IFITM1,0.11494312435388565,1.0
ZNF862,1.962086796760559,1.0
TM9SF4,1.962086796760559,1.0
ATAD2,1.2359529733657837,1.0
TANGO2,1.9116811752319336,1.0
TBX21,1.4090172052383423,1.0
CARD16,0.2726658582687378,1.0
BIN2,0.2703019082546234,1.0
MTSS1,0.780188262462616,1.0
DNASE2,0.8673490881919861,1.0
GALNT3,1.125059723854065,1.0
HENMT1,0.7623005509376526,1.0
CDC73,0.47561201453208923,1.0
VPS26A,0.4562183618545532,1.0
PRPF38B,0.37049710750579834,1.0
TNFRSF1B,0.4835531413555145,1.0
MIER1,0.3033902645111084,1.0
FKBP11,0.4519675672054291,1.0
EIF2AK2,0.5798303484916687,1.0
IDH2,0.3447457253932953,1.0
TAX1BP1,0.25768914818763733,1.0
TRIM26,0.8796008825302124,1.0
MCM9,0.8796008825302124,1.0
SS18,0.8796008825302124,1.0
SH3BP5,0.5656903982162476,1.0
ZNF224,2.4263319969177246,1.0
MOB1A,0.3336816132068634,1.0
SEC16A,2.314788579940796,1.0
MEA1,0.5679070353507996,1.0
SUPV3L1,0.6802698969841003,1.0
CTSD,0.3048721253871918,1.0
SMARCC1,0.5760678648948669,1.0
INTS6,1.5776573419570923,1.0
BNIP1,1.5776573419570923,1.0
LENG8,0.9453029036521912,1.0
TMEM243,0.5691062808036804,1.0
RNPEPL1,1.256160020828247,1.0
PRR13,0.18384520709514618,1.0
PDIA3,0.20224791765213013,1.0
CNN2,0.26128751039505005,1.0
PDLIM1,1.2149207592010498,1.0
ADGRG5,1.2149207592010498,1.0
LY6E,0.14076630771160126,1.0
SKAP2,1.053998589515686,1.0
STK38,0.38558080792427063,1.0
FOXN2,0.981559157371521,1.0
CAPN7,0.2762868404388428,1.0
CCDC130,0.9947206377983093,1.0
COMMD6,0.10629794746637344,1.0
STK10,0.4069422483444214,1.0
SRP72,0.3542572855949402,1.0
RHOC,0.35210564732551575,1.0
RAD51B,0.797492504119873,1.0
CMIP,0.7662005424499512,1.0
CEBPZ,0.34079933166503906,1.0
ATF6B,0.5173978805541992,1.0
RPN1,0.2891906797885895,1.0
CYB561D2,0.6439299583435059,1.0
MAPK14,1.8214877843856812,1.0
GSE1,1.4216879606246948,1.0
BCAS3,0.4337005615234375,1.0
DHX36,0.21770186722278595,1.0
ZNF24,0.6464795470237732,1.0
SORL1,0.5018859505653381,1.0
RRBP1,0.9825667142868042,1.0
PUM1,0.4338817298412323,1.0
KDM2A,0.2990182042121887,1.0
YWHAZ,0.07307527959346771,1.0
GALNT10,1.1361451148986816,1.0
ZHX2,0.8418765068054199,1.0
PCMTD1,0.5877927541732788,1.0
ALG11,1.3322809934616089,1.0
NCKAP1L,0.5838811993598938,1.0
LINC00342,0.5641815662384033,1.0
SYTL2,0.5092596411705017,1.0
DAP3,0.47860589623451233,1.0
MRPL20,0.4462982714176178,1.0
POLR2L,0.23320713639259338,1.0
TTC1,0.6554677486419678,1.0
ZFAND6,0.430492639541626,1.0
NGRN,0.6537939310073853,1.0
ZKSCAN1,0.9148467779159546,1.0
RPP30,0.9148467779159546,1.0
TRERF1,0.6510429978370667,1.0
POLR3GL,0.22874438762664795,1.0
PIK3R5,0.4555394649505615,1.0
ECSIT,0.8557600378990173,1.0
AC004687.1,0.9177432060241699,1.0
SSB,0.44586265087127686,1.0
TPI1,0.20997728407382965,1.0
SUB1,0.18323570489883423,1.0
BTN3A2,0.34683218598365784,1.0
CSNK2B,0.22937420010566711,1.0
EMC10,0.8001291155815125,1.0
RPL27,0.07260630279779434,1.0
MLLT6,0.3859732449054718,1.0
DNAJC10,1.2100499868392944,1.0
XPO6,0.8820469379425049,1.0
WDR26,0.482524037361145,1.0
TAGLN2,0.16862040758132935,1.0
NRBF2,1.184985876083374,1.0
COX16,0.348770409822464,1.0
BSG,0.16664308309555054,1.0
FLOT1,0.3440513610839844,1.0
PPP6R1,0.7376053929328918,1.0
TINF2,0.6230071187019348,1.0
SURF2,1.0903480052947998,1.0
RPL26,0.015132550150156021,1.0
UBL3,0.4970735013484955,1.0
VEZF1,0.8401893973350525,1.0
TFDP2,0.35098281502723694,1.0
TAPBPL,1.0483211278915405,1.0
CAP1,0.207569882273674,1.0
GPI,0.27320602536201477,1.0
EIF4B,0.23469598591327667,1.0
SAP18,0.16640309989452362,1.0
ARID1A,0.5579128265380859,1.0
TMEM181,0.5932108759880066,1.0
PRKACB,0.39343419671058655,1.0
AC006369.1,0.5773317813873291,1.0
PHKG2,0.9152089357376099,1.0
SREK1IP1,0.6101596355438232,1.0
UBXN1,0.21991164982318878,1.0
GZMM,0.18029557168483734,1.0
ADRM1,0.4966137111186981,1.0
ZBTB44,0.6873270869255066,1.0
NBPF3,2.988856792449951,1.0
C15orf61,0.9825667142868042,1.0
STIM2,0.5850063562393188,1.0
AUH,0.8248143196105957,1.0
TIPRL,0.3635823130607605,1.0
PRMT2,0.1816922128200531,1.0
LMBR1L,1.7256494760513306,1.0
PTPRM,0.9729077816009521,1.0
MBD1,1.069754719734192,1.0
NORAD,0.7941503524780273,1.0
SERPINB9,0.3143779933452606,1.0
RPL7,0.061976347118616104,1.0
MSC-AS1,1.0289113521575928,1.0
ITGB7,0.4632618725299835,1.0
